trade_date,listed_count,active_count,delisted_count,suspended_count,st_count,invalid_count,universe_hash
1990-12-19,8,8,0,,,0,29baf15d116b7d280e6343c020bcb1324b087ada940240dc37b7c8cf4bee1ceb
1990-12-20,8,8,0,,,0,29baf15d116b7d280e6343c020bcb1324b087ada940240dc37b7c8cf4bee1ceb
1990-12-21,8,8,0,,,0,29baf15d116b7d280e6343c020bcb1324b087ada940240dc37b7c8cf4bee1ceb
1990-12-24,8,8,0,,,0,29baf15d116b7d280e6343c020bcb1324b087ada940240dc37b7c8cf4bee1ceb
1990-12-25,8,8,0,,,0,29baf15d116b7d280e6343c020bcb1324b087ada940240dc37b7c8cf4bee1ceb
1990-12-26,8,8,0,,,0,29baf15d116b7d280e6343c020bcb1324b087ada940240dc37b7c8cf4bee1ceb
1990-12-27,8,8,0,,,0,29baf15d116b7d280e6343c020bcb1324b087ada940240dc37b7c8cf4bee1ceb
1990-12-28,8,8,0,,,0,29baf15d116b7d280e6343c020bcb1324b087ada940240dc37b7c8cf4bee1ceb
1990-12-31,8,8,0,,,0,29baf15d116b7d280e6343c020bcb1324b087ada940240dc37b7c8cf4bee1ceb
1991-01-02,8,8,0,,,0,29baf15d116b7d280e6343c020bcb1324b087ada940240dc37b7c8cf4bee1ceb
1991-01-03,8,8,0,,,0,29baf15d116b7d280e6343c020bcb1324b087ada940240dc37b7c8cf4bee1ceb
1991-01-04,8,8,0,,,0,29baf15d116b7d280e6343c020bcb1324b087ada940240dc37b7c8cf4bee1ceb
1991-01-07,8,8,0,,,0,29baf15d116b7d280e6343c020bcb1324b087ada940240dc37b7c8cf4bee1ceb
1991-01-08,8,8,0,,,0,29baf15d116b7d280e6343c020bcb1324b087ada940240dc37b7c8cf4bee1ceb
1991-01-09,8,8,0,,,0,29baf15d116b7d280e6343c020bcb1324b087ada940240dc37b7c8cf4bee1ceb
1991-01-10,8,8,0,,,0,29baf15d116b7d280e6343c020bcb1324b087ada940240dc37b7c8cf4bee1ceb
1991-01-11,8,8,0,,,0,29baf15d116b7d280e6343c020bcb1324b087ada940240dc37b7c8cf4bee1ceb
1991-01-14,9,9,0,,,0,e0afb2e03db33e10e26efc00db09122c4405aba33877084729a7a946334bcdd9
