date,entry,exit,candidate_forward_return,strategy_realized_return,v13_style_net,difference,formula_gap,n_elig,n_sel,n_fill,cash_frac,cause
2010-01-04,2010-01-05,2010-02-02,-0.02197303224481952,-0.021595226457427508,-0.02197303224481952,0.0003778057873920111,0.0003778057873920111,1418,284,280,0.014084507042253502,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-02-01,2010-02-02,2010-03-09,0.04803195232953172,0.04615815638783283,0.04803195232953172,-0.00187379594169889,-0.00187379594169889,1409,282,272,0.03546099290780147,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-03-08,2010-03-09,2010-04-07,0.024182425921829908,0.023578734990630013,0.024182425921829908,-0.0006036909311998954,-0.0006036909311998954,1415,283,277,0.021201413427561877,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-04-06,2010-04-07,2010-05-06,-0.10010223398668636,-0.09659690933056753,-0.10010223398668636,0.00350532465611883,0.00350532465611883,1421,284,275,0.03169014084507038,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-05-05,2010-05-06,2010-06-03,-0.11878421424951599,-0.11420644668118007,-0.11878421424951599,0.0045777675683359165,0.0045777675683359165,1418,284,274,0.035211267605633756,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-06-02,2010-06-03,2010-07-06,-0.11701984613499355,-0.11342142996090299,-0.11701984613499355,0.0035984161740905685,0.0035984161740905685,1458,292,284,0.027397260273972712,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-07-05,2010-07-06,2010-08-03,0.15058108053498895,0.14697118855731617,0.15058108053498895,-0.00360989197767278,-0.00360989197767278,1463,293,287,0.020477815699658675,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-08-02,2010-08-03,2010-08-31,0.030399242215002887,0.029876555288437245,0.030399242215002887,-0.0005226869265656416,-0.0005226869265656416,1486,297,293,0.013468013468013518,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-08-30,2010-08-31,2010-10-08,0.019558532677232742,0.01922379063184332,0.019558532677232742,-0.00033474204538942384,-0.00033474204538942384,1510,302,298,0.013245033112582738,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-09-30,2010-10-08,2010-11-05,0.11037552556766278,0.10821138752324222,0.11037552556766278,-0.0021641380444205605,-0.0021641380444205605,1557,311,306,0.016077170418006492,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-11-04,2010-11-05,2010-12-03,-0.028861294355840755,-0.027591734491056896,-0.028861294355840755,0.001269559864783859,0.001269559864783859,1588,318,305,0.04088050314465408,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-12-02,2010-12-03,2010-12-31,-0.04709163002662781,-0.04533068514541472,-0.04709163002662781,0.001760944881213096,0.001760944881213096,1610,322,311,0.034161490683229934,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2010-12-30,2010-12-31,2011-01-31,-0.021455673959803877,-0.020795901872511124,-0.021455673959803877,0.0006597720872927523,0.0006597720872927523,1624,325,316,0.027692307692307683,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-01-28,2011-01-31,2011-03-07,0.0905497017148061,0.08614706321808918,0.0905497017148061,-0.004402638496716918,-0.004402638496716918,1662,332,317,0.04518072289156616,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-03-04,2011-03-07,2011-04-06,0.0036499554266486113,0.0035211672956576567,0.0036499554266486113,-0.00012878813099095453,-0.00012878813099095453,1679,336,326,0.029761904761904767,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-04-01,2011-04-06,2011-05-05,-0.04170122543333636,-0.040086972933681575,-0.04170122543333636,0.0016142524996547863,0.0016142524996547863,1692,338,326,0.03550295857988173,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-05-04,2011-05-05,2011-06-02,-0.09137665879858808,-0.08895785163122127,-0.09137665879858808,0.00241880716736681,0.00241880716736681,1730,346,338,0.023121387283237094,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-06-01,2011-06-02,2011-07-01,-0.02110542418410467,-0.020682575637341438,-0.02110542418410467,0.0004228485467632319,0.0004228485467632319,1768,354,348,0.016949152542372836,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-06-30,2011-07-01,2011-07-29,-0.0024392691308337145,-0.0023833722936758006,-0.0024392691308337145,5.5896837157913895e-05,5.5896837157913895e-05,1767,353,345,0.022662889518413554,SAME_SIGNAL_DATE|UNFILLED_CASH
2011-07-28,2011-07-29,2011-08-26,-0.03203034281990692,-0.031490728274032875,-0.03203034281990692,0.0005396145458740481,0.0005396145458740481,1833,367,362,0.013623978201634968,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-08-25,2011-08-26,2011-09-26,-0.07585073975373302,-0.07316011127256372,-0.07585073975373302,0.0026906284811692993,0.0026906284811692993,1866,373,361,0.03217158176943702,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-09-23,2011-09-26,2011-10-31,-0.004009210660365681,-0.003929514131244982,-0.004009210660365681,7.96965291206984e-05,7.96965291206984e-05,1905,381,374,0.018372703412073532,SAME_SIGNAL_DATE|UNFILLED_CASH
2011-10-28,2011-10-31,2011-11-28,-0.016503023754092662,-0.016025602014586804,-0.016503023754092662,0.00047742173950585803,0.00047742173950585803,1927,385,375,0.025974025974025983,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-11-25,2011-11-28,2011-12-26,-0.11914933734248871,-0.11357586531761665,-0.11914933734248871,0.005573472024872059,0.005573472024872059,1953,391,374,0.04347826086956519,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2011-12-23,2011-12-26,2012-02-01,-0.029099205763229063,-0.027679755946808604,-0.029099205763229063,0.0014194498164204587,0.0014194498164204587,1972,394,376,0.045685279187817285,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2012-01-31,2012-02-01,2012-02-29,0.10684942449750358,0.1038108340918682,0.10684942449750358,-0.00303859040563538,-0.00303859040563538,2006,401,391,0.02493765586034913,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2012-02-28,2012-02-29,2012-03-28,-0.029246729903064397,-0.02828381081017084,-0.029246729903064397,0.000962919092893557,0.000962919092893557,2013,403,391,0.02977667493796521,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
2012-03-27,2012-03-28,2012-05-02,0.018406658344980058,0.017704895298261025,0.018406658344980058,-0.0007017630467190325,-0.0007017630467190325,2038,408,394,0.03431372549019607,SAME_SIGNAL_DATE|COST_OR_CASH_FORMULA|UNFILLED_CASH
