signal_date,entry,exit,n_elig,n_sel,n_fill,v13_style_net,capital_ret,net_yuan,equity,cash_frac,candidate_id
2010-01-04,2010-01-05,2010-02-02,1438,288,283,-0.03625306080642856,-0.035506237131452956,-35506.237131453,964493.762868547,0.01736111111111116,H11_VOL_60
2010-02-01,2010-02-02,2010-03-09,1435,287,278,0.0537036439758311,0.05182898312670936,49988.73096153035,1014482.4938300774,0.03135888501742157,H11_VOL_60
2010-03-08,2010-03-09,2010-04-07,1474,295,290,0.030239793047234207,0.029614935402866083,30043.8335221163,1044526.3273521936,0.016949152542372947,H11_VOL_60
2010-04-06,2010-04-07,2010-05-06,1474,295,288,-0.09306641069475807,-0.09054639395817987,-94578.09233612253,949948.2350160711,0.023728813559322104,H11_VOL_60
2010-05-05,2010-05-06,2010-06-03,1486,297,286,-0.11998621550445994,-0.11514373549671553,-109380.58830826229,840567.6467078088,0.03703703703703709,H11_VOL_60
2010-06-02,2010-06-03,2010-07-06,1530,306,292,-0.11504366319829916,-0.10940186919411465,-91959.67173393245,748607.9749738764,0.04575163398692805,H11_VOL_60
2010-07-05,2010-07-06,2010-08-03,1553,311,303,0.15545564404243192,0.15091658723297874,112977.3607584486,861585.335732325,0.025723472668810254,H11_VOL_60
2010-08-02,2010-08-03,2010-08-31,1580,316,312,0.03918571691948796,0.038545834222822206,33210.52551995276,894795.8612522777,0.012658227848101333,H11_VOL_60
2010-08-30,2010-08-31,2010-10-08,1596,319,312,0.008881971501074126,0.008648758458355887,7738.873273507459,902534.7345257852,0.021943573667711602,H11_VOL_60
2010-09-30,2010-10-08,2010-11-05,1647,329,322,0.10016626158608924,0.09768263921938392,88161.97485564463,990696.7093814298,0.021276595744680882,H11_VOL_60
2010-11-04,2010-11-05,2010-12-03,1674,335,322,-0.01797596491426029,-0.01722528362801501,-17065.031808436266,973631.6775729936,0.03880597014925369,H11_VOL_60
2010-12-02,2010-12-03,2010-12-31,1689,338,326,-0.04637087350440242,-0.044575001039731554,-43399.63304013177,930232.0445328618,0.03550295857988173,H11_VOL_60
2010-12-30,2010-12-31,2011-01-31,1698,340,330,-0.03152002890763282,-0.03049312900439427,-28365.68573796202,901866.3587948998,0.02941176470588236,H11_VOL_60
2011-01-28,2011-01-31,2011-03-07,1742,348,332,0.08970967243346246,0.08527662949307224,76908.12333121884,978774.4821261186,0.04597701149425293,H11_VOL_60
2011-03-04,2011-03-07,2011-04-06,1765,353,347,0.0030808083228641373,0.00300998645992423,2946.097938518971,981720.5800646376,0.016997167138810165,H11_VOL_60
2011-04-01,2011-04-06,2011-05-05,1775,355,346,-0.0462741225355204,-0.04495016387417261,-44128.50095255324,937592.0791120843,0.025352112676056304,H11_VOL_60
2011-05-04,2011-05-05,2011-06-02,1815,363,353,-0.10563481284024646,-0.10237135307919554,-95982.56977504026,841609.5093370441,0.02754820936639113,H11_VOL_60
2011-06-01,2011-06-02,2011-07-01,1855,371,362,-0.017790377098378697,-0.017305530957412496,-14564.499417884974,827045.0099191591,0.02425876010781669,H11_VOL_60
2011-06-30,2011-07-01,2011-07-29,1867,373,366,0.001865991402656567,0.0018167397998727353,1502.52558580623,828547.5355049653,0.018766756032171594,H11_VOL_60
2011-07-28,2011-07-29,2011-08-26,1923,385,376,-0.02752422552998288,-0.026794060181800083,-22200.152529802173,806347.3829751632,0.023376623376623384,H11_VOL_60
2011-08-25,2011-08-26,2011-09-26,1952,390,377,-0.08059223459747773,-0.07763962370983679,-62604.50739360333,743742.8755815598,0.033333333333333326,H11_VOL_60
2011-09-23,2011-09-26,2011-10-31,1981,396,392,-0.009241600285175577,-0.009123954402463497,-6785.876083963201,736956.9994975966,0.010101010101010055,H11_VOL_60
2011-10-28,2011-10-31,2011-11-28,2004,401,388,-0.010740476523372768,-0.010363434341096323,-7637.405476504704,729319.5940210919,0.032418952618453845,H11_VOL_60
2011-11-25,2011-11-28,2011-12-26,2023,405,389,-0.12549125374837752,-0.12011746162822146,-87604.01834953856,641715.5756715534,0.03950617283950619,H11_VOL_60
2011-12-23,2011-12-26,2012-02-01,2036,407,394,-0.036938970746589195,-0.035641079674118115,-22871.4359606324,618844.139710921,0.03194103194103193,H11_VOL_60
2012-01-31,2012-02-01,2012-02-29,2062,412,402,0.10851427233420305,0.1055004483216404,65288.33418072201,684132.473891643,0.024271844660194275,H11_VOL_60
2012-02-28,2012-02-29,2012-03-28,2068,414,403,-0.029208398344156998,-0.028340108017645194,-19388.38820846798,664744.085683175,0.02657004830917875,H11_VOL_60
2012-03-27,2012-03-28,2012-05-02,2091,418,405,0.018773653330814228,0.01811813817481389,12043.925195298041,676788.010878473,0.031100478468899517,H11_VOL_60
2012-04-27,2012-05-02,2012-05-30,2032,406,392,-0.02678856513016643,-0.025781563121612505,-17448.652822413947,659339.3580560591,0.03448275862068961,H11_VOL_60
2012-05-29,2012-05-30,2012-06-28,2107,421,388,-0.06298981669197228,-0.0578556078334751,-38146.47932886658,621192.8787271925,0.0783847980997624,H11_VOL_60
2012-06-27,2012-06-28,2012-07-26,2141,428,411,-0.059055672368618535,-0.05651826474078625,-35108.743574994616,586084.1351521979,0.03971962616822433,H11_VOL_60
2012-07-25,2012-07-26,2012-08-23,2193,439,434,-0.0071228881989172385,-0.007024860797192889,-4117.159464887343,581966.9756873106,0.011389521640091216,H11_VOL_60
2012-08-22,2012-08-23,2012-09-20,2215,443,443,-0.024253918957484227,-0.02417659778742809,-14069.98149675806,567896.9941905525,1.1102230246251565e-16,H11_VOL_60
2012-09-19,2012-09-20,2012-10-25,2258,451,448,0.004638047792488221,0.004583106772840351,2602.7325603504432,570499.726750903,0.006651884700665134,H11_VOL_60
2012-10-24,2012-10-25,2012-11-22,2281,456,451,-0.05258449723938848,-0.05183293343262052,-29570.674360007746,540929.0523908952,0.010964912280701844,H11_VOL_60
2012-11-21,2012-11-22,2012-12-20,2302,460,453,0.0076009767300461535,0.007451170275787566,4030.5544764850056,544959.6068673802,0.01521739130434785,H11_VOL_60
2012-12-19,2012-12-20,2013-01-22,2305,461,453,0.11983796238517212,0.1173365497558807,63943.6800261396,608903.2868935198,0.017353579175705014,H11_VOL_60
2013-01-21,2013-01-22,2013-02-26,2309,462,456,0.01707643513786844,0.016787567493253608,10222.005025588907,619125.2919191087,0.012987012987012991,H11_VOL_60
2013-02-25,2013-02-26,2013-03-26,2326,465,462,0.007652813946206322,0.007568816591416949,4686.045781643246,623811.337700752,0.006451612903225823,H11_VOL_60
2013-03-25,2013-03-26,2013-04-25,2320,464,462,-0.04559262320743409,-0.045244421026255255,-28223.98280388431,595587.3548968676,0.004310344827586188,H11_VOL_60
2013-04-24,2013-04-25,2013-05-28,2323,465,455,0.05310887621588717,0.05177628275430113,30837.299292026553,626424.6541888942,0.021505376344086002,H11_VOL_60
2013-05-27,2013-05-28,2013-06-28,2326,465,459,-0.17303215360355914,-0.1702068657289978,-106621.77700486296,519802.87718403124,0.012903225806451646,H11_VOL_60
2013-06-27,2013-06-28,2013-07-26,2319,464,457,0.03211610632673824,0.03151256767331567,16380.323344045959,536183.2005280772,0.015086206896551713,H11_VOL_60
2013-07-25,2013-07-26,2013-08-23,2315,463,454,0.05822660502172484,0.05688625893630328,30501.45638253598,566684.6569106132,0.01943844492440594,H11_VOL_60
2013-08-22,2013-08-23,2013-09-24,2309,462,449,0.08692951293633382,0.08417871527255927,47702.78638340649,614387.4432940197,0.02813852813852813,H11_VOL_60
2013-09-23,2013-09-24,2013-10-29,2305,461,449,-0.0058250719907420884,-0.005661236202669562,-3478.1924364416627,610909.250857578,0.026030368763557465,H11_VOL_60
2013-10-28,2013-10-29,2013-11-26,2309,462,455,0.02586042987016887,0.025371243693749657,15499.527478273609,626408.7783358516,0.015151515151515138,H11_VOL_60
2013-11-25,2013-11-26,2013-12-24,2293,459,449,-0.02449264463020538,-0.023882578229318163,-14960.256652137614,611448.521683714,0.02178649237472763,H11_VOL_60
2013-12-23,2013-12-24,2014-01-22,2298,460,454,-0.04029379662775097,-0.03963625892833089,-24235.531926800846,587212.9897569132,0.013043478260869601,H11_VOL_60
2014-01-21,2014-01-22,2014-02-26,2302,460,453,0.032603062390866265,0.031986230380693925,18782.729972900706,605995.7197298139,0.01521739130434785,H11_VOL_60
2014-02-25,2014-02-26,2014-03-26,2283,457,436,0.05348155027355131,0.050837015102089156,30807.013555705897,636802.7332855198,0.04595185995623641,H11_VOL_60
2014-03-25,2014-03-26,2014-04-24,2273,455,443,-0.004135683449309,-0.004020190292293613,-2560.0681664604926,634242.6651190593,0.02637362637362639,H11_VOL_60
2014-04-23,2014-04-24,2014-05-26,2245,449,437,-0.01949455197980394,-0.01891456948687431,-11996.426960934768,622246.2381581245,0.026726057906458878,H11_VOL_60
2014-05-23,2014-05-26,2014-06-24,2246,449,437,-0.0190451469742966,-0.018478712995596447,-11498.309647513554,610747.928510611,0.026726057906458878,H11_VOL_60
2014-06-23,2014-06-24,2014-07-22,2272,454,445,0.05247435211359465,0.051245503728361674,31298.08524757973,642046.0137581907,0.01982378854625544,H11_VOL_60
2014-07-21,2014-07-22,2014-08-19,2249,450,440,0.10576633397865035,0.10304463624743443,66159.397941828,708205.4117000187,0.022222222222222254,H11_VOL_60
2014-08-18,2014-08-19,2014-09-17,2252,450,430,0.0645661444447201,0.061472047433696275,43534.83666082402,751740.2483608427,0.0444444444444444,H11_VOL_60
2014-09-16,2014-09-17,2014-10-22,2250,450,436,0.058296478414400076,0.056276542897078397,42305.342334339395,794045.5906951821,0.03111111111111109,H11_VOL_60
2014-10-21,2014-10-22,2014-11-19,2247,449,432,0.0409270607042014,0.03923140511087064,31151.524245063192,825197.1149402453,0.03786191536748329,H11_VOL_60
2014-11-18,2014-11-19,2014-12-17,2254,451,439,0.13111484698353154,0.12716979091640335,104940.14457177033,930137.2595120156,0.026607538802660757,H11_VOL_60
