signal_date,entry,exit,n_elig,n_sel,n_fill,v13_style_net,capital_ret,net_yuan,equity,cash_frac,candidate_id
2014-12-16,2014-12-17,2015-01-16,2257,451,429,-0.02738847378887313,-0.025968419072122773,-24154.194149603834,905983.0653624118,0.04878048780487809,H11_VOL_60
2015-01-15,2015-01-16,2015-02-13,2245,449,432,0.05024502634969072,0.04816505704491769,43636.726024909876,949619.7913873217,0.03786191536748329,H11_VOL_60
2015-02-12,2015-02-13,2015-03-20,2266,453,427,0.20549713253564345,0.19301413084740626,183290.03867011913,1132909.8300574408,0.05739514348785868,H11_VOL_60
2015-03-19,2015-03-20,2015-04-20,2239,448,412,0.16649357902581818,0.1525690387141989,172846.96372173028,1305756.793779171,0.0803571428571429,H11_VOL_60
2015-04-17,2015-04-20,2015-05-19,2215,443,413,0.09202571016541738,0.08548469975993478,111622.22747570765,1417379.0212548787,0.06772009029345383,H11_VOL_60
2015-05-18,2015-05-19,2015-06-16,2204,441,395,0.2921565761944827,0.26075511548703023,369588.8303762099,1786967.8516310886,0.10430839002267567,H11_VOL_60
2015-06-15,2015-06-16,2015-07-15,2151,430,320,-0.3189395000095215,-0.23652181651268234,-422656.8823175505,1364310.9693135382,0.2558139534883721,H11_VOL_60
2015-07-14,2015-07-15,2015-08-12,1843,369,274,0.005820352500716274,0.0043007941844595,5867.620682618115,1370178.5899961563,0.2574525745257452,H11_VOL_60
2015-08-11,2015-08-12,2015-09-11,2127,425,392,-0.23369910264666333,-0.21480259101032761,-294317.9112780518,1075860.6787181045,0.07764705882352951,H11_VOL_60
2015-09-10,2015-09-11,2015-10-16,2212,442,411,0.08114346705872055,0.0751797632112996,80882.95107437507,1156743.6297924796,0.0701357466063347,H11_VOL_60
2015-10-15,2015-10-16,2015-11-13,2276,455,428,0.10291825606526724,0.09646319922525648,111583.19121321826,1268326.8210056978,0.05934065934065935,H11_VOL_60
2015-11-12,2015-11-13,2015-12-11,2390,478,456,-0.02351410890266112,-0.02236058827538967,-28360.533843142213,1239966.2871625556,0.046025104602510525,H11_VOL_60
2015-12-10,2015-12-11,2016-01-11,2457,491,464,-0.0839781166111319,-0.07908868737440133,-98067.30604019645,1141898.9811223592,0.054989816700611094,H11_VOL_60
2016-01-08,2016-01-11,2016-02-15,2475,495,479,-0.15192311332703806,-0.14650332293905677,-167291.99519514886,974606.9859272103,0.03232323232323231,H11_VOL_60
2016-02-05,2016-02-15,2016-03-14,2481,496,481,0.03592936482514526,0.034712594095891,33831.1367055109,1008438.1226327212,0.030241935483870996,H11_VOL_60
2016-03-11,2016-03-14,2016-04-12,2477,495,478,0.1190882040172093,0.11458634913865162,115553.24280471937,1123991.3654374406,0.03434343434343434,H11_VOL_60
2016-04-11,2016-04-12,2016-05-11,2434,487,472,-0.0766846596889351,-0.07406912294081125,-83253.05463099608,1040738.3108064445,0.030800821355236097,H11_VOL_60
2016-05-10,2016-05-11,2016-06-08,2462,492,478,-0.0008237420248370644,-0.0008052077988189854,-838.0106043909909,1039900.3002020535,0.028455284552845406,H11_VOL_60
2016-06-07,2016-06-08,2016-07-08,2483,497,488,0.012409708129729777,0.012134346559966147,12618.510630464647,1052518.8108325182,0.01810865191146871,H11_VOL_60
2016-07-07,2016-07-08,2016-08-05,2508,502,493,0.0025527578748192215,0.002490375049582605,2621.166585713625,1055139.9774182318,0.017928286852589626,H11_VOL_60
2016-08-04,2016-08-05,2016-09-02,2552,510,500,0.03277718583273094,0.03201373543134567,33778.972080103355,1088918.9494983351,0.019607843137254943,H11_VOL_60
2016-09-01,2016-09-02,2016-10-11,2581,516,502,0.020809188147701843,0.020165696841376812,21958.809420414036,1110877.7589187492,0.027131782945736482,H11_VOL_60
2016-10-10,2016-10-11,2016-11-08,2581,516,508,0.026103954763026033,0.02560107278324053,28439.662359362002,1139317.4212781112,0.015503875968992276,H11_VOL_60
2016-11-07,2016-11-08,2016-12-06,2626,525,512,0.010758713382152299,0.010447672250741835,11903.215007073944,1151220.636285185,0.024761904761904763,H11_VOL_60
2016-12-05,2016-12-06,2017-01-04,2628,526,514,-0.027254717626957407,-0.02654707096220732,-30561.535924620228,1120659.100360565,0.02281368821292773,H11_VOL_60
2017-01-03,2017-01-04,2017-02-08,2653,531,525,-0.01532516640419625,-0.015106588170213375,-16929.335508348886,1103729.764852216,0.011299435028248594,H11_VOL_60
2017-02-07,2017-02-08,2017-03-08,2675,535,531,0.03769424619544895,0.03727300827404978,41139.32865765155,1144869.0935098676,0.00747663551401867,H11_VOL_60
2017-03-07,2017-03-08,2017-04-07,2691,538,529,0.003882189409796466,0.0037960136478136786,4345.938703923486,1149215.032213791,0.016728624535315983,H11_VOL_60
2017-04-06,2017-04-07,2017-05-08,2723,545,529,-0.08347386449445458,-0.08074612460668151,-92794.66019100626,1056420.3720227848,0.029357798165137616,H11_VOL_60
2017-05-05,2017-05-08,2017-06-07,2736,547,527,-0.05207383810678684,-0.05000113767076653,-52822.2204597136,1003598.1515630712,0.03656307129798908,H11_VOL_60
2017-06-06,2017-06-07,2017-07-05,2776,555,542,0.02142818778611557,0.020844939422978603,20919.94267434557,1024518.0942374167,0.023423423423423406,H11_VOL_60
2017-07-04,2017-07-05,2017-08-02,2825,565,555,0.007285388179159369,0.007123479709442826,7298.133856257191,1031816.2280936739,0.017699115044247815,H11_VOL_60
2017-08-01,2017-08-02,2017-08-30,2868,574,569,0.008101024492369557,0.007994350456269173,8248.700533846626,1040064.9286275206,0.008710801393728262,H11_VOL_60
2017-08-29,2017-08-30,2017-09-27,2938,588,577,-0.0017527293065503437,-0.0017216901367699267,-1790.669529218343,1038274.2590983022,0.018707482993197355,H11_VOL_60
2017-09-26,2017-09-27,2017-11-01,2996,599,585,0.006490054118411551,0.006308324243874619,6549.770680460846,1044824.0297787631,0.023372287145242088,H11_VOL_60
2017-10-31,2017-11-01,2017-11-29,3035,607,587,-0.054496013526025455,-0.05252283957586279,-54877.12490107643,989946.9048776866,0.0329489291598023,H11_VOL_60
2017-11-28,2017-11-29,2017-12-27,3055,611,592,-0.025374663326623175,-0.024506864228654557,-24260.49439141422,965686.4104862724,0.03109656301145658,H11_VOL_60
2017-12-26,2017-12-27,2018-01-25,3074,615,605,0.03424836562777386,0.03356522085989577,32413.47764937172,998099.8881356441,0.016260162601625994,H11_VOL_60
2018-01-24,2018-01-25,2018-03-01,3113,623,588,-0.09270797187120498,-0.08719954646584849,-87033.85757304227,911066.0305626019,0.0561797752808989,H11_VOL_60
2018-02-28,2018-03-01,2018-03-29,3083,617,599,0.0021385679633294657,0.0020611662696243815,1877.8585715962108,912943.8891341981,0.02917341977309562,H11_VOL_60
2018-03-28,2018-03-29,2018-05-02,3125,625,617,-0.026780087286971607,-0.02635220346387035,-24058.08311756153,888885.8060166365,0.012799999999999923,H11_VOL_60
2018-04-27,2018-05-02,2018-05-30,3154,631,617,-0.014174002729619058,-0.013818568840485601,-12283.129701771424,876602.6763148651,0.022187004754358086,H11_VOL_60
2018-05-29,2018-05-30,2018-06-28,3204,641,611,-0.14667313896571388,-0.13932462798056822,-122132.34176433901,754470.3345505261,0.046801872074882955,H11_VOL_60
2018-06-27,2018-06-28,2018-07-26,3213,643,637,0.018366358292025424,0.01812314025990691,13673.371694998,768143.7062455241,0.009331259720062213,H11_VOL_60
2018-07-25,2018-07-26,2018-08-23,3283,657,657,-0.06501940055785005,-0.0647987654680997,-49774.76386680058,718368.9423787235,0.0,H11_VOL_60
2018-08-22,2018-08-23,2018-09-20,3324,665,659,-0.011003442351275209,-0.010873702322230394,-7811.330036961706,710557.6123417618,0.009022556390977376,H11_VOL_60
2018-09-19,2018-09-20,2018-10-26,3348,670,659,-0.09239366985621948,-0.09056508996244594,-64351.71408523247,646205.8982565294,0.016417910447761197,H11_VOL_60
2018-10-25,2018-10-26,2018-11-23,3365,673,670,0.09712680157508005,0.09634600027792417,62259.35365301976,708465.2519095491,0.004457652303120452,H11_VOL_60
2018-11-22,2018-11-23,2018-12-21,3425,685,681,-0.05448854919825733,-0.053987826941971684,-38248.4994144931,670216.752495056,0.00583941605839422,H11_VOL_60
2018-12-20,2018-12-21,2019-01-22,3444,689,685,0.028634604631826235,0.028360384390806237,19007.60472591757,689224.3572209736,0.005805515239477477,H11_VOL_60
2019-01-21,2019-01-22,2019-02-26,3448,690,687,0.10420586410349722,0.10338013423083758,71252.10656466696,760476.4637856405,0.004347826086956497,H11_VOL_60
2019-02-25,2019-02-26,2019-03-26,3455,691,684,0.08986105344333324,0.08863016157902259,67401.15186236508,827877.6156480056,0.01013024602026058,H11_VOL_60
2019-03-25,2019-03-26,2019-04-24,3448,690,682,0.026707586046102298,0.026297276012683612,21770.926163417986,849648.5418114236,0.011594202898550732,H11_VOL_60
2019-04-23,2019-04-24,2019-05-27,3459,692,690,-0.12004185731355153,-0.11928204185566615,-101347.81292695599,748300.7288844676,0.0028901734104046506,H11_VOL_60
2019-05-24,2019-05-27,2019-06-25,3429,686,681,0.016354362479236762,0.016170198453800744,12100.171289185644,760400.9001736533,0.007288629737609353,H11_VOL_60
2019-06-24,2019-06-25,2019-07-23,3437,687,684,-0.05016080040096846,-0.049774094334545604,-37848.26613731682,722552.6340363364,0.004366812227074135,H11_VOL_60
2019-07-22,2019-07-23,2019-08-20,3446,689,684,-0.011805576064990303,-0.0116865896337075,-8444.176122737117,714108.4579135993,0.007256894049346929,H11_VOL_60
2019-08-19,2019-08-20,2019-09-18,3451,690,688,0.03230105135978028,0.03208627549460208,22913.080713641248,737021.5386272406,0.0028985507246376274,H11_VOL_60
2019-09-17,2019-09-18,2019-10-23,3468,694,689,-0.016691970248942423,-0.01652134002765715,-12176.583447367651,724844.9551798729,0.007204610951008661,H11_VOL_60
2019-10-22,2019-10-23,2019-11-20,3473,695,690,-0.026042729890538793,-0.02577236377054193,-18680.967862137826,706163.9873177351,0.007194244604316502,H11_VOL_60
2019-11-19,2019-11-20,2019-12-18,3512,702,699,0.03887378652125599,0.038563668492854086,27232.273908513132,733396.2612262482,0.004273504273504258,H11_VOL_60
2019-12-17,2019-12-18,2020-01-16,3521,704,701,0.037941829373360964,0.03763941534933446,27604.60649194382,761000.867718192,0.0042613636363636465,H11_VOL_60
2020-01-15,2020-01-16,2020-02-21,3524,705,704,-0.048493299648015416,-0.04826220895505828,-36727.582892796025,724273.284825396,0.0014184397163119478,H11_VOL_60
2020-02-20,2020-02-21,2020-03-20,3545,709,707,-0.03324680855619113,-0.033044394471963834,-23933.172129275394,700340.1126961206,0.0028208744710860323,H11_VOL_60
2020-03-19,2020-03-20,2020-04-20,3570,714,711,0.026299050788598878,0.026088571076554823,18270.87280783523,718610.9855039559,0.004201680672268893,H11_VOL_60
2020-04-17,2020-04-20,2020-05-21,3597,719,714,0.0005593259439697976,0.0005455937208660444,392.06964143633377,719003.0551453922,0.006954102920723293,H11_VOL_60
2020-05-20,2020-05-21,2020-06-18,3553,711,706,0.022962832700654058,0.02271330098494717,16330.932800613926,735333.9879460061,0.007032348804500654,H11_VOL_60
2020-06-17,2020-06-18,2020-07-20,3578,716,711,0.0922372839666683,0.09126327691771285,67108.98936892243,802442.9773149285,0.006983240223463638,H11_VOL_60
2020-07-17,2020-07-20,2020-08-17,3577,715,709,0.06632004565821364,0.06552443902907967,52579.62594138528,855022.6032563138,0.008391608391608352,H11_VOL_60
2020-08-14,2020-08-17,2020-09-14,3595,719,710,-0.004607027002375846,-0.004541211214563523,-3882.8382346128346,851139.765021701,0.012517385257301838,H11_VOL_60
2020-09-11,2020-09-14,2020-10-20,3606,721,721,-0.013889102403810475,-0.013848219475838475,-11786.770270634093,839352.9947510669,0.0,H11_VOL_60
2020-10-19,2020-10-20,2020-11-17,3630,726,723,0.006842673870320888,0.006782529503722268,5692.9364509368315,845045.9312020037,0.004132231404958664,H11_VOL_60
2020-11-16,2020-11-17,2020-12-15,3671,734,731,-0.028204383026720167,-0.02799826974239883,-23659.82392651029,821386.1072754934,0.004087193460490468,H11_VOL_60
2020-12-14,2020-12-15,2021-01-13,3713,743,737,-0.06015975723827557,-0.059472038007558625,-48849.50579076877,772536.6014847247,0.008075370121130576,H11_VOL_60
2021-01-12,2021-01-13,2021-02-10,3774,755,753,-0.04581808290761813,-0.04554398464280163,-35184.39511402242,737352.2063707022,0.0026490066225165476,H11_VOL_60
2021-02-09,2021-02-10,2021-03-17,3826,765,762,0.09803179665527165,0.0972961580451257,71741.53680596605,809093.7431766683,0.0039215686274510775,H11_VOL_60
2021-03-16,2021-03-17,2021-04-15,3852,770,767,0.004020145329385974,0.003982490151917872,3222.2078641795088,812315.9510408478,0.003896103896103842,H11_VOL_60
2021-04-14,2021-04-15,2021-05-18,3902,780,776,0.00845558548739261,0.008374745302217157,6802.939194895327,819118.8902357431,0.00512820512820511,H11_VOL_60
2021-05-17,2021-05-18,2021-06-16,3911,782,780,0.0031306245082757343,0.0031037151444575084,2542.3117047358537,821661.201940479,0.002557544757033181,H11_VOL_60
2021-06-15,2021-06-16,2021-07-14,3978,796,795,0.006045211521333932,0.006008456159209308,4936.915309582604,826598.1172500616,0.0012562814070351536,H11_VOL_60
2021-07-13,2021-07-14,2021-08-11,4011,802,799,-0.008535847273014657,-0.008481937017567165,-7011.153169354657,819586.9640807069,0.0037406483790524137,H11_VOL_60
2021-08-10,2021-08-11,2021-09-08,4066,813,811,0.08041757052195037,0.07992979752989093,65509.420097108814,885096.3841778158,0.002460024600245969,H11_VOL_60
2021-09-07,2021-09-08,2021-10-15,4110,822,819,-0.023844403060496108,-0.02368177514330183,-20960.653550248477,864135.7306275673,0.0036496350364962904,H11_VOL_60
2021-10-14,2021-10-15,2021-11-12,4149,830,824,-0.015720380395290445,-0.015559760255490107,-13445.744796767714,850689.9858307996,0.0072289156626504925,H11_VOL_60
2021-11-11,2021-11-12,2021-12-10,4192,838,835,0.03861532019371454,0.03833389356500794,32610.259373655892,883300.2452044555,0.0035799522673030104,H11_VOL_60
2021-12-09,2021-12-10,2022-01-10,4240,848,846,0.07280038562563113,0.07236542889306552,63920.40108557034,947220.6462900258,0.002358490566037763,H11_VOL_60
2022-01-07,2022-01-10,2022-02-14,4275,855,850,-0.029214381030001707,-0.028949330825081776,-27421.403853797703,919799.2424362281,0.005847953216374213,H11_VOL_60
2022-02-11,2022-02-14,2022-03-14,4311,862,856,-0.041650790111317774,-0.04122336022964934,-37917.215509907226,881882.0269263209,0.006960556844547661,H11_VOL_60
2022-03-11,2022-03-14,2022-04-13,4349,870,863,-0.02016002697440167,-0.019935397379874154,-17580.66864894505,864301.3582773758,0.008045977011494232,H11_VOL_60
2022-04-12,2022-04-13,2022-05-16,4390,878,873,-0.058378939179601276,-0.05785031852345468,-50000.108876600745,814301.2494007751,0.005694760820045608,H11_VOL_60
2022-05-13,2022-05-16,2022-06-14,4391,878,873,0.032713418614615054,0.032404872184851996,26387.327906797407,840688.5773075725,0.005694760820045608,H11_VOL_60
2022-06-13,2022-06-14,2022-07-12,4464,893,890,0.02718009578590568,0.026985634245075607,22686.514461235027,863375.0917688075,0.0033594624860022737,H11_VOL_60
2022-07-11,2022-07-12,2022-08-09,4464,893,888,0.010646114455547653,0.010541387442804862,9101.171350802295,872476.2631196098,0.005599104143337086,H11_VOL_60
2022-08-08,2022-08-09,2022-09-06,4501,900,899,0.013198881186889395,0.013129929363836057,11455.551706384053,883931.8148259938,0.0011111111111110628,H11_VOL_60
2022-09-05,2022-09-06,2022-10-12,4534,907,903,-0.09636819963972187,-0.09561381713705353,-84516.09490439645,799415.7199215974,0.004410143329658167,H11_VOL_60
2022-10-11,2022-10-12,2022-11-09,4555,911,908,0.07479913749717404,0.07428280291285105,59382.84036837099,858798.5602899684,0.003293084522502654,H11_VOL_60
2022-11-08,2022-11-09,2022-12-07,4582,916,914,0.06118486208860668,0.06082871280621105,52239.61098226602,911038.1712722344,0.0021834061135371785,H11_VOL_60
2022-12-06,2022-12-07,2023-01-05,4614,923,923,-0.03545200406080993,-0.035335315234437004,-32191.82097250945,878846.350299725,0.0,H11_VOL_60
2023-01-04,2023-01-05,2023-02-09,4654,931,925,0.054954134439630736,0.05440012842530795,47809.35432241822,926655.7046221432,0.0064446831364124435,H11_VOL_60
2023-02-08,2023-02-09,2023-03-09,4692,938,936,0.02490467522232285,0.024756277865066734,22940.546108875074,949596.2507310183,0.002132196162046962,H11_VOL_60
2023-03-08,2023-03-09,2023-04-07,4725,945,942,-0.02641968347753791,-0.026251146033977824,-24927.989851257764,924668.2608797605,0.0031746031746030523,H11_VOL_60
2023-04-06,2023-04-07,2023-05-10,4747,949,941,-5.413580726944256e-05,-6.13689442395815e-05,-56.745914942002855,924611.5149648185,0.008429926238145535,H11_VOL_60
2023-05-09,2023-05-10,2023-06-07,4714,943,943,-0.030858370876645176,-0.030757831291037263,-28439.044987038244,896172.4699777802,0.0,H11_VOL_60
2023-06-06,2023-06-07,2023-07-07,4742,948,946,0.00824617477789854,0.00819192051018236,7341.373637471697,903513.843615252,0.0021097046413502962,H11_VOL_60
2023-07-06,2023-07-07,2023-08-04,4773,955,953,0.05552307250223903,0.05520407878318334,49877.64940463309,953391.493019885,0.0020942408376962707,H11_VOL_60
2023-08-03,2023-08-04,2023-09-01,4791,958,956,-0.046544144302635315,-0.04631217898129103,-44153.63746397721,909237.8555559078,0.002087682672233915,H11_VOL_60
2023-08-31,2023-09-01,2023-10-09,4818,964,964,0.005982414724066229,0.005959062055961306,5418.204804886831,914656.0603607947,0.0,H11_VOL_60
2023-09-28,2023-10-09,2023-11-06,4844,969,967,-0.010957707620971079,-0.010907406230713512,-9976.525211739237,904679.5351490554,0.002063983488132193,H11_VOL_60
2023-11-03,2023-11-06,2023-12-04,4878,976,975,0.012121477070903316,0.012067231118173316,10916.977038525161,915596.5121875806,0.0010245901639344135,H11_VOL_60
2023-12-01,2023-12-04,2024-01-02,4910,982,981,-0.021891236786480806,-0.021808286289368706,-19967.590863334248,895628.9213242463,0.0010183299389002753,H11_VOL_60
