signal,entry,exit,n,lo_ret,short_leg_ret,ls_ret,ew_ret,lo_minus_ew,eq_lo,eq_ls
2006-01-03,2006-01-04,2006-01-28,61,0.0,0.0,0.0,0.1035445121761408,-0.1035445121761408,1.0,1.0
2006-01-30,2006-01-31,2006-02-24,62,0.024492696069564095,-0.0001169875111779514,0.024375708558386142,0.015705673937337846,0.00878702213222625,1.0244926960695642,1.0243757085583862
2006-02-27,2006-02-28,2006-03-23,62,0.01163319430688978,-0.014643243030221902,-0.003010048723332121,0.01418531921735326,-0.00255212491046348,1.0364108186689307,1.0212922877646275
2006-03-23,2006-03-24,2006-04-20,62,0.015314674624239693,-0.008600375689777326,0.006714298934462367,0.015826773232319218,-0.000512098608079525,1.0522831131338872,1.0281495494841402
2006-04-20,2006-04-21,2006-05-19,62,-0.07445824568441284,0.022020179920331902,-0.052438065764080936,-0.047362826556952425,-0.027095419127460413,0.9739319585666054,0.9742353757929806
2006-05-19,2006-05-22,2006-06-20,62,-0.04788947561819372,-0.0036696627870569988,-0.05155913840525072,-0.024912917756448022,-0.022976557861745697,0.9272908677830504,0.9240046392131789
2006-06-20,2006-06-21,2006-07-20,62,0.004822863838175048,-0.03194486222171031,-0.02712199838353526,0.01896631629155815,-0.014143452453383103,0.9317630653767512,0.89894378688206
2006-07-20,2006-07-21,2006-08-18,62,0.04245717839899655,-0.0227988903428145,0.019658288056182048,0.039325151001205066,0.003132027397791483,0.971323096069048,0.9166154827909025
2006-08-18,2006-08-21,2006-09-19,62,0.005288329791563134,-0.02445437974278075,-0.019166049951217616,0.023699823039893358,-0.018411493248330225,0.9764597729352232,0.8990475846616727
2006-09-19,2006-09-20,2006-10-18,62,0.03857345613156806,-0.03737573895853447,0.0011977171730335884,0.04803415164465038,-0.009460695513082318,1.0141252011507809,0.9001243893931963
2006-10-18,2006-10-19,2006-11-14,62,-0.0036301134752743623,-0.02227805221424366,-0.025908165689518023,0.016668881646426065,-0.020298995121700428,1.010443811592468,0.8768038175716211
2006-11-14,2006-11-15,2006-12-09,63,0.003059465246045322,0.0011743809119471686,0.004233846157992491,0.026503930453360604,-0.02344446520731528,1.013535229317117,0.8805160700459598
2006-12-11,2006-12-12,2007-01-08,63,-0.025902728202091982,0.018089849293510447,-0.007812878908581535,-0.015443061322322617,-0.010459666879769364,0.9872819017488708,0.8736367046136306
2007-01-08,2007-01-09,2007-02-02,64,0.03652457422708671,-0.04772924581854436,-0.011204671591457653,0.049383701467512184,-0.012859127240425476,1.0233419528523569,0.8638478922481916
2007-02-05,2007-02-06,2007-03-02,64,-0.014891566891947977,0.021062605639609617,0.006171038747661639,-0.0174326216767377,0.002541054784789722,1.0081027877081195,0.8691787310633411
2007-03-05,2007-03-06,2007-04-02,64,0.027335604565679256,-0.03557264172391476,-0.0082370371582355,0.032042651503830066,-0.00470704693815081,1.0356598868744675,0.8620192735584243
2007-04-02,2007-04-03,2007-05-02,64,0.020709243473263157,-0.02208834826923179,-0.0013791047959686338,0.03394344414015375,-0.013234200666890596,1.057107619627243,0.8608304586440425
2007-05-02,2007-05-03,2007-06-01,64,0.02429404119236546,-0.02495668957166681,-0.0006626483793013491,0.022371213868329572,0.0019228273240358869,1.0827890356832308,0.8602600307357688
2007-06-01,2007-06-04,2007-07-02,64,-0.031090425689451057,0.009914085058962522,-0.021176340630488535,-0.021411115114488365,-0.009679310574962692,1.0491246636319689,0.8420428712941136
2007-07-02,2007-07-03,2007-08-01,64,-0.06486182514082725,0.03987963434586253,-0.02498219079496472,-0.04625992082040668,-0.018601904320420568,0.9810765231485429,0.8210067956259041
2007-08-01,2007-08-02,2007-08-30,64,0.0011405725748553654,0.009137296286265889,0.010277868861121255,-0.006647619894777765,0.00778819246963313,0.9821955121246806,0.8294449958054366
2007-08-30,2007-08-31,2007-09-28,64,0.0360310464158353,-0.054343395455059784,-0.018312349039224483,0.04195913002575232,-0.00592808360991702,1.01758504421147,0.8142559095334093
2007-09-28,2007-10-01,2007-10-29,65,0.005214488663001878,-0.03689322966756986,-0.03167874100456798,0.018942715656797345,-0.013728226993795466,1.022891229888151,0.7884613074638614
2007-10-29,2007-10-30,2007-11-23,65,-0.08109689869111283,0.0499589879956767,-0.031137910695436137,-0.06598083209992744,-0.01511606659118539,0.9399379234458838,0.7639102696852449
2007-11-23,2007-11-26,2007-12-19,65,0.01254574120302561,-0.015076883106401599,-0.0025311419033759892,0.012469788924456212,7.595227856939737e-05,0.9517301413803452,0.7619767043912253
2007-12-19,2007-12-20,2008-01-14,65,-0.0857072989830481,0.008582780216930343,-0.07712451876611776,-0.0510902444157935,-0.034617054567254606,0.8701599216018813,0.7032096177540597
2008-01-14,2008-01-15,2008-02-08,65,0.005157821944410015,0.04347044614573545,0.04862826809014546,-0.004458990945731873,0.00961681289014189,0.8746480515406655,0.7374054835697729
2008-02-11,2008-02-12,2008-03-07,65,-0.03737725652134907,0.023237163044566637,-0.014140093476782436,-0.03239650086206364,-0.004980755659285435,0.8419561069523319,0.7269785011018043
2008-03-10,2008-03-11,2008-04-08,65,0.08292544301038905,-0.04583942771197399,0.03708601529841506,0.07358476318386799,0.009340679826521064,0.9117756901166565,0.7539392369152847
2008-04-08,2008-04-09,2008-05-07,65,0.027815294648857635,-0.024352933675089943,0.0034623609737676926,0.042100763611661436,-0.014285468962803801,0.9371369995909169,0.7565496467057724
2008-05-07,2008-05-08,2008-06-06,65,0.012424169864692343,-0.01608816429148421,-0.0036639944267918678,0.018885602716665166,-0.0064614328519728235,0.9487801488603226,0.7537776530166511
