timestamp_utc,open,high,low,close,tick_volume,real_volume,spread
2026-06-12T00:00:00Z,66.792,68.382,65.919,68.064,98902,0,127
2026-06-14T00:00:00Z,69.509,70.387,69.469,70.352,6992,0,127
2026-06-15T00:00:00Z,70.347,71.329,69.807,69.924,109977,0,127
2026-06-16T00:00:00Z,69.922,71.224,69.054,69.892,104414,0,127
2026-06-17T00:00:00Z,69.924,71.584,66.794,68.397,121529,0,127
2026-06-18T00:00:00Z,68.399,69.852,65.114,65.299,130058,0,127
2026-06-19T00:00:00Z,65.314,65.527,63.284,64.8,81775,0,127
2026-06-21T00:00:00Z,64.577,65.062,64.249,64.409,7626,0,127
2026-06-22T00:00:00Z,64.412,67.174,64.409,64.947,116351,0,127
2026-06-23T00:00:00Z,64.944,65.199,60.777,61.622,135595,0,127
2026-06-24T00:00:00Z,61.637,62.362,55.702,57.704,148764,0,127
2026-06-25T00:00:00Z,57.702,58.979,56.344,57.597,142640,0,127
2026-06-26T00:00:00Z,57.602,59.469,55.634,59.154,116210,0,127
2026-06-28T00:00:00Z,59.052,59.257,58.384,58.567,8498,0,127
2026-06-29T00:00:00Z,58.562,59.049,57.337,58.382,119796,0,127
2026-06-30T00:00:00Z,58.379,60.397,56.542,58.372,120220,0,127
2026-07-01T00:00:00Z,58.372,61.032,57.132,59.119,115196,0,127
2026-07-02T00:00:00Z,59.122,62.087,58.927,61.067,129053,0,127
2026-07-03T00:00:00Z,61.059,62.877,61.007,62.334,74090,0,127
2026-07-05T00:00:00Z,62.824,63.244,62.642,62.774,6480,0,127
2026-07-06T00:00:00Z,62.792,63.089,61.314,61.722,103268,0,127
2026-07-07T00:00:00Z,61.724,61.999,59.399,59.634,116218,0,127
2026-07-08T00:00:00Z,59.637,60.994,57.167,58.372,128816,0,127
2026-07-09T00:00:00Z,58.379,60.607,57.537,60.009,95169,0,127
2026-07-10T00:00:00Z,60.007,60.772,58.847,59.834,87569,0,127
2026-07-12T00:00:00Z,58.982,59.022,58.479,58.934,6696,0,127
2026-07-13T00:00:00Z,58.942,59.369,57.199,57.532,113608,0,127
2026-07-14T00:00:00Z,57.532,59.654,56.787,58.737,110619,0,127
