timestamp_utc,open,high,low,close,tick_volume,real_volume,spread
2018-12-12T00:00:00Z,151.74,151.77,151.69,151.71,809,0,7
2018-12-13T00:00:00Z,151.69,151.81,151.63,151.77,718,0,7
2018-12-14T00:00:00Z,151.79,152.18,151.77,152.16,839,0,7
2018-12-17T00:00:00Z,152.04,152.14,152.02,152.14,615,0,7
2018-12-18T00:00:00Z,152.12,152.44,152.1,152.43,697,0,7
2018-12-19T00:00:00Z,152.41,152.81,152.12,152.44,3074,0,7
2018-12-20T00:00:00Z,152.55,152.65,152.32,152.47,2086,0,7
2018-12-21T00:00:00Z,152.35,152.43,152.17,152.24,1244,0,7
2018-12-24T00:00:00Z,152.29,152.3,152.24,152.27,5,0,14
2018-12-26T00:00:00Z,152.34,152.51,152.23,152.3,1078,0,7
2018-12-27T00:00:00Z,152.12,152.42,152.12,152.4,825,0,7
2018-12-28T00:00:00Z,152.37,152.55,152.31,152.54,833,0,7
2018-12-31T00:00:00Z,152.42,152.56,152.42,152.55,44,0,7
2019-01-01T00:00:00Z,152.5,152.5,152.5,152.5,1,0,11
2019-01-02T00:00:00Z,152.51,152.67,152.43,152.66,367,0,7
2019-01-03T00:00:00Z,152.69,152.89,152.65,152.85,272,0,7
2019-01-04T00:00:00Z,152.87,152.95,152.49,152.53,1532,0,7
2019-01-06T00:00:00Z,152.47,152.58,152.47,152.54,28,0,7
2019-01-07T00:00:00Z,152.55,152.7,152.51,152.54,722,0,7
2019-01-08T00:00:00Z,152.52,152.54,152.29,152.33,783,0,7
2019-01-09T00:00:00Z,152.34,152.4,152.29,152.37,477,0,7
2019-01-10T00:00:00Z,152.39,152.57,152.38,152.43,619,0,7
2019-01-11T00:00:00Z,152.43,152.58,152.42,152.56,628,0,7
2019-01-13T00:00:00Z,152.59,152.59,152.59,152.59,1,0,8
2019-01-14T00:00:00Z,152.59,152.67,152.58,152.59,84,0,7
2019-01-15T00:00:00Z,152.59,152.61,152.4,152.43,565,0,7
2019-01-16T00:00:00Z,152.44,152.61,152.44,152.52,515,0,7
2019-01-17T00:00:00Z,152.53,152.59,152.46,152.48,473,0,7
2019-01-18T00:00:00Z,152.47,152.51,152.37,152.38,626,0,7
2019-01-20T00:00:00Z,152.33,152.4,152.33,152.38,33,0,7
2019-01-21T00:00:00Z,152.38,152.53,152.37,152.49,1254,0,7
2019-01-22T00:00:00Z,152.48,152.6,152.47,152.54,532,0,7
