timestamp_utc,open,high,low,close,tick_volume,real_volume,spread
2024-09-30T00:00:00Z,19.45,19.9,18.85,18.85,1450,0,5
2024-10-01T00:00:00Z,18.8,20.7,18.8,20.35,4365,0,5
2024-10-02T00:00:00Z,20.5,21.1,19.9,20.05,2017,0,5
2024-10-03T00:00:00Z,20.65,21.25,20.25,21.05,2599,0,5
2024-10-04T00:00:00Z,20.5,20.95,20.15,20.2,1803,0,5
2024-10-07T00:00:00Z,20.7,22.7,20.7,22.55,1877,0,5
2024-10-08T00:00:00Z,21.6,21.85,21.15,21.4,1204,0,5
2024-10-09T00:00:00Z,21.25,21.35,20.7,20.85,892,0,5
2024-10-10T00:00:00Z,21.15,21.6,21.05,21.3,1560,0,5
2024-10-11T00:00:00Z,21.4,21.4,20.85,21.1,730,0,5
2024-10-14T00:00:00Z,20.8,20.85,19.95,20.2,632,0,5
2024-10-15T00:00:00Z,19.75,21.2,19.65,21.0,1737,0,5
2024-10-16T00:00:00Z,21.0,21.0,21.0,21.0,2,0,5
2024-10-17T00:00:00Z,21.0,21.0,21.0,21.0,2,0,5
2024-10-18T00:00:00Z,21.0,21.0,21.0,21.0,3,0,5
2026-02-12T00:00:00Z,19.3,20.6,19.2,20.6,2011,0,5
2026-02-13T00:00:00Z,20.6,21.2,19.85,20.8,2884,0,5
2026-02-16T00:00:00Z,20.65,20.75,20.5,20.65,291,0,5
2026-02-17T00:00:00Z,20.65,21.5,20.05,20.25,2319,0,5
2026-02-18T00:00:00Z,20.25,20.45,19.7,20.1,1436,0,5
2026-02-19T00:00:00Z,20.1,21.1,20.1,20.75,2359,0,5
2026-02-20T00:00:00Z,20.75,21.2,19.95,20.2,3182,0,5
2026-02-23T00:00:00Z,20.25,21.2,19.95,21.1,2139,0,5
2026-02-24T00:00:00Z,21.1,21.25,20.2,20.25,1362,0,5
2026-02-25T00:00:00Z,20.25,20.25,19.45,19.45,657,0,5
2026-02-26T00:00:00Z,19.45,20.6,19.3,19.8,2802,0,5
2026-02-27T00:00:00Z,19.8,21.2,19.8,20.6,2892,0,5
2026-03-02T00:00:00Z,22.0,22.1,20.5,20.85,3217,0,5
2026-03-03T00:00:00Z,20.85,24.85,20.85,22.0,5645,0,5
2026-03-04T00:00:00Z,22.0,22.05,20.7,21.1,2396,0,5
2026-03-05T00:00:00Z,21.1,24.25,21.1,22.9,4608,0,5
2026-03-06T00:00:00Z,22.9,26.95,22.9,26.85,6456,0,5
2026-03-09T00:00:00Z,27.15,28.5,23.1,23.5,6813,0,5
2026-03-10T00:00:00Z,23.5,25.05,22.1,25.0,5445,0,5
2026-03-11T00:00:00Z,25.0,25.15,23.55,23.55,4678,0,5
2026-03-12T00:00:00Z,23.55,26.05,23.55,25.8,5490,0,5
2026-03-13T00:00:00Z,25.8,26.8,24.2,26.35,5309,0,5
