entry_time,entry_price,exit_time,exit_price,side,gross_pnl,spread_cost,commission,slippage,net_pnl
2018-12-12,,,,,,,,,-11.859931386431846
2018-12-13,,,,,,,,,-27.6221865865951
2018-12-14,,,,,,,,,-25.36644126105539
2018-12-17,,,,,,,,,21.695004283021
2018-12-18,,,,,,,,,-28.933402663943838
2018-12-19,,,,,,,,,5.957541303309714
2018-12-20,,,,,,,,,31.36159752704249
2018-12-21,,,,,,,,,-32.90392935032763
2018-12-24,,,,,,,,,12.767160789501743
2018-12-26,,,,,,,,,-36.28101438473
2018-12-27,,,,,,,,,-35.92188377104777
2018-12-28,,,,,,,,,-20.10673049611599
2018-12-31,,,,,,,,,-30.209428607755143
2019-01-02,,,,,,,,,-34.696706828502286
2019-01-03,,,,,,,,,-7.121581492491938
2019-01-04,,,,,,,,,-36.30153590839589
2019-01-07,,,,,,,,,-33.885304413313484
2019-01-08,,,,,,,,,0.4701415002697269
2019-01-09,,,,,,,,,15.908050983103562
2019-01-10,,,,,,,,,-33.08882014215236
2019-01-11,,,,,,,,,-30.900837000670535
2019-01-14,,,,,,,,,-18.498281485891944
2019-01-15,,,,,,,,,-30.254187255479387
2019-01-16,,,,,,,,,-7.852920468471129
2019-01-17,,,,,,,,,-26.975407362427248
2019-01-18,,,,,,,,,-31.340143130066117
2019-01-21,,,,,,,,,-26.605095392000255
2019-01-22,,,,,,,,,-26.94936845301894
2019-01-23,,,,,,,,,-26.06161504867545
2019-01-24,,,,,,,,,-27.779200958915403
2019-01-25,,,,,,,,,31.919497902580044
2019-01-28,,,,,,,,,-26.510011125738586
2019-01-29,,,,,,,,,-30.131217685744975
2019-01-30,,,,,,,,,-27.596934210539985
2019-01-31,,,,,,,,,-28.992545528320797
2019-02-01,,,,,,,,,-28.53454886242541
2019-02-04,,,,,,,,,-24.829828291131488
2019-02-05,,,,,,,,,-27.04851172757956
2019-02-06,,,,,,,,,-24.685536925600346
2019-02-07,,,,,,,,,-28.07460839620859
2019-02-08,,,,,,,,,-24.090479778131417
2019-02-11,,,,,,,,,-27.714701760596824
2019-02-12,,,,,,,,,-27.89961017478924
2019-02-13,,,,,,,,,-25.00339204742813
2019-02-14,,,,,,,,,-32.890154119100714
