timestamp_utc,timestamp_unix,open,high,low,close,tick_volume,real_volume,spread
2013-10-11T21:00:00Z,1381525200,157.246,157.247,157.056,157.144,2569,0,9
2013-10-13T23:00:00Z,1381705200,156.836,157.011,156.807,156.898,1800,0,2
2013-10-14T00:00:00Z,1381708800,156.896,157.01,156.828,156.976,1142,0,5
2013-10-14T01:00:00Z,1381712400,156.975,157.019,156.889,156.96,1462,0,8
2013-10-14T02:00:00Z,1381716000,156.96,157.043,156.879,157.011,1580,0,12
2013-10-14T03:00:00Z,1381719600,157.01,157.074,156.996,157.067,858,0,12
2013-10-14T04:00:00Z,1381723200,157.067,157.111,157.047,157.093,850,0,11
2013-10-14T05:00:00Z,1381726800,157.096,157.114,157.009,157.086,900,0,10
2013-10-14T06:00:00Z,1381730400,157.087,157.107,157.042,157.062,851,0,12
2013-10-14T07:00:00Z,1381734000,157.062,157.097,156.951,156.99,1470,0,10
2013-10-14T08:00:00Z,1381737600,156.99,157.091,156.95,157.018,2172,0,6
2013-10-14T09:00:00Z,1381741200,157.02,157.058,156.914,156.967,2060,0,8
2013-10-14T10:00:00Z,1381744800,156.967,157.012,156.827,156.943,1961,0,11
2013-10-14T11:00:00Z,1381748400,156.943,157.099,156.942,157.043,1827,0,9
2013-10-14T12:00:00Z,1381752000,157.04,157.093,156.968,157.029,1679,0,8
2013-10-14T13:00:00Z,1381755600,157.029,157.152,156.948,157.072,2973,0,9
2013-10-14T14:00:00Z,1381759200,157.072,157.191,157.055,157.147,2317,0,10
2013-10-14T15:00:00Z,1381762800,157.149,157.19,157.063,157.128,2454,0,11
2013-10-14T16:00:00Z,1381766400,157.13,157.197,157.053,157.162,2496,0,11
2013-10-14T17:00:00Z,1381770000,157.162,157.239,157.079,157.223,1873,0,8
2013-10-14T18:00:00Z,1381773600,157.223,157.388,157.207,157.282,1953,0,11
2013-10-14T19:00:00Z,1381777200,157.282,157.519,157.258,157.416,2125,0,8
2013-10-14T20:00:00Z,1381780800,157.418,157.617,157.358,157.598,1967,0,10
2013-10-14T21:00:00Z,1381784400,157.603,157.622,157.462,157.507,1351,0,12
2013-10-14T22:00:00Z,1381788000,157.514,157.706,157.511,157.632,1152,0,10
2013-10-14T23:00:00Z,1381791600,157.632,157.704,157.52,157.552,1296,0,12
2013-10-15T00:00:00Z,1381795200,157.555,157.609,157.516,157.528,1293,0,8
2013-10-15T01:00:00Z,1381798800,157.518,157.542,157.181,157.331,2843,0,5
2013-10-15T02:00:00Z,1381802400,157.327,157.471,157.323,157.39,2359,0,8
2013-10-15T03:00:00Z,1381806000,157.392,157.474,157.338,157.356,1572,0,10
2013-10-15T04:00:00Z,1381809600,157.355,157.571,157.352,157.452,1672,0,8
2013-10-15T05:00:00Z,1381813200,157.456,157.547,157.429,157.488,1674,0,11
