date,asof_date,open_interest,mm_long,mm_short,mm_net,mm_net_oi,com_net,com_net_oi,knowledge_time_utc
2018-01-05,2018-01-02,2479798.0,426682.0,37546.0,389136.0,0.15692245900674168,-77532.0,-0.03126544984712464,2018-01-05T21:00:00Z
2018-01-12,2018-01-09,2545313.0,463262.0,30612.0,432650.0,0.16997909490895619,-68177.0,-0.02678531088318018,2018-01-12T21:00:00Z
2018-01-19,2018-01-16,2611581.0,514642.0,30813.0,483829.0,0.18526287333228417,-78686.0,-0.0301296417763799,2018-01-19T21:00:00Z
2018-01-26,2018-01-23,2593128.0,514887.0,36330.0,478557.0,0.18454815959721232,-75252.0,-0.02901977842975742,2018-01-26T21:00:00Z
2018-02-02,2018-01-30,2643683.0,519545.0,36765.0,482780.0,0.18261644834119672,-84233.0,-0.031861989504793124,2018-02-02T21:00:00Z
2018-02-09,2018-02-06,2589270.0,500141.0,32358.0,467783.0,0.18066211712181426,-80658.0,-0.03115086491559397,2018-02-09T21:00:00Z
2018-02-16,2018-02-13,2530604.0,477670.0,29270.0,448400.0,0.17719089988002865,-75335.0,-0.029769572797640406,2018-02-16T21:00:00Z
2018-02-23,2018-02-20,2431805.0,460261.0,22330.0,437931.0,0.18008475186127176,-76984.0,-0.0316571435620866,2018-02-23T21:00:00Z
2018-03-02,2018-02-27,2460214.0,480874.0,20537.0,460337.0,0.1871125845150056,-93913.0,-0.03817269554599722,2018-03-02T21:00:00Z
2018-03-09,2018-03-06,2451492.0,469822.0,28698.0,441124.0,0.17994103182878018,-91939.0,-0.037503283714570554,2018-03-09T21:00:00Z
2018-03-16,2018-03-13,2403162.0,455113.0,30106.0,425007.0,0.17685324584859446,-85747.0,-0.035680907071599835,2018-03-16T21:00:00Z
2018-03-23,2018-03-20,2392391.0,479798.0,23570.0,456228.0,0.19069959718123,-96010.0,-0.04013139992584824,2018-03-23T21:00:00Z
2018-03-30,2018-03-27,2513575.0,493496.0,30072.0,463424.0,0.18436847915817114,-86729.0,-0.03450424196612395,2018-03-30T21:00:00Z
2018-04-06,2018-04-03,2547337.0,454856.0,33792.0,421064.0,0.16529575788362513,-86586.0,-0.03399079116740345,2018-04-06T21:00:00Z
2018-04-13,2018-04-10,2480033.0,450579.0,33777.0,416802.0,0.16806308625731997,-101035.0,-0.04073937725828648,2018-04-13T21:00:00Z
2018-04-20,2018-04-17,2596578.0,460778.0,29221.0,431557.0,0.1662022092153596,-101302.0,-0.03901365566526405,2018-04-20T21:00:00Z
2018-04-27,2018-04-24,2574820.0,455634.0,31038.0,424596.0,0.16490317769785848,-81175.0,-0.031526475637131915,2018-04-27T21:00:00Z
2018-05-04,2018-05-01,2621768.0,440176.0,34075.0,406101.0,0.15489585653650514,-74388.0,-0.02837321990351549,2018-05-04T21:00:00Z
2018-05-11,2018-05-08,2658229.0,428558.0,25437.0,403121.0,0.1516502152372877,-60666.0,-0.02282196153905476,2018-05-11T21:00:00Z
2018-05-18,2018-05-15,2706454.0,406139.0,28683.0,377456.0,0.13946514516780997,-30083.0,-0.011115282210597335,2018-05-18T21:00:00Z
2018-05-25,2018-05-22,2643354.0,385874.0,31593.0,354281.0,0.13402707318051232,-14640.0,-0.005538418236830935,2018-05-25T21:00:00Z
2018-06-01,2018-05-29,2620926.0,351076.0,50089.0,300987.0,0.11483994588172272,-7098.0,-0.002708203131259715,2018-06-01T21:00:00Z
2018-06-08,2018-06-05,2546827.0,341644.0,55468.0,286176.0,0.11236570053639293,-25721.0,-0.01009923328125546,2018-06-08T21:00:00Z
2018-06-15,2018-06-12,2524439.0,351619.0,61152.0,290467.0,0.11506199991364419,-44455.0,-0.017609853119841676,2018-06-15T21:00:00Z
2018-06-22,2018-06-19,2458404.0,349807.0,53944.0,295863.0,0.12034759136415332,-38139.0,-0.015513723537709832,2018-06-22T21:00:00Z
2018-06-29,2018-06-26,2423829.0,398030.0,19159.0,378871.0,0.1563109443776768,-65468.0,-0.02701015624452055,2018-06-29T21:00:00Z
2018-07-06,2018-07-03,2466531.0,445884.0,15056.0,430828.0,0.17466960682837557,-81520.0,-0.03305046642430198,2018-07-06T21:00:00Z
2018-07-13,2018-07-10,2499172.0,447069.0,17353.0,429716.0,0.1719433476367373,-82552.0,-0.0330317401123252,2018-07-13T21:00:00Z
2018-07-20,2018-07-17,2440486.0,404894.0,14132.0,390762.0,0.16011646860502377,-72626.0,-0.029758826725496478,2018-07-20T21:00:00Z
2018-07-27,2018-07-24,2361062.0,399534.0,15889.0,383645.0,0.162488320933546,-61068.0,-0.02586463210199478,2018-07-27T21:00:00Z
2018-08-03,2018-07-31,2349169.0,402496.0,18051.0,384445.0,0.16365148697262735,-59309.0,-0.025246800038651967,2018-08-03T21:00:00Z
2018-08-10,2018-08-07,2342575.0,396109.0,16864.0,379245.0,0.16189236203750146,-63558.0,-0.027131682016584314,2018-08-10T21:00:00Z
2018-08-17,2018-08-14,2329989.0,353696.0,21188.0,332508.0,0.14270796986595216,-58816.0,-0.02524303762807464,2018-08-17T21:00:00Z
2018-08-24,2018-08-21,2235767.0,364895.0,33235.0,331660.0,0.14834282821063197,-35171.0,-0.015731066788265503,2018-08-24T21:00:00Z
2018-08-31,2018-08-28,2240977.0,378229.0,19992.0,358237.0,0.15985750857773195,-44519.0,-0.01986588885115733,2018-08-31T21:00:00Z
2018-09-07,2018-09-04,2303047.0,396983.0,19242.0,377741.0,0.16401792929106526,-51455.0,-0.022342140651059227,2018-09-07T21:00:00Z
2018-09-14,2018-09-11,2281869.0,373377.0,24809.0,348568.0,0.15275548245758191,-49470.0,-0.021679596856787133,2018-09-14T21:00:00Z
2018-09-21,2018-09-18,2228937.0,352604.0,25847.0,326757.0,0.14659768311082816,-45532.0,-0.020427674716692306,2018-09-21T21:00:00Z
2018-09-28,2018-09-25,2225779.0,358204.0,24563.0,333641.0,0.14989852990795582,-69959.0,-0.03143124272445737,2018-09-28T21:00:00Z
2018-10-05,2018-10-02,2245589.0,359337.0,29838.0,329499.0,0.1467316592662326,-51305.0,-0.022847012520991153,2018-10-05T21:00:00Z
2018-10-12,2018-10-09,2217171.0,334714.0,38037.0,296677.0,0.13380880410216442,-27996.0,-0.012626901578633313,2018-10-12T21:00:00Z
2018-10-19,2018-10-16,2218887.0,307049.0,57497.0,249552.0,0.1124671963917045,-18659.0,-0.008409170904151496,2018-10-19T21:00:00Z
2018-10-26,2018-10-23,2131494.0,269291.0,69842.0,199449.0,0.09357239569991753,-17975.0,-0.008433052122126547,2018-10-26T21:00:00Z
2018-11-02,2018-10-30,2093055.0,255238.0,68728.0,186510.0,0.08910898184710865,-978.0,-0.00046725957989637157,2018-11-02T21:00:00Z
2018-11-09,2018-11-06,2075239.0,241906.0,93737.0,148169.0,0.07139852325442997,-4740.0,-0.002284074268072256,2018-11-09T21:00:00Z
2018-11-16,2018-11-13,2110793.0,244987.0,109306.0,135681.0,0.06427963329421692,-3239.0,-0.001534494381969241,2018-11-16T21:00:00Z
2018-11-23,2018-11-20,1998866.0,235546.0,102596.0,132950.0,0.06651271270810549,17056.0,0.008532838119213595,2018-11-23T21:00:00Z
2018-11-30,2018-11-27,2020092.0,222409.0,93965.0,128444.0,0.06358324274339981,21244.0,0.010516352720569163,2018-11-30T21:00:00Z
2018-12-07,2018-12-04,2048735.0,210034.0,106054.0,103980.0,0.05075326970057133,16320.0,0.007965891147464167,2018-12-07T21:00:00Z
2018-12-14,2018-12-11,2050634.0,206987.0,112347.0,94640.0,0.04615158043804989,17980.0,0.008768020036730105,2018-12-14T21:00:00Z
2018-12-21,2018-12-18,2063376.0,195923.0,128627.0,67296.0,0.032614511363900714,17134.0,0.008303867060584207,2018-12-21T21:00:00Z
2018-12-28,2018-12-24,2073992.0,196962.0,120752.0,76210.0,0.036745561217208164,23818.0,0.011484133014977879,2018-12-28T21:00:00Z
2019-01-04,2018-12-31,2104675.0,203415.0,125298.0,78117.0,0.037115944266929574,11713.0,0.005565229786071484,2019-01-04T21:00:00Z
2019-01-11,2019-01-08,2120930.0,202408.0,142709.0,59699.0,0.028147557910916436,9987.0,0.0047087834110508126,2019-01-11T21:00:00Z
2019-01-18,2019-01-15,2103777.0,204610.0,108148.0,96462.0,0.045851817944582526,-30709.0,-0.014597079443306016,2019-01-18T21:00:00Z
2019-01-25,2019-01-22,2048817.0,214399.0,89168.0,125231.0,0.06112356545264901,-51440.0,-0.025107171601953714,2019-01-25T21:00:00Z
2019-02-01,2019-01-29,2042018.0,224573.0,70931.0,153642.0,0.07524027702008504,-74461.0,-0.03646441902079218,2019-02-01T21:00:00Z
2019-02-08,2019-02-05,2057061.0,229031.0,81026.0,148005.0,0.07194973799999126,-57076.0,-0.027746381852555662,2019-02-08T21:00:00Z
2019-02-15,2019-02-12,2077398.0,219088.0,82705.0,136383.0,0.06565087672174519,-39590.0,-0.019057494038215113,2019-02-15T21:00:00Z
2019-02-22,2019-02-19,2019218.0,222647.0,79198.0,143449.0,0.07104185877899266,-17896.0,-0.008862836999273977,2019-02-22T21:00:00Z
2019-03-01,2019-02-26,2025884.0,224313.0,76399.0,147914.0,0.07301207769052917,-15996.0,-0.00789581239597134,2019-03-01T21:00:00Z
2019-03-08,2019-03-05,2067851.0,239723.0,63656.0,176067.0,0.08514491614724659,-25388.0,-0.01227748034070153,2019-03-08T21:00:00Z
2019-03-15,2019-03-12,2012864.0,242177.0,58369.0,183808.0,0.09131665129884582,-32319.0,-0.016056226352103273,2019-03-15T21:00:00Z
2019-03-22,2019-03-19,1962559.0,284974.0,46309.0,238665.0,0.12160908283521667,-40766.0,-0.020771859597596812,2019-03-22T21:00:00Z
2019-03-29,2019-03-26,1968511.0,305594.0,38543.0,267051.0,0.13566142124682057,-56578.0,-0.028741520875423098,2019-03-29T21:00:00Z
2019-04-05,2019-04-02,1975009.0,318080.0,32378.0,285702.0,0.14465858130266748,-66426.0,-0.03363326445601007,2019-04-05T21:00:00Z
2019-04-12,2019-04-09,2021814.0,344229.0,24171.0,320058.0,0.15830239576934377,-74495.0,-0.03684562477062677,2019-04-12T21:00:00Z
2019-04-19,2019-04-16,2092151.0,345258.0,25210.0,320048.0,0.1529755739427986,-65829.0,-0.031464746091462804,2019-04-19T21:00:00Z
2019-04-26,2019-04-23,2139213.0,352453.0,22057.0,330396.0,0.15444745333914855,-59049.0,-0.027603141903120448,2019-04-26T21:00:00Z
