entry_time,entry_price,exit_time,exit_price,side,gross_pnl,spread_cost,commission,slippage,net_pnl
2019-01-03T00:00:00Z,45.84078,2019-01-09T00:00:00Z,49.89504,1,107.77487895186553,0.7974935915693533,1.2724783822272854,2.5450678818949966,107.11169604101393
2019-01-16T00:00:00Z,51.92686,2019-01-22T00:00:00Z,54.16077,1,84.49030603774162,1.1346514323013221,2.0062080221492122,4.012505681761576,83.46607945015758
2019-01-23T00:00:00Z,52.947880000000005,2019-01-29T00:00:00Z,51.97296,1,-43.101891845904426,1.326320883125925,2.3193116861185645,4.6385862352524025,-44.25077221600223
2019-01-30T00:00:00Z,53.3683,2019-02-05T00:00:00Z,54.65028,1,59.06046057334405,1.382091621710413,2.488192906784267,4.976451232571961,57.80159900480858
2019-02-06T00:00:00Z,53.828759999999996,2019-02-11T00:00:00Z,51.406259999999996,1,-102.00137562719772,0.631587465183887,2.2155039843458546,2.263609475219051,-103.08362727546384
2019-02-12T00:00:00Z,52.47741,2019-02-18T00:00:00Z,56.228699999999996,1,164.7151811713945,1.3172683090728359,2.386585228426428,4.7733412626436,163.48070976188845
2019-02-19T00:00:00Z,56.33126,2019-02-25T00:00:00Z,57.26766000000001,1,49.20656595267125,1.5764598233448608,2.9847355559227835,5.969527864399207,47.701896533221685
2019-02-26T00:00:00Z,55.520450000000004,2019-03-04T00:00:00Z,55.91901,1,23.3728862094884,1.7592999455155023,3.26759059843795,6.53521286427492,21.733247688717054
2019-03-05T00:00:00Z,56.48141,2019-03-08T00:00:00Z,54.73712428571428,1,-103.24576405059001,0.8878628358158835,3.2915601082066783,3.3389561712249325,-104.8657326636807
2019-03-10T00:00:00Z,56.09601,2019-03-15T00:00:00Z,58.45647,1,130.87977341264485,2.4951025662663255,3.175779853557466,6.350867732003221,129.25916354251297
2019-03-17T00:00:00Z,58.538450000000005,2019-03-22T00:00:00Z,59.84508,1,81.71537816378672,2.81425653579851,3.701795811482211,7.402745469832658,79.84405141350467
2019-03-24T00:00:00Z,59.10403,2019-03-29T00:00:00Z,59.43549,1,21.341635711685303,1.9316028219108168,3.8161878556658957,7.632406616976942,19.428206374924432
2019-03-31T00:00:00Z,60.31524,2019-04-05T00:00:00Z,61.88304,1,98.63472742490626,1.8873847574608948,3.8439195176656424,7.687947245390712,96.68810898421721
2019-04-07T00:00:00Z,63.378299999999996,2019-04-12T00:00:00Z,63.67125,1,18.56168206028518,1.9008378965985542,4.025009989763214,8.050048492094877,16.5445366448885
2019-04-14T00:00:00Z,63.84877,2019-04-21T00:00:00Z,64.14576,1,20.682676835272378,3.133844431082785,4.456832722772871,8.91474279162016,18.449089804677126
