signal,pred,on,n,lf_ret,ew4_ret,eq_lf,eq_ew4
2019-07-01,-0.005167078692466021,False,4,0.0,0.015185777466893195,1.0,1.015185777466893
2019-07-30,-0.005167078692466021,False,4,0.0,0.04495280459165573,1.0,1.0608212253455904
2019-08-28,-0.005167078692466021,False,4,0.0,-0.00175807588160038,1.0,1.0589562211346206
2019-09-27,-0.005167078692466021,False,4,0.0,0.004627867970764637,1.0,1.0638569307128514
2019-11-04,-0.005167078692466021,False,4,0.0,-0.02516549229979515,1.0,1.0370844473149134
2019-12-03,-0.005167078692466021,False,4,0.0,0.04930757209300995,1.0,1.088220563467433
2020-01-02,-0.005167078692466021,False,4,0.0,-0.06250690445661544,1.0,1.0201992646790499
2020-02-10,-0.005167078692466021,False,4,0.0,-0.07802482471227645,1.0,0.9405983958808737
2020-03-10,-0.005167078692466021,False,4,0.0,-0.040491899106502534,1.0,0.9025117805351273
2020-04-09,-0.005167078692466021,False,4,0.0,-0.019307223711013795,1.0,0.8850867836865102
2020-05-13,-0.005167078692466021,False,4,0.0,0.09731224402427674,1.0,0.9712165647632742
2020-06-11,-0.005167078692466021,False,4,0.0,0.05487067103028297,1.0,1.0245078693875613
2020-07-14,-0.002806812059134245,False,4,0.0,0.08650979622840882,1.0,1.1131378364026807
2020-08-12,-0.002806812059134245,False,4,0.0,-0.03412022963523865,1.0,1.0751573178089486
2020-09-10,-0.002806812059134245,False,4,0.0,-0.053153400871753693,1.0,1.01800904989525
2020-10-19,-0.002806812059134245,False,4,0.0,-0.017006532851457597,1.0,1.0006962455451254
2020-11-17,-0.002806812059134245,False,4,0.0,0.04091987609505653,1.0,1.04164461192162
2020-12-16,-0.002806812059134245,False,4,0.0,0.020109545808434486,1.0,1.0625916119611667
2021-01-15,-0.002806812059134245,False,4,0.0,0.060183005776405334,1.0,1.1265415690817853
2021-02-22,-0.002806812059134245,False,4,0.0,-0.030845913667082787,1.0,1.0917923650995085
2021-03-23,-0.002806812059134245,False,4,0.0,0.0316450320148468,1.0,1.1263421694466476
2021-04-22,-0.002806812059134245,False,4,0.0,0.04522613659143448,1.0,1.177282274250734
2021-05-26,-0.002806812059134245,False,4,0.0,-0.025386949632167817,1.0,1.1473946684514866
2021-06-25,0.004254756961017847,True,4,-0.019857603687644006,-0.019857603687644006,0.980142396312356,1.1246101598520613
2021-07-26,0.004254756961017847,True,4,-0.04103349671125412,-0.04103349671125412,0.9399237265167122,1.0784634725563287
2021-08-24,0.004254756961017847,True,4,0.01112763061761856,0.01112763061761856,0.9503828505541256,1.0904642157135296
2021-09-24,0.004254756961017847,True,4,0.028953737016916274,0.028953737016916274,0.9778999856744569,1.1220372298416568
2021-11-01,0.004254756961017847,True,4,-0.03816913217663765,-0.03816913217663765,0.9405743918657165,1.0792100425087223
2021-11-30,0.004254756961017847,True,4,0.03632868677020073,0.03632868677020073,0.974744224331878,1.1184163261022766
2021-12-29,0.004254756961017847,True,4,0.03130527436375618,0.03130527436375618,1.0052588597090741,1.1534286560438125
2022-01-28,0.004254756961017847,True,4,0.10821723416090012,0.10821723416090012,1.1140451931225306,1.2782495150027982
2022-03-07,0.004254756961017847,True,4,-0.03900718465805054,-0.03900718465805054,1.0705894265569864,1.2283886001320206
2022-04-07,0.004254756961017847,True,4,0.0056051969492435455,0.0056051969492435455,1.076590291144616,1.235273960165966
2022-05-11,0.004254756961017847,True,4,0.040859515216350555,0.040859515216350555,1.1205792485274144,1.2857466553377286
2022-06-10,0.004254756961017847,True,4,-0.11361118927955627,-0.11361118927955627,0.9932689074202234,1.1396714487125974
2022-07-11,0.00548972375690937,True,4,0.025789721306562423,0.025789721306562423,1.0188850357250647,1.1690632577559414
2022-08-09,0.00548972375690937,True,4,-0.007295697558522224,-0.007295697558522224,1.0114515586575106,1.1605341258005735
2022-09-07,0.00548972375690937,True,4,0.036484675850868224,0.036484675850868224,1.048354040913985,1.202875837194278
2022-10-14,0.00548972375690937,True,4,0.058756305273771285,0.058756305273771285,1.1099514509769188,1.273552377090908
2022-11-14,0.00548972375690937,True,4,-0.044781142476797105,-0.044781142476797105,1.0602465569083939,1.2165212466407365
2022-12-13,0.00548972375690937,True,4,0.005814509369581938,0.005814509369581938,1.0664113704476046,1.2235947208276243
2023-01-12,0.00548972375690937,True,4,0.0037724640184640884,0.0037724640184640884,1.070434368971499,1.228210687885129
2023-02-17,0.00548972375690937,True,4,-0.01084853858113289,-0.01084853858113289,1.058821720421141,1.2148863968518475
2023-03-20,0.00548972375690937,True,4,0.08745965584754944,0.08745965584754944,1.1514259036930843,1.3211399430143795
2023-04-19,0.00548972375690937,True,4,-0.05025547519683838,-0.05025547519683838,1.0935604477490393,1.2547454273766678
2023-05-23,0.00548972375690937,True,4,0.03424901365876198,0.03424901365876198,1.1310138144606778,1.2977192206571604
2023-06-21,0.004955376032739878,True,4,0.04663049280285835,0.04663049280285835,1.1837535459958197,1.358232507436145
