signal_date,entry,exit,n_sel,n_fill,lo_ret,idx_ret,capital_ret,net_yuan,equity
2012-01-04,2012-01-05,2012-02-09,417,402,0.0549319968881159,0.10250220448930047,-0.039533825562700055,-39533.82556270005,960466.1744373
2012-02-08,2012-02-09,2012-03-08,418,408,0.07374585733230288,0.03437216650366848,0.03190547429653393,30644.128841199563,991110.3032784995
2012-03-07,2012-03-08,2012-04-10,423,405,-0.05146299281528122,-0.0467462869392129,-0.007917985069987081,-7847.596584069543,983262.70669443
2012-04-09,2012-04-10,2012-05-10,421,397,0.049994403246323316,0.06729765327593662,-0.013631262443776722,-13403.112006130046,969859.5946882999
2012-05-09,2012-05-10,2012-06-07,421,400,-0.03423492436691822,-0.02951235387735296,-0.007466466919271376,-7241.424580078106,962618.1701082218
2012-06-06,2012-06-07,2012-07-06,430,422,-0.00219328035014954,-0.05596972974649439,0.04255143964909924,40960.788970486494,1003578.9590787083
2012-07-05,2012-07-06,2012-08-03,440,432,-0.07417190346055957,-0.03893538557571474,-0.03282718803178937,-32944.67519442423,970634.2838842841
2012-08-02,2012-08-03,2012-08-31,447,443,0.014213570989846547,-0.05754940711462442,0.058264987036424395,56553.99396762694,1027188.277851911
2012-08-30,2012-08-31,2012-09-28,454,449,-0.005416099581831202,0.013370693290169822,-0.018134633242827006,-18627.682690175483,1008560.5951617355
2012-09-27,2012-09-28,2012-11-02,460,454,0.04911428366323767,0.02811557631562467,0.015874295114396166,16010.188528348459,1024570.783690084
2012-11-01,2012-11-02,2012-11-30,463,458,-0.12324254856565109,-0.07992514904913195,-0.03984496517225737,-40823.987192643806,983746.7964974402
2012-11-29,2012-11-30,2012-12-28,466,461,0.15279471552629897,0.15790071136673234,-0.00519169732769717,-5107.315614506486,978639.4808829337
2012-12-27,2012-12-28,2013-01-30,464,457,0.09721642600907665,0.0940941472500898,0.0015789419076050193,1545.2148888029624,980184.6957717367
2013-01-29,2013-01-30,2013-03-06,463,457,0.026469210200233295,-0.01626325870005929,0.033856938753317765,33186.053211683175,1013370.7489834198
2013-03-05,2013-03-06,2013-04-03,464,455,-0.027112877569370863,-0.05350928129281507,0.019283126786887286,19540.956634770264,1032911.7056181901
2013-04-02,2013-04-03,2013-05-08,464,454,0.009464632054950295,0.01940349976743061,-0.010359198140696569,-10700.137020343682,1022211.5685978464
