timestamp_utc,timestamp_unix,open,high,low,close,tick_volume,real_volume,spread
2026-04-30T06:00:00Z,1777528800,160.654,160.719,160.53,160.606,5050,0,13
2026-04-30T07:00:00Z,1777532400,160.606,160.613,159.767,160.133,5374,0,13
2026-04-30T08:00:00Z,1777536000,160.133,160.173,159.449,159.583,11183,0,13
2026-04-30T09:00:00Z,1777539600,159.572,159.592,159.217,159.338,9626,0,13
2026-04-30T10:00:00Z,1777543200,159.336,159.349,156.985,157.163,16233,0,13
2026-04-30T11:00:00Z,1777546800,157.164,157.464,155.554,156.372,19975,0,13
2026-04-30T12:00:00Z,1777550400,156.372,157.103,156.34,156.816,11494,0,13
2026-04-30T13:00:00Z,1777554000,156.816,156.956,156.201,156.92,10363,0,13
2026-04-30T14:00:00Z,1777557600,156.92,156.957,156.456,156.672,10562,0,13
2026-04-30T15:00:00Z,1777561200,156.672,156.827,156.598,156.658,8415,0,13
2026-04-30T16:00:00Z,1777564800,156.658,156.735,156.506,156.575,5505,0,13
2026-04-30T17:00:00Z,1777568400,156.575,156.694,156.423,156.479,5469,0,13
2026-04-30T18:00:00Z,1777572000,156.479,156.479,156.31,156.411,4943,0,13
2026-04-30T19:00:00Z,1777575600,156.41,156.564,156.3,156.562,5193,0,13
2026-04-30T20:00:00Z,1777579200,156.562,156.626,156.506,156.612,2674,0,13
2026-04-30T21:00:00Z,1777582800,156.48,156.652,156.48,156.579,507,0,19
2026-04-30T22:00:00Z,1777586400,156.579,156.743,156.565,156.659,1427,0,13
2026-04-30T23:00:00Z,1777590000,156.661,157.018,156.639,156.987,3532,0,13
2026-05-01T00:00:00Z,1777593600,156.987,157.302,156.961,157.076,7333,0,13
2026-05-01T01:00:00Z,1777597200,157.076,157.251,157.044,157.195,4921,0,13
2026-05-01T02:00:00Z,1777600800,157.194,157.322,157.124,157.234,3035,0,13
2026-05-01T03:00:00Z,1777604400,157.234,157.288,156.988,157.181,2984,0,13
2026-05-01T04:00:00Z,1777608000,157.181,157.276,157.106,157.242,2715,0,13
2026-05-01T05:00:00Z,1777611600,157.242,157.292,157.196,157.275,2322,0,13
2026-05-01T06:00:00Z,1777615200,157.275,157.29,155.483,155.96,7768,0,13
2026-05-01T07:00:00Z,1777618800,155.96,156.719,155.863,156.619,9893,0,13
2026-05-01T08:00:00Z,1777622400,156.619,156.652,156.259,156.468,5117,0,13
2026-05-01T09:00:00Z,1777626000,156.468,156.754,156.418,156.573,4062,0,13
2026-05-01T10:00:00Z,1777629600,156.573,156.622,156.484,156.586,2538,0,13
2026-05-01T11:00:00Z,1777633200,156.586,156.619,156.432,156.576,3415,0,13
2026-05-01T12:00:00Z,1777636800,156.576,156.638,156.383,156.59,6487,0,13
2026-05-01T13:00:00Z,1777640400,156.59,156.751,156.335,156.496,7020,0,13
2026-05-01T14:00:00Z,1777644000,156.491,156.721,156.363,156.633,9909,0,13
2026-05-01T15:00:00Z,1777647600,156.633,156.891,156.618,156.756,6812,0,13
2026-05-01T16:00:00Z,1777651200,156.756,156.94,156.665,156.937,5226,0,13
2026-05-01T17:00:00Z,1777654800,156.937,157.024,156.848,156.926,3847,0,13
2026-05-01T18:00:00Z,1777658400,156.926,157.115,156.911,157.01,5022,0,13
2026-05-01T19:00:00Z,1777662000,157.01,157.088,156.996,157.057,3286,0,13
2026-05-01T20:00:00Z,1777665600,157.056,157.088,156.961,157.062,3029,0,13
2026-05-03T21:00:00Z,1777842000,156.737,156.786,156.649,156.719,392,0,13
2026-05-03T22:00:00Z,1777845600,156.721,156.922,156.68,156.828,1795,0,13
2026-05-03T23:00:00Z,1777849200,156.829,156.898,156.791,156.895,1606,0,13
2026-05-04T00:00:00Z,1777852800,156.896,156.989,156.863,156.904,3918,0,13
2026-05-04T01:00:00Z,1777856400,156.904,157.076,156.637,157.036,5157,0,13
2026-05-04T02:00:00Z,1777860000,157.036,157.193,157.02,157.121,3869,0,13
2026-05-04T03:00:00Z,1777863600,157.121,157.244,155.7,156.2,7371,0,13
2026-05-04T04:00:00Z,1777867200,156.2,156.785,156.133,156.726,4836,0,13
2026-05-04T05:00:00Z,1777870800,156.726,156.86,156.521,156.78,4549,0,13
2026-05-04T06:00:00Z,1777874400,156.78,156.935,156.73,156.92,5482,0,13
2026-05-04T07:00:00Z,1777878000,156.922,156.976,156.813,156.891,4294,0,13
2026-05-04T08:00:00Z,1777881600,156.89,156.974,156.88,156.947,3899,0,13
2026-05-04T09:00:00Z,1777885200,156.947,157.008,156.891,156.964,4050,0,13
2026-05-04T10:00:00Z,1777888800,156.965,157.199,156.96,157.111,8940,0,13
2026-05-04T11:00:00Z,1777892400,157.112,157.178,157.061,157.17,4802,0,13
2026-05-04T12:00:00Z,1777896000,157.17,157.177,157.019,157.135,5118,0,13
2026-05-04T13:00:00Z,1777899600,157.135,157.178,156.965,157.012,7654,0,13
2026-05-04T14:00:00Z,1777903200,157.009,157.153,156.922,157.087,6716,0,13
2026-05-04T15:00:00Z,1777906800,157.087,157.295,156.936,157.194,8685,0,13
2026-05-04T16:00:00Z,1777910400,157.196,157.296,157.133,157.266,7206,0,13
2026-05-04T17:00:00Z,1777914000,157.266,157.281,157.162,157.222,5069,0,13
2026-05-04T18:00:00Z,1777917600,157.222,157.273,156.554,156.73,5165,0,13
2026-05-04T19:00:00Z,1777921200,156.74,157.126,156.74,157.092,5265,0,13
2026-05-04T20:00:00Z,1777924800,157.092,157.279,157.092,157.25,2339,0,13
2026-05-04T21:00:00Z,1777928400,157.152,157.204,157.129,157.145,391,0,23
2026-05-04T22:00:00Z,1777932000,157.145,157.266,157.133,157.225,947,0,13
2026-05-04T23:00:00Z,1777935600,157.225,157.235,157.172,157.21,1433,0,13
2026-05-05T00:00:00Z,1777939200,157.21,157.253,157.164,157.208,3204,0,13
2026-05-05T01:00:00Z,1777942800,157.208,157.267,157.184,157.207,2864,0,13
2026-05-05T02:00:00Z,1777946400,157.207,157.227,157.182,157.217,1871,0,13
2026-05-05T03:00:00Z,1777950000,157.217,157.263,157.209,157.262,1424,0,13
2026-05-05T04:00:00Z,1777953600,157.262,157.293,157.234,157.282,1856,0,13
2026-05-05T05:00:00Z,1777957200,157.282,157.296,157.208,157.275,3155,0,13
2026-05-05T06:00:00Z,1777960800,157.27,157.291,157.189,157.221,3669,0,13
2026-05-05T07:00:00Z,1777964400,157.221,157.234,157.075,157.231,4658,0,13
2026-05-05T08:00:00Z,1777968000,157.231,157.28,157.198,157.274,3060,0,13
2026-05-05T09:00:00Z,1777971600,157.274,157.881,157.106,157.507,6299,0,13
2026-05-05T10:00:00Z,1777975200,157.505,157.666,157.485,157.612,2967,0,13
2026-05-05T11:00:00Z,1777978800,157.612,157.788,157.607,157.741,3404,0,13
2026-05-05T12:00:00Z,1777982400,157.741,157.834,157.635,157.766,6261,0,13
2026-05-05T13:00:00Z,1777986000,157.767,157.792,157.669,157.773,5960,0,13
2026-05-05T14:00:00Z,1777989600,157.754,157.825,157.668,157.674,7424,0,13
2026-05-05T15:00:00Z,1777993200,157.674,157.725,157.603,157.675,4839,0,13
2026-05-05T16:00:00Z,1777996800,157.676,157.797,157.65,157.784,2817,0,13
2026-05-05T17:00:00Z,1778000400,157.784,157.882,157.766,157.847,2759,0,13
2026-05-05T18:00:00Z,1778004000,157.846,157.914,157.833,157.87,1985,0,13
2026-05-05T19:00:00Z,1778007600,157.87,157.913,157.857,157.875,1926,0,13
2026-05-05T20:00:00Z,1778011200,157.875,157.892,157.836,157.881,2096,0,13
2026-05-05T21:00:00Z,1778014800,157.814,157.896,157.812,157.89,256,0,13
