signal_date,entry,exit,n_selected,n_filled,n_unfilled,gross,net,fees,ret,equity
2010-01-04,2010-01-05,2010-02-02,284,280,4,-18170.235885001348,-21595.226457427558,1473.8112028985297,-0.021595226457425065,978404.773542575
2010-02-01,2010-02-02,2010-03-09,282,272,10,48588.84875463172,45161.36054778045,1493.855375900159,0.04615815638783638,1023566.1340903587
2010-03-08,2010-03-09,2010-04-07,283,277,6,27719.167158877175,24134.394621100306,1555.8447228919292,0.023578734990631123,1047700.5287114602
2010-04-06,2010-04-07,2010-05-06,284,275,9,-97859.25312731287,-101204.63297752857,1416.794920227407,-0.09659690933057219,946495.8957339267
2010-05-05,2010-05-06,2010-06-03,284,274,10,-105123.20309203568,-108095.93305009237,1253.8142991914647,-0.11420644668118385,838399.9626838306
2010-06-02,2010-06-03,2010-07-06,292,284,8,-92434.72321119416,-95092.52264676774,1121.426255358163,-0.11342142996089888,743307.4400370663
2010-07-05,2010-07-06,2010-08-03,293,287,6,112057.66627561302,109244.77792574362,1246.4908971809432,0.14697118855731772,852552.2179628111
2010-08-02,2010-08-03,2010-08-31,297,293,4,28492.557553682458,25471.3234762457,1312.718282743592,0.029876555288432805,878023.541439053
2010-08-30,2010-08-31,2010-10-08,302,298,4,19969.942203152747,16878.940730453935,1340.4239149731277,0.01922379063184576,894902.482169509
2010-09-30,2010-10-08,2010-11-05,311,306,5,100160.5144488416,96838.6392935562,1462.9007813871121,0.10821138752324355,991741.1214630663
2010-11-04,2010-11-05,2010-12-03,318,305,13,-24074.261159100202,-27363.857707271873,1413.6683216084784,-0.027591734491062114,964377.2637557893
2010-12-02,2010-12-03,2010-12-31,322,311,11,-40532.969407319244,-43715.882104710254,1362.9245257463192,-0.04533068514541605,920661.3816510778
2010-12-30,2010-12-31,2011-01-31,325,316,9,-16035.20373099652,-19145.98375062631,1338.7359165074581,-0.020795901872507128,901515.3979004552
2011-01-28,2011-01-31,2011-03-07,332,317,15,80871.82201408378,77662.9039750112,1408.6441026716711,0.08614706321808252,979178.3018754605
2011-03-04,2011-03-07,2011-04-06,336,326,10,6803.144460644651,3447.8506131815884,1450.8096001717229,0.003521167295654992,982626.1524886393
2011-04-01,2011-04-06,2011-05-05,338,326,12,-36140.33841095305,-39390.50797873988,1393.215171768447,-0.04008697293368846,943235.6445098928
2011-05-04,2011-05-05,2011-06-02,346,338,8,-80851.6006219266,-83908.21651759042,1296.9331138599782,-0.08895785163121572,859327.4279923076
2011-06-01,2011-06-02,2011-07-01,354,348,6,-14836.813502922972,-17773.10452669294,1263.7288473373137,-0.020682575637335887,841554.3234656194
2011-06-30,2011-07-01,2011-07-29,353,345,8,887.7633975245758,-2005.7372581710383,1249.718397742842,-0.0023833722936801305,839548.5862074447
2011-07-28,2011-07-29,2011-08-26,367,362,5,-23580.00613624859,-26437.996401107084,1227.43329444559,-0.031490728274027546,813110.589806342
2011-08-25,2011-08-26,2011-09-26,373,361,12,-56849.156810101806,-59487.261227131865,1123.031124169231,-0.07316011127255906,753623.3285792139
2011-09-23,2011-09-26,2011-10-31,381,374,7,-361.451478680739,-2961.3735192879785,1122.5909233648438,-0.0039295141312517545,750661.9550599209
2011-10-28,2011-10-31,2011-11-28,385,375,10,-9480.77694232207,-12029.80973928191,1098.0253052376538,-0.016025602014592688,738632.1453206346
2011-11-25,2011-11-28,2011-12-26,391,374,17,-81591.3688349326,-83890.78505619851,969.7503657639605,-0.1135758653176212,654741.3602644326
2011-12-23,2011-12-26,2012-02-01,394,376,18,-15962.524921488644,-18123.08106040088,928.4326154048598,-0.027679755946804052,636618.2792040346
2012-01-31,2012-02-01,2012-02-29,401,391,10,68424.77855018157,66087.87456230064,1028.556488673039,0.1038108340918622,702706.1537663314
2012-02-28,2012-02-29,2012-03-28,403,391,12,-17517.94620885511,-19875.20790826975,1012.9317718469731,-0.02828381081016218,682830.9458580677
2012-03-27,2012-03-28,2012-05-02,408,394,14,14440.254146786107,12089.450402829601,1019.2221434547185,0.017704895298256806,694920.3962608945
2012-04-27,2012-05-02,2012-05-30,396,380,16,-16581.95038116738,-18888.80798577684,991.4322751776026,-0.02718125426655016,676031.5882751154
