date,equity,cash,invested
2010-01-04,1000000.0,1000000.0,0.0
2010-01-05,1005956.5218324066,14084.507042256308,991872.0147901503
2010-01-06,1004282.7102275263,14084.507042256308,990198.20318527
2010-01-07,983461.3968602929,14084.507042256308,969376.8898180366
2010-01-08,993001.826333303,14084.507042256308,978917.3192910467
2010-01-11,998396.5179613171,14084.507042256308,984312.0109190608
2010-01-12,1020781.677874924,14084.507042256308,1006697.1708326677
2010-01-13,1012247.2909327928,14084.507042256308,998162.7838905365
2010-01-14,1036001.3940573287,14084.507042256308,1021916.8870150724
2010-01-15,1040601.554846432,14084.507042256308,1026517.0478041756
2010-01-18,1056832.3364199353,14084.507042256308,1042747.8293776789
2010-01-19,1056952.7464270082,14084.507042256308,1042868.2393847518
2010-01-20,1023769.9663973751,14084.507042256308,1009685.4593551188
2010-01-21,1032557.3313586608,14084.507042256308,1018472.8243164045
2010-01-22,1013386.5915541205,14084.507042256308,999302.0845118642
2010-01-25,999401.8388119398,14084.507042256308,985317.3317696835
2010-01-26,969453.7057162748,14084.507042256308,955369.1986740185
2010-01-27,965306.5449119556,14084.507042256308,951222.0378696993
2010-01-28,978541.1168334197,14084.507042256308,964456.6097911634
2010-01-29,986409.6316363304,14084.507042256308,972325.1245940741
2010-02-01,977545.4994897384,14084.507042256308,963460.9924474821
2010-02-02,978404.773542575,978404.773542575,0.0
2010-02-02,967234.5658292982,34695.20473555521,932539.361093743
2010-02-03,981786.0582559806,34695.20473555521,947090.8535204254
2010-02-04,985282.4553716034,34695.20473555521,950587.2506360481
2010-02-05,969436.398706883,34695.20473555521,934741.1939713277
2010-02-08,969875.9896381659,34695.20473555521,935180.7849026107
2010-02-09,973922.132214452,34695.20473555521,939226.9274788968
2010-02-10,983057.0825991944,34695.20473555521,948361.8778636392
2010-02-11,981738.8776590279,34695.20473555521,947043.6729234727
2010-02-12,991359.6488113934,34695.20473555521,956664.4440758382
2010-02-22,990847.2541576056,34695.20473555521,956152.0494220504
2010-02-23,993797.3884551685,34695.20473555521,959102.1837196132
2010-02-24,1012134.8509210099,34695.20473555521,977439.6461854547
2010-02-25,1024828.3503274805,34695.20473555521,990133.1455919252
2010-02-26,1023654.9326447651,34695.20473555521,988959.7279092099
2010-03-01,1033691.0758169885,34695.20473555521,998995.8710814333
2010-03-02,1031668.8329500317,34695.20473555521,996973.6282144765
2010-03-03,1043477.8952749711,34695.20473555521,1008782.6905394159
2010-03-04,1014102.9938762726,34695.20473555521,979407.7891407174
2010-03-05,1018333.3384824632,34695.20473555521,983638.1337469079
2010-03-08,1026432.3051167108,34695.20473555521,991737.1003811556
2010-03-09,1023566.1340903587,1023566.1340903587,0.0
2010-03-09,1022442.6449667058,21701.04877930146,1000741.5961874044
2010-03-10,1012785.0363325921,21701.04877930146,991083.9875532907
2010-03-11,1011360.534950864,21701.04877930146,989659.4861715626
2010-03-12,996873.847206203,21701.04877930146,975172.7984269016
2010-03-15,988980.4815180328,21701.04877930146,967279.4327387314
2010-03-16,995817.5507192586,21701.04877930146,974116.5019399571
2010-03-17,1016161.6531420443,21701.04877930146,994460.6043627429
2010-03-18,1016912.1495628227,21701.04877930146,995211.1007835212
2010-03-19,1020649.4209178955,21701.04877930146,998948.372138594
2010-03-22,1023335.558772456,21701.04877930146,1001634.5099931546
2010-03-23,1016572.5914725567,21701.04877930146,994871.5426932552
2010-03-24,1018771.743263822,21701.04877930146,997070.6944845206
2010-03-25,1007880.9063564468,21701.04877930146,986179.8575771453
2010-03-26,1021907.8160089621,21701.04877930146,1000206.7672296606
2010-03-29,1033991.063834023,21701.04877930146,1012290.0150547215
2010-03-30,1035677.6332455558,21701.04877930146,1013976.5844662543
2010-03-31,1033492.5546358266,21701.04877930146,1011791.5058565252
2010-04-01,1047385.1470470348,21701.04877930146,1025684.0982677334
2010-04-02,1050589.3487487996,21701.04877930146,1028888.2999694982
2010-04-06,1050763.8371294579,21701.04877930146,1029062.7883501563
2010-04-07,1047700.5287114602,1047700.5287114602,0.0
2010-04-07,1045597.3270852945,33201.7773183152,1012395.5497669793
2010-04-08,1043223.278938195,33201.7773183152,1010021.5016198797
2010-04-09,1055780.8871134343,33201.7773183152,1022579.109795119
2010-04-12,1058564.9279897402,33201.7773183152,1025363.150671425
2010-04-13,1054710.133530508,33201.7773183152,1021508.3562121928
2010-04-14,1061887.3090693988,33201.7773183152,1028685.5317510836
2010-04-15,1053456.325359013,33201.7773183152,1020254.5480406977
2010-04-16,1047144.1425315451,33201.7773183152,1013942.3652132299
2010-04-19,1001865.205290164,33201.7773183152,968663.4279718488
2010-04-20,1008367.4936321257,33201.7773183152,975165.7163138104
2010-04-21,1031848.0742950179,33201.7773183152,998646.2969767026
2010-04-22,1027636.5845944801,33201.7773183152,994434.8072761649
2010-04-23,1020535.2773865917,33201.7773183152,987333.5000682764
2010-04-26,1017335.0186279805,33201.7773183152,984133.2413096653
2010-04-27,991660.6420545322,33201.7773183152,958458.864736217
2010-04-28,987057.4103803457,33201.7773183152,953855.6330620304
2010-04-29,966085.2462914239,33201.7773183152,932883.4689731087
2010-04-30,947393.7711107676,33201.7773183152,914191.9937924524
2010-05-04,938473.5940433678,33201.7773183152,905271.8167250525
2010-05-05,953242.7394860693,33201.7773183152,920040.9621677541
2010-05-06,946495.8957339267,946495.8957339267,0.0
2010-05-06,915068.1775118755,33327.320272317185,881740.8572395584
2010-05-07,895487.1491845747,33327.320272317185,862159.8289122576
2010-05-10,894688.12002705,33327.320272317185,861360.7997547329
2010-05-11,877997.6595253944,33327.320272317185,844670.3392530773
2010-05-12,871161.027401072,33327.320272317185,837833.7071287548
2010-05-13,885657.8186390043,33327.320272317185,852330.4983666871
2010-05-14,882297.1092345066,33327.320272317185,848969.7889621895
2010-05-17,829794.6856184562,33327.320272317185,796467.3653461391
2010-05-18,837960.7233667361,33327.320272317185,804633.4030944189
2010-05-19,833938.2802621295,33327.320272317185,800610.9599898123
2010-05-20,820755.7364555723,33327.320272317185,787428.4161832551
2010-05-21,829925.0598059061,33327.320272317185,796597.739533589
2010-05-24,861008.9813715453,33327.320272317185,827681.6610992282
2010-05-25,849809.0556007999,33327.320272317185,816481.7353284827
2010-05-26,852561.8951551954,33327.320272317185,819234.5748828782
2010-05-27,862819.3959412286,33327.320272317185,829492.0756689114
2010-05-28,863925.1584182774,33327.320272317185,830597.8381459602
2010-05-31,842183.6153130698,33327.320272317185,808856.2950407526
2010-06-01,829806.5724214632,33327.320272317185,796479.252149146
2010-06-02,837149.6300397703,33327.320272317185,803822.3097674531
2010-06-03,838399.9626838306,838399.9626838306,0.0
2010-06-03,830249.2980963679,22969.861991341095,807279.4361050267
2010-06-04,834198.934416792,22969.861991341095,811229.0724254509
2010-06-07,826102.8850891015,22969.861991341095,803133.0230977604
2010-06-08,831618.5562082017,22969.861991341095,808648.6942168606
2010-06-09,849677.0519813949,22969.861991341095,826707.1899900538
2010-06-10,845566.8569568942,22969.861991341095,822596.994965553
2010-06-11,842571.6412433514,22969.861991341095,819601.7792520103
2010-06-17,834526.9184462922,22969.861991341095,811557.0564549511
2010-06-18,811546.7631024318,22969.861991341095,788576.9011110907
2010-06-21,832091.7884038494,22969.861991341095,809121.9264125082
2010-06-22,836335.5227105818,22969.861991341095,813365.6607192407
