id,family,lookback,val_excess,val_rank_ic,val_cagr,val_net_h,val_maxdd,fdr_discovery,level1
H01_MOM_20,CROSS_SECTIONAL_MOMENTUM,20,-0.015621598506159544,-0.08789870563735744,-0.2445583956331615,-0.022911372254785824,-0.5680154448362057,False,False
H02_MOM_60,CROSS_SECTIONAL_MOMENTUM,60,-0.01644246330155167,-0.09405124058392407,-0.25220203160581356,-0.023732237050177952,-0.5815302066598267,False,False
H03_MOM_120,CROSS_SECTIONAL_MOMENTUM,120,-0.016402279242268208,-0.08989330097329676,-0.25182950806501603,-0.023692052990894486,-0.5900698916602055,False,False
H04_REV_20,CROSS_SECTIONAL_REVERSAL,20,0.005913142197171169,0.08789870564046473,-0.016530563356485062,-0.0013766315514551135,-0.29565408249714353,True,False
H05_REV_60,CROSS_SECTIONAL_REVERSAL,60,0.005125216006228783,0.09405124058842206,-0.02587878832823176,-0.002164557742397499,-0.2995058695143741,True,False
H06_REV_120,CROSS_SECTIONAL_REVERSAL,120,0.005187392731000479,0.08989330097396543,-0.025144075735350158,-0.0021023810176258027,-0.32418883534347775,True,False
H07_ACT_20,CROSS_SECTIONAL_ACTIVITY,20,0.007206818903389981,0.11183038041507602,-0.001003291628840275,-8.295484523629885e-05,-0.1892314067304256,True,False
H08_ACT_60,CROSS_SECTIONAL_ACTIVITY,60,0.006113190627590847,0.09376993187469009,-0.01414405715446676,-0.0011765831210354344,-0.18416268276845427,True,False
H09_ACT_120,CROSS_SECTIONAL_ACTIVITY,120,0.005655317641493873,0.07829850674108722,-0.019598501412032565,-0.0016344561071324091,-0.17407807351189875,True,False
H10_VOL_20,CROSS_SECTIONAL_VOLATILITY,20,0.006560604212368058,0.11759356186916523,-0.008787333374017603,-0.0007291695362582232,-0.20777831384842094,True,False
H11_VOL_60,CROSS_SECTIONAL_VOLATILITY,60,0.0077462914262153145,0.11690396954481487,0.005537881097149144,0.000456517677589033,-0.18095705855033783,True,True
H12_VOL_120,CROSS_SECTIONAL_VOLATILITY,120,0.008356800015380824,0.11022653755855343,0.012987752154031584,0.0010670262667545445,-0.1618838045846812,True,True
