signal_date,entry,exit,n_sel,n_fill,lo_ret,idx_ret,capital_ret,net_yuan,equity
2012-01-04,2012-01-05,2012-02-09,417,401,0.07714282034526487,0.10250220448930047,-0.02044013302980105,-20440.133029801073,979559.8669701989
2012-02-08,2012-02-09,2012-03-08,418,407,0.08334902295539659,0.03437216650366848,0.04014360258703595,39323.06200986134,1018882.9289800603
2012-03-07,2012-03-08,2012-04-10,423,414,-0.054514669460138165,-0.0467462869392129,-0.00971578668871545,-9899.24919874384,1008983.6797813164
2012-04-09,2012-04-10,2012-05-10,421,403,0.0586100187230012,0.06729765327593662,-0.007156248813081391,-7220.5382608536165,1001763.1415204628
2012-05-09,2012-05-10,2012-06-07,421,400,-0.04323257279377479,-0.02951235387735296,-0.015114468082099462,-15141.11702833476,986622.024492128
2012-06-06,2012-06-07,2012-07-06,430,421,-0.023834138657009007,-0.05596972974649439,0.024051459548110582,23729.699711347348,1010351.7242034754
2012-07-05,2012-07-06,2012-08-03,440,431,-0.0810419977147443,-0.03893538557571474,-0.03873671937448918,-39137.71121000138,971214.012993474
2012-08-02,2012-08-03,2012-08-31,447,443,0.016812068563148985,-0.05754940711462442,0.06047370997373147,58732.914544191095,1029946.9275376651
2012-08-30,2012-08-31,2012-09-28,454,450,-0.0012678590297008352,0.013370693290169822,-0.014638764516496754,-15077.15053671319,1014869.7770009519
2012-09-27,2012-09-28,2012-11-02,460,454,0.04719896650776656,0.02811557631562467,0.014246275532245726,14458.11447250424,1029327.8914734562
2012-11-01,2012-11-02,2012-11-30,463,459,-0.1277980091651031,-0.07992514904913195,-0.04357537916845415,-44853.35315962124,984474.5383138349
2012-11-29,2012-11-30,2012-12-28,466,458,0.1490424252457927,0.15790071136673234,-0.007502181774207445,-7385.706938509364,977088.8313753256
2012-12-27,2012-12-28,2013-01-30,464,457,0.08955051681887527,0.0940941472500898,-0.004937080904066152,-4823.966610959498,972264.8647643661
2013-01-29,2013-01-30,2013-03-06,463,455,0.029345386925857753,-0.01626325870005929,0.036251981704964555,35246.5280898175,1007511.3928541836
2013-03-05,2013-03-06,2013-04-03,464,458,-0.033472249697447776,-0.05350928129281507,0.014156753265192359,14263.09020050685,1021774.4830546904
2013-04-02,2013-04-03,2013-05-08,464,456,0.006684127511479732,0.01940349976743061,-0.012803702488934674,-13082.496491817292,1008691.9865628731
2013-05-07,2013-05-08,2013-06-05,468,459,0.044992595529812274,0.009070633724977961,0.028409948299941014,28656.887188815977,1037348.8737516891
2013-06-04,2013-06-05,2013-07-08,466,457,-0.13107880523699833,-0.14458568683171358,0.006835488029721851,7090.785809175111,1044439.6595608642
2013-07-05,2013-07-08,2013-08-05,465,446,0.08826706425399844,0.025318763044449133,0.05216352284058133,54481.652037111926,1098921.3115979761
2013-08-02,2013-08-05,2013-09-02,464,453,0.0602497490829057,0.031102498688877267,0.023140284906590976,25429.35224030167,1124350.6638382778
2013-08-30,2013-09-02,2013-10-09,463,451,0.07530323435177722,0.04869911550199135,0.021429855952481626,24094.67276613158,1148445.3366044094
2013-10-08,2013-10-09,2013-11-06,463,445,-0.01351762605222584,-0.025327381686354733,0.006974861711997463,8010.247406604234,1156455.5840110136
2013-11-05,2013-11-06,2013-12-04,461,450,0.035484960345337324,0.028886864699829706,0.003933001857261503,4548.341959755635,1161003.9259707693
2013-12-03,2013-12-04,2014-01-02,460,450,0.011872319289542466,-0.04770433884466896,0.047492487701867314,55138.964675986674,1216142.890646756
2013-12-31,2014-01-02,2014-01-30,461,451,0.00799557649056637,-0.04315602363746707,0.040416853934483486,49152.669574730564,1265295.5602214865
2014-01-29,2014-01-30,2014-03-06,462,450,0.060761827851945505,-0.02867989708343066,0.07313590546414114,92538.53647655621,1357834.0966980427
2014-03-05,2014-03-06,2014-04-03,460,439,-0.0012092744706917458,0.013540798369917395,-0.014222903084850757,-19312.342762642074,1338521.7539354006
2014-04-02,2014-04-03,2014-05-06,460,442,-0.022100098854331507,-0.017019701732582826,-0.0071103185096044255,-9517.316002515145,1329004.4379328855
2014-05-05,2014-05-06,2014-06-04,455,438,0.004845126865832272,-0.0009203352251335728,0.0026414285020619583,3510.470201722812,1332514.9081346083
2014-06-03,2014-06-04,2014-07-02,455,431,0.04612424340896015,0.0067879092402101104,0.031545874072836044,42035.34749219101,1374550.2556267993
2014-07-01,2014-07-02,2014-07-30,454,439,0.053777631344276156,0.0742560073937153,-0.017561236591332366,-24138.802245738683,1350411.4533810606
2014-07-29,2014-07-30,2014-08-27,453,427,0.07348063862321141,-0.000387148393979464,0.06058515160795706,81814.88263621298,1432226.3360172736
2014-08-26,2014-08-27,2014-09-25,453,430,0.14784740386714512,0.05578387031530396,0.07846253181389226,112376.10445444961,1544602.4404717232
2014-09-24,2014-09-25,2014-10-30,451,423,0.04119532719076391,-0.0012472385486381743,0.03383764460698551,52265.70843976457,1596868.1489114878
2014-10-29,2014-10-30,2014-11-27,452,415,0.05052145592469004,0.11699097275502379,-0.05048580873877929,-80619.17994699394,1516248.9689644938
2014-11-26,2014-11-27,2014-12-25,451,415,-0.08776815463760168,0.1890552898579847,-0.2246042990123907,-340556.0368025303,1175692.9321619635
2014-12-24,2014-12-25,2015-01-26,454,425,0.054170437926907455,0.10005899559991138,-0.03574112075220087,-42020.583055909956,1133672.3491060536
2015-01-23,2015-01-26,2015-03-02,453,428,0.08609684504363435,0.006516541344982807,0.06576025203459665,74550.57940186723,1208222.9285079208
2015-02-27,2015-03-02,2015-03-30,459,422,0.20709472725928268,0.1097753541744717,0.0881133099234225,106460.5213562036,1314683.4498641244
