,net,gross,turnover,equity
2011-06-30,0.04011593309351254,0.04211593309351254,2.0000000000000004,1.0401159330935126
2011-07-31,0.02471488955557335,0.025198510728332124,0.4836211727587739,1.065822283504911
2011-08-31,-0.16185609027090575,-0.16153138326299257,0.3247070079131856,0.8933124557731972
2011-09-30,0.043857044648238884,0.044637174090143075,0.7801294419041913,0.9324905000308702
2011-10-31,0.03868126697880753,0.04172569583800813,3.044428859200601,0.9685604140177659
2011-11-30,-0.018634162834574815,-0.015953052467361888,2.6811103672129257,0.9505121015478356
2011-12-30,0.012570306057428593,0.01593658674790635,3.3662806904777574,0.9624603295755815
2012-01-31,-0.04750169709464335,-0.04650507818436402,0.9966189102793314,0.9167418305344716
2012-02-29,-0.017093592447987464,-0.016620326228344723,0.47326621964274285,0.9010714193032933
2012-03-30,-0.008421885544405452,-0.007267501961202795,1.1543835832026574,0.8934826989425859
2012-04-30,0.07439308264711136,0.0756052833821044,1.2122007349930304,0.9599516312087858
2012-05-31,-0.04077252143801683,-0.03945454119666679,1.3179802413500399,0.9208119827458664
2012-06-29,0.013720207826179536,0.014933440152942052,1.2132323267625162,0.9334457145179762
2012-07-31,-0.03983565216559579,-0.039313896837581935,0.521755328013855,0.8962612957189721
2012-08-31,-0.03862278422769967,-0.03744729421096752,1.1754900167321551,0.8616451890827797
2012-09-30,-0.03759128983649477,-0.03470904026231868,2.882249574176094,0.8292548350437475
2012-10-31,-0.004120634733878279,-0.002068071609121148,2.052563124757131,0.8258377787672297
2012-11-30,-0.014006320429224114,-0.013023622004529025,0.982698424695089,0.8142708302152573
2012-12-31,0.045068947196378245,0.04745303719930064,2.3840900029223993,0.8509691592657799
2013-01-31,0.03239274667500971,0.03484081498952545,2.448068314515744,0.8785343876701224
2013-02-28,-0.0003409773947549657,0.0004253176540643792,0.7662950488193448,0.878234827303412
2013-03-31,0.05434914355955897,0.055392676908040894,1.043533348481925,0.9259661380115295
2013-04-30,0.01583903230643932,0.016709318214866833,0.8702859084275105,0.9406325455861629
2013-05-31,-0.02481154804800855,-0.022950628809913366,1.860919238095187,0.9172939959858313
2013-06-30,0.036490113327601055,0.037384994555199384,0.8948812275983308,0.9507661578540823
2013-07-31,-0.02960830648962,-0.027065955474131428,2.542351015488574,0.9226155820523801
2013-08-30,0.017883782335141048,0.01820927472748915,0.3254923923481031,0.9391154383008143
2013-09-30,0.017389715877255685,0.019082383360833385,1.6926674835777007,0.9554463889488101
