,net,gross,turnover,equity
2011-06-30,0.018052493453216977,0.019052493453216978,1.0000000000000002,1.018052493453217
2011-07-31,0.006934474567548491,0.007072099926176231,0.13762535862774014,1.0251121525774978
2011-08-31,-0.03816182018753755,-0.037946920004566745,0.21490018297080363,0.9859920069387758
2011-09-30,-0.0003730152190318603,9.757731943694597e-05,0.4705925384688062,0.9856242169143438
2011-10-31,0.0035507553715002187,0.003874422069459387,0.3236666979591681,0.9891239273968331
2011-11-30,-0.002259677087233997,-0.0021714898264412813,0.08818726079271548,0.9868888267216596
2011-12-30,0.004137429041242644,0.004377719167726668,0.24029012648402426,0.9909720092138156
2012-01-31,-0.003292878887493506,-0.0031265807690846023,0.16629811840890396,0.9877088584065784
2012-02-29,-0.00359359154481776,-0.00346297791624147,0.1306136285762899,0.9841594362042669
2012-03-30,0.004086618463000508,0.004379078940064121,0.2924604770636133,0.9881813203267954
2012-04-30,0.01149980950861473,0.011670319549135784,0.1705100405210541,0.9995452172705249
2012-05-31,-0.00921990711658161,-0.008943034398046723,0.2768727185348874,0.9903295032084674
2012-06-29,0.006262107674154863,0.0065924456352813255,0.33033796112646263,0.9965310531904511
2012-07-31,-0.002934116888920171,-0.002804784506779707,0.12933238214046391,0.9936071145969516
2012-08-31,-0.005801613305745771,-0.005603096446942772,0.1985168588029992,0.9878425903402223
2012-09-30,-0.008349507575199307,-0.008053921820291446,0.2955857549078607,0.9795945911490721
2012-10-31,0.0012550403902476844,0.0014866251903479996,0.23158480010031515,0.9808240219270322
2012-11-30,-0.0039737963842474714,-0.003869230861291725,0.10456552295574668,0.9769264269751156
2012-12-31,0.004825480480671709,0.0051022694306221365,0.2767889499504275,0.9816405663795365
2013-01-31,-0.002333004750974674,-0.0011908241060313394,1.1421806449433347,0.9793503942744235
2013-02-28,-0.00010997250823939334,0.0012018931253168401,1.3118656335562335,0.9792426926551199
2013-03-31,0.006576967750731005,0.006717817445070063,0.14084969433905842,0.9856831402648516
2013-04-30,0.0005153521769672069,0.000726299932536052,0.2109477555688451,0.9861911142169869
2013-05-31,0.0006624548430688048,0.0011539711286018754,0.4915162855330706,0.9868444212967913
2013-06-30,0.0022623798300639678,0.0035043572163745086,1.2419773863105408,0.9890770382109444
2013-07-31,-0.006490453389623276,-0.0062224569943618285,0.2679963952614474,0.9826574797956896
2013-08-30,-0.0007503747571494322,-0.0005854183128172956,0.16495644433213663,0.9819201184279268
2013-09-30,0.0014789961847786746,0.0024048640653249304,0.9258678805462558,0.9833723745368392
2013-10-31,0.006385269770823148,0.006548179869757866,0.162910098934718,0.9896514724334319
2013-11-29,0.004139905400744012,0.004499936247075497,0.36003084633148474,0.9937485359090134
2013-12-31,-0.003914543074129935,-0.0038014041538577564,0.11313892027217866,0.989858464460344
2014-01-31,-0.0006705832952163756,-0.00027481330045300346,0.39576999476337227,0.9891946819094483
2014-02-28,0.0019450131271489025,0.002167044995693128,0.2220318685442257,0.9911186785510682
2014-03-31,0.0003828054153017622,0.00047115907086509533,0.08835365556333309,0.9914980841484241
2014-04-30,0.00042898813282802423,0.0005534428323388192,0.124454699510795,0.9919234250602456
2014-05-30,0.0011648352602425934,0.0015838709329240926,0.4190356726814991,0.9930788524412164
2014-06-30,-0.005594064554507336,-0.005362187656255665,0.23187689825167068,0.9875235052329442
2014-07-31,0.002522487131266154,0.0027046824953488413,0.18219536408268713,0.9900145205667171
2014-08-31,0.008975313969521313,0.009240344614317705,0.2650306447963921,0.9989002117231884
2014-09-30,0.0017256334063867063,0.002002973330043704,0.2773399236569979,1.0006239472981846
2014-10-31,0.021377140796680547,0.021560673184326615,0.183532387646068,1.0220144263041082
2014-11-30,-0.0007579746659342249,-0.0006586856352372079,0.09928903069701706,1.0212397652607503
2014-12-31,0.01600694359385065,0.016167362254535106,0.16041866068445748,1.0375866925790764
2015-01-30,-0.008050144658337775,-0.007904792500629108,0.14535215770866772,1.0292339696082486
2015-02-27,0.01617579792034837,0.01631248211454435,0.13668419419598185,1.0458826503133896
2015-03-31,-0.011872804171626,-0.011750425962100915,0.12237820952508523,1.0334650904197176
