signal,n,n_elig,lo_ret,short_leg_ret,ls_ret,ew_ret,lo_minus_ew,eq_lo,eq_ls
2019-07-01,12,37,0.00156550897160545,0.025851831286673742,0.02741734025827919,-0.008248014337811116,0.009813523309416566,1.0015655089716053,1.0274173402582791
2019-07-30,12,37,0.012299851423753814,0.006340416575465351,0.018640267999219164,-0.006780176725147317,0.01908002814890113,1.0138846159231125,1.0465686748277385
2019-08-28,12,38,-0.029002795293914,-0.005179417920770745,-0.034182213214684745,-0.001037877699433777,-0.02796491759448022,0.9844791279558458,1.0107946412409667
2019-09-27,12,38,0.03539169864507237,0.003332163498575489,0.038723862143647855,0.009657669516807226,0.025734029128265144,1.0193215165748228,1.04993651358392
2019-11-04,12,38,-0.01683565496902292,-0.005235434800547858,-0.022071089769570777,-0.009863043718628194,-0.006972611250394726,1.0021605712192678,1.0267632705402592
2019-12-03,12,38,0.029829222845062613,-0.01793847366904219,0.011890749176020423,0.030588173454529362,-0.0007589506094667492,1.0320542422247025,1.038972255053404
2020-01-02,13,39,-0.0331319323275181,0.03198218812378553,-0.0011497442037325667,-0.03932899648610216,0.006197064158584058,0.9978602909129858,1.0377777027253172
2020-02-10,13,39,-0.05438109106526925,0.04177834855487176,-0.012602742510397488,-0.03769782141861446,-0.016683269646654786,0.9435955595624307,1.0246988575548381
2020-03-10,13,40,-0.03205903518156363,0.028696840174072064,-0.0033621950074915682,-0.035439552052412185,0.003380516870848553,0.9133447963212515,1.021253620171785
2020-04-09,13,40,0.015272859861865065,-0.02036299745265108,-0.005090137590786015,0.0139051044738153,0.001367755388049766,0.9272941834010296,1.0160552987300222
2020-05-13,12,38,0.05186283165706709,-0.023782152235979837,0.028080679421087256,0.04498820775877807,0.006874623898289023,0.9753862855313348,1.044586821847757
2020-06-11,13,39,0.04866984681083606,-0.02229220211290396,0.0263776446979321,0.05088063850043676,-0.0022107916896006996,1.0228581866295352,1.072140561890599
2020-07-14,13,40,0.03078297642239298,-0.04752211188359616,-0.016739135461203182,0.023799636645708232,0.006983339776684746,1.054344806072004,1.0541938557916617
2020-08-12,13,39,0.018100003167419478,-0.020963813167489492,-0.002863810000070015,0.012874694803777413,0.005225308363642064,1.0734284504014595,1.0511748448854332
2020-09-10,14,42,0.032094024557237116,-0.03296305701228125,-0.0008690324550441331,0.027051410185993604,0.0050426143712435124,1.107879089449081,1.050261339829302
2020-10-19,14,43,0.05162927176046584,-0.02795467985253515,0.02367459190793069,0.029891069539887613,0.021738202220578227,1.1650780800359852,1.0751258484464372
2020-11-17,14,44,0.05628362831543133,-0.02578078413773062,0.03050284417770071,0.040852516767203764,0.015431111548227565,1.230652901651187,1.1079202446730172
2020-12-16,14,44,0.0861414443798789,0.020061286368955458,0.10620273074883436,0.036267364852723076,0.04987407952715583,1.3366631201297092,1.2255844001092084
2021-01-15,15,45,0.02366770924642682,-0.05684390359838183,-0.03317619435195501,0.049585268076043576,-0.025917558829616757,1.3682988742173607,1.184924173856461
2021-02-22,15,45,-0.026176903089980285,0.017458220117564,-0.008718682972416285,-0.02182280574925244,-0.0043540973407278465,1.3324810471888437,1.1745931956382543
2021-03-23,15,45,0.053809907050952316,-0.03459060332164168,0.019219303729310633,0.03624329504996745,0.017566612000984867,1.4041817284852312,1.1971680590236076
2021-04-22,15,46,0.008263463352645436,0.0013003784972180923,0.009563841849863529,0.011791237397119403,-0.003527774044473967,1.4157851327390232,1.2086175850078176
2021-05-26,15,45,0.05109749852011601,-0.013502981191352011,0.037594517328763996,0.020605012765412944,0.030492485754703067,1.4881282114639578,1.2540549797512428
2021-06-25,15,45,0.02138883185525735,-0.03271933068335677,-0.01133049882809942,0.025760544320413224,-0.004371712465155872,1.5199575355580253,1.239845911272799
2021-07-26,15,46,-0.007138594910974304,-0.0022376259320167203,-0.009376220842991024,0.009659791252646677,-0.01679838616362098,1.5091071744297937,1.2282208421974259
2021-08-24,15,46,0.06875400272771717,-0.08946048490439852,-0.02070648217668135,0.07124379328856974,-0.0024897905608525644,1.6128643332169572,1.2027887092194363
2021-09-24,15,46,-0.05224721289287011,0.00564806361635526,-0.04659914927651485,-0.023986601427642872,-0.02826061146522724,1.5285966670320539,1.1467397786104132
2021-11-01,15,47,-0.04192120621028046,0.05401961225658655,0.01209840604630609,-0.024728516678999553,-0.01719268953128091,1.4645160509410557,1.1606135020814932
2021-11-30,16,48,0.015123636656124144,-0.039881183222252876,-0.024757546566128733,0.02218268071495307,-0.007059044058828925,1.48666485957255,1.131879559258433
2021-12-29,16,48,0.04576605628760066,-0.06608673489457229,-0.020320678606971627,0.053299693771502156,-0.007533637483901498,1.5547036472165452,1.1088789985129417
2022-01-28,16,49,0.025186734686638228,-0.02785259963487275,-0.0026658649482345226,0.03937339395455712,-0.014186659267918893,1.593861555495337,1.1059228768589726
2022-03-07,16,49,-0.0010659182538185269,0.02325622812137939,0.022190309867560862,-0.013120620316654747,0.01205470206283622,1.592162629369275,1.1304636481860977
2022-04-07,16,49,0.0049640012345369905,0.00808779382138513,0.013051795055922119,-0.0126926391836902,0.01765664041822719,1.6000661266270475,1.1452182280403926
2022-05-11,16,49,0.032551011555977165,-0.039809293530499563,-0.007258281974522399,0.03161721451360048,0.0009337970423766856,1.652149897605212,1.1369059112189126
2022-06-10,16,49,-0.07447921000705915,0.12076833694815636,0.046289126941097214,-0.10018189425689492,0.025702684249835767,1.5290990784183323,1.1895322932634087
2022-07-11,16,49,-0.00483771525826538,0.010493073515743016,0.0056553582574776365,0.0009127951925620437,-0.0057505104508274235,1.5217017324752684,1.1962595245406522
2022-08-09,16,49,0.004918527343459427,0.014397442535180598,0.019315969878640024,-0.002373831087072399,0.007292358430531826,1.5291862640550375,1.2193664374837156
2022-09-07,16,49,0.02872636820181273,-0.0021941795478889253,0.026532188653923802,0.012240856985694595,0.01648551121611813,1.5731142317254367,1.2517188978412965
2022-10-14,16,49,-0.005011702402345836,-0.020143679006953026,-0.025155381409298863,0.01160083690358858,-0.016612539305934416,1.565230251351134,1.2202314315488716
2022-11-14,16,49,0.015094110063426196,-0.007266863522392814,0.00782724654103338,0.012163138278992847,0.002930971784433349,1.5888560090396322,1.2297824838007227
2022-12-13,16,49,0.022063899252014234,-0.01264532215494197,0.009418577097072264,0.01500028897818102,0.0070636102738332145,1.62391236794904,1.241365284937029
2023-01-12,16,49,0.005982692402238026,0.002101293937510345,0.008083986339748371,0.00188194680721404,0.004100745595023986,1.633627736134669,1.2514004649430976
2023-02-17,16,49,-0.03496627319903579,0.00975683429502882,-0.025209438904006967,-0.02170885786205074,-0.013257415336985046,1.5765058624074617,1.2198533613776688
2023-03-20,16,49,0.018970176058853976,-0.05363102323311265,-0.03466084717425867,0.025908750696915527,-0.006938574638061551,1.6064124561751465,1.1775722104439517
2023-04-19,16,49,-0.06141282790698111,0.04435733985671308,-0.017055488050268033,-0.057009428284874625,-0.004403399622106487,1.5077581244564313,1.157488141680397
2023-05-23,16,49,0.019323731108368374,-0.027518295699639712,-0.008194564591271339,0.02662869940074731,-0.0073049682923789355,1.5368936370298851,1.1480030303397664
2023-06-21,16,49,0.04988719894542359,-0.05795307087312918,-0.008065871927705595,0.05206938918290318,-0.002182190237479592,1.6135649556583505,1.138743384924428
