bar_index,timestamp_utc,equity
0,,10000.0
1,,10000.0
2,,10000.0
3,,10000.0
4,,10000.0
5,,10000.0
6,,10000.0
7,,10000.0
8,,10000.0
9,,10000.0
10,,10000.0
11,,10000.0
12,,10000.0
13,,10693.579510703363
14,,10693.579510703363
15,,10693.579510703363
16,,10693.579510703363
17,,10693.579510703363
18,,10693.579510703363
19,,10693.579510703363
20,,10693.579510703363
21,,10693.579510703363
22,,10693.579510703363
23,,10693.579510703363
24,,10693.579510703363
25,,10693.579510703363
26,,10693.579510703363
27,,10693.579510703363
28,,10693.579510703363
29,,10693.579510703363
30,,10723.256898345264
31,,10723.256898345264
32,,10723.256898345264
33,,10723.256898345264
34,,10723.256898345264
35,,10723.256898345264
36,,10723.256898345264
37,,10723.256898345264
38,,10723.256898345264
39,,10723.256898345264
40,,10723.256898345264
41,,10723.256898345264
42,,10723.256898345264
43,,10723.256898345264
44,,10723.256898345264
45,,10723.256898345264
46,,10643.172658571291
47,,10643.172658571291
48,,10643.172658571291
49,,10643.172658571291
50,,10643.172658571291
51,,10643.172658571291
52,,10643.172658571291
53,,10643.172658571291
54,,10643.172658571291
55,,10643.172658571291
56,,10733.14778960071
57,,10733.14778960071
58,,10733.14778960071
59,,10733.14778960071
60,,10733.14778960071
61,,10733.14778960071
62,,10733.14778960071
63,,10733.14778960071
64,,10733.14778960071
65,,10733.14778960071
66,,10733.14778960071
67,,10733.14778960071
68,,10733.14778960071
69,,10733.14778960071
70,,10733.14778960071
71,,10733.14778960071
72,,10733.14778960071
73,,10730.751926459548
74,,10730.751926459548
75,,10730.751926459548
76,,10730.751926459548
77,,10730.751926459548
78,,10730.751926459548
79,,10730.751926459548
80,,10730.751926459548
81,,10730.751926459548
82,,10730.751926459548
83,,10909.889196528198
84,,10909.889196528198
85,,10909.889196528198
86,,10909.889196528198
87,,10909.889196528198
88,,10909.889196528198
89,,10909.889196528198
90,,10909.889196528198
91,,10909.889196528198
92,,10909.889196528198
93,,10909.889196528198
94,,10738.535566816612
95,,10738.535566816612
96,,10738.535566816612
97,,10738.535566816612
98,,10738.535566816612
99,,10738.535566816612
100,,10738.535566816612
101,,10738.535566816612
102,,10738.535566816612
103,,10738.535566816612
104,,10738.535566816612
105,,10738.535566816612
106,,10738.535566816612
107,,10738.535566816612
108,,10738.535566816612
109,,10738.535566816612
110,,10738.535566816612
111,,10738.535566816612
112,,10738.535566816612
113,,10738.535566816612
114,,10950.407531429119
115,,10950.407531429119
116,,10950.407531429119
117,,10950.407531429119
118,,10950.407531429119
119,,10950.407531429119
120,,10950.407531429119
121,,10950.407531429119
122,,10950.407531429119
123,,10950.407531429119
124,,10950.407531429119
125,,10950.407531429119
126,,10950.407531429119
127,,10950.407531429119
128,,10950.407531429119
129,,10950.407531429119
130,,10950.407531429119
131,,10950.407531429119
132,,10950.407531429119
133,,10950.407531429119
134,,10950.407531429119
135,,10950.407531429119
136,,10950.407531429119
137,,10950.407531429119
138,,10950.407531429119
139,,10950.407531429119
140,,10950.407531429119
141,,10950.407531429119
142,,10950.407531429119
143,,10950.407531429119
144,,10950.407531429119
145,,10950.407531429119
146,,10950.407531429119
147,,10950.407531429119
148,,10950.407531429119
149,,10950.407531429119
150,,10950.407531429119
151,,10950.407531429119
152,,10950.407531429119
153,,10950.407531429119
154,,10950.407531429119
155,,10950.407531429119
156,,10950.407531429119
157,,10950.407531429119
158,,10950.407531429119
159,,10950.407531429119
160,,10950.407531429119
161,,10950.407531429119
162,,10950.407531429119
163,,10950.407531429119
164,,10950.407531429119
165,,10950.407531429119
166,,10950.407531429119
167,,10950.407531429119
168,,10950.407531429119
169,,10950.407531429119
170,,10950.407531429119
171,,10950.407531429119
172,,10950.407531429119
173,,10950.407531429119
174,,10950.407531429119
175,,10950.407531429119
176,,10950.407531429119
177,,10950.407531429119
178,,10950.407531429119
179,,10950.407531429119
180,,10950.407531429119
181,,10950.407531429119
182,,10950.407531429119
183,,10950.407531429119
184,,10950.407531429119
185,,10950.407531429119
186,,10950.407531429119
187,,10950.407531429119
188,,10950.407531429119
189,,10950.407531429119
190,,10950.407531429119
191,,10950.407531429119
192,,10950.407531429119
193,,10950.407531429119
194,,10950.407531429119
195,,10563.443821046752
196,,10563.443821046752
197,,10563.443821046752
198,,10563.443821046752
