entry_time,entry_price,exit_time,exit_price,side,gross_pnl,spread_cost,commission,slippage,net_pnl
2019-02-14,,,,,,,,,-47.058157874355864
2019-03-01,,,,,,,,,29.768157464298103
2019-03-13,,,,,,,,,-15.614186143155736
2019-05-01,,,,,,,,,40.26061224920803
2019-07-17,,,,,,,,,-3.906158975652784
2019-07-25,,,,,,,,,43.23992353138872
2019-09-06,,,,,,,,,-46.20622868026531
2020-03-09,,,,,,,,,61.24800048221932
2020-03-31,,,,,,,,,-0.7714687904686115
2020-05-06,,,,,,,,,-24.516474046195036
2021-03-23,,,,,,,,,47.064894827492424
2021-04-01,,,,,,,,,-37.081915322811646
2021-04-09,,,,,,,,,-48.3907468419801
2021-05-24,,,,,,,,,-43.706479736087566
2021-06-07,,,,,,,,,2.7643098410823748
2021-06-17,,,,,,,,,-33.070066779155894
2021-06-29,,,,,,,,,-11.162898097935367
2021-07-08,,,,,,,,,-40.07396632422146
2021-09-16,,,,,,,,,0.14803606747244658
2021-11-30,,,,,,,,,-41.60604427462892
2022-04-26,,,,,,,,,-15.939537072551737
2022-05-23,,,,,,,,,0.6334263297304439
2022-06-22,,,,,,,,,88.94177065433243
2022-08-08,,,,,,,,,-35.5770009071216
2022-09-26,,,,,,,,,-4.432122160361419
2022-10-18,,,,,,,,,20.065365283390705
2022-10-27,,,,,,,,,-43.24138006412
2023-03-13,,,,,,,,,-15.948780105809643
2023-08-16,,,,,,,,,-22.607421927019512
2023-09-29,,,,,,,,,-21.879672704640345
2023-10-11,,,,,,,,,-42.280502250267624
2024-01-08,,,,,,,,,-7.678632992766045
