rank,symbol,last_close,lots_100_est,est_yuan,cum_yuan,score
1,sh.600653,1.7400000095367432,1,174.0,174.0,0.0892379954457283
2,sz.000868,3.5799999237060547,1,358.0,532.0,0.08649247884750366
3,sh.600697,11.140000343322754,1,1114.0,1646.0,0.0853583961725235
4,sz.001306,53.279998779296875,1,5328.0,6974.0,0.08336447924375534
5,sh.600533,2.2300000190734863,1,223.0,7197.0,0.08223000913858414
6,sh.600241,7.5,1,750.0,7947.0,0.08118359744548798
7,sz.002799,6.929999828338623,1,693.0,8640.0,0.08107254654169083
8,sz.002858,11.779999732971191,1,1178.0,9818.0,0.08055711537599564
9,sz.002813,21.0,1,2100.0,11918.0,0.07979220896959305
10,sh.603208,11.460000038146973,1,1146.0,13064.0,0.07914499938488007
11,sz.000929,9.239999771118164,1,924.0,13988.0,0.07909426093101501
