timestamp_utc,timestamp_unix,open,high,low,close,tick_volume,real_volume,spread
2023-06-12T22:45:00Z,1686609900,139.546,139.56,139.544,139.553,126,0,10
2023-06-12T23:00:00Z,1686610800,139.553,139.557,139.447,139.45,253,0,10
2023-06-12T23:15:00Z,1686611700,139.45,139.478,139.416,139.477,180,0,10
2023-06-12T23:30:00Z,1686612600,139.477,139.479,139.423,139.466,187,0,10
2023-06-12T23:45:00Z,1686613500,139.465,139.465,139.427,139.456,252,0,10
2023-06-13T00:00:00Z,1686614400,139.455,139.5,139.398,139.447,479,0,10
2023-06-13T00:15:00Z,1686615300,139.447,139.496,139.435,139.468,304,0,10
2023-06-13T00:30:00Z,1686616200,139.468,139.549,139.458,139.515,480,0,10
2023-06-13T00:45:00Z,1686617100,139.514,139.66,139.492,139.641,1153,0,10
2023-06-13T01:00:00Z,1686618000,139.641,139.657,139.599,139.615,536,0,10
2023-06-13T01:15:00Z,1686618900,139.615,139.659,139.571,139.609,884,0,10
2023-06-13T01:30:00Z,1686619800,139.613,139.628,139.531,139.549,691,0,10
2023-06-13T01:45:00Z,1686620700,139.548,139.588,139.505,139.539,608,0,10
2023-06-13T02:00:00Z,1686621600,139.539,139.557,139.508,139.522,485,0,10
2023-06-13T02:15:00Z,1686622500,139.522,139.534,139.447,139.467,432,0,10
2023-06-13T02:30:00Z,1686623400,139.465,139.471,139.446,139.457,297,0,10
2023-06-13T02:45:00Z,1686624300,139.457,139.478,139.41,139.431,308,0,10
2023-06-13T03:00:00Z,1686625200,139.431,139.431,139.372,139.388,316,0,10
2023-06-13T03:15:00Z,1686626100,139.388,139.392,139.341,139.346,235,0,10
2023-06-13T03:30:00Z,1686627000,139.346,139.418,139.322,139.414,577,0,10
2023-06-13T03:45:00Z,1686627900,139.415,139.435,139.385,139.391,409,0,10
2023-06-13T04:00:00Z,1686628800,139.391,139.456,139.382,139.456,397,0,10
2023-06-13T04:15:00Z,1686629700,139.453,139.48,139.423,139.423,443,0,10
2023-06-13T04:30:00Z,1686630600,139.423,139.511,139.423,139.482,428,0,10
2023-06-13T04:45:00Z,1686631500,139.482,139.512,139.474,139.489,418,0,10
2023-06-13T05:00:00Z,1686632400,139.489,139.561,139.474,139.526,603,0,10
2023-06-13T05:15:00Z,1686633300,139.527,139.539,139.426,139.426,515,0,10
2023-06-13T05:30:00Z,1686634200,139.427,139.44,139.379,139.403,405,0,10
2023-06-13T05:45:00Z,1686635100,139.403,139.483,139.393,139.476,499,0,10
2023-06-13T06:00:00Z,1686636000,139.476,139.545,139.425,139.539,1060,0,10
