signal_date,entry,exit,n_sel,n_fill,lo_ret,idx_ret,capital_ret,net_yuan,equity
2012-01-04,2012-01-05,2012-02-09,417,402,0.0482379716534429,0.10250220448930047,-0.0452237470121721,-45223.74701217213,954776.2529878279
2012-02-08,2012-02-09,2012-03-08,418,411,0.09351409547663292,0.03437216650366848,0.048482164186597385,46289.61905882007,1001065.872046648
2012-03-07,2012-03-08,2012-04-10,423,404,-0.08181013552568017,-0.0467462869392129,-0.03380151454375953,-33837.542633246165,967228.3294134018
2012-04-09,2012-04-10,2012-05-10,421,387,0.006302493538653975,0.06729765327593662,-0.04935561982116086,-47738.15370678436,919490.1757066174
2012-05-09,2012-05-10,2012-06-07,421,406,-0.07518076113592376,-0.02951235387735296,-0.041945929891036945,-38568.870445686975,880921.3052609304
2012-06-06,2012-06-07,2012-07-06,430,422,-0.03987106844286492,-0.05596972974649439,0.01052531977029117,9271.978430333664,890193.2836912641
2012-07-05,2012-07-06,2012-08-03,440,431,-0.10143587219305239,-0.03893538557571474,-0.05607151268105105,-49914.48399508116,840278.799696183
2012-08-02,2012-08-03,2012-08-31,447,443,0.012529007020895433,-0.05754940711462442,0.05683310766281595,47755.655489914934,888034.4551860979
2012-08-30,2012-08-31,2012-09-28,454,447,-0.01714509083883775,0.013370693290169822,-0.028044004325321458,-24904.042102273437,863130.4130838244
2012-09-27,2012-09-28,2012-11-02,460,457,0.02245698253319195,0.02811557631562467,-0.006955376788869719,-6003.3972409307025,857127.0158428937
2012-11-01,2012-11-02,2012-11-30,463,455,-0.14025308079615662,-0.07992514904913195,-0.05472910010819938,-46909.79025550792,810217.2255873858
2012-11-29,2012-11-30,2012-12-28,466,456,0.1664377595942781,0.15790071136673234,0.007869827283285197,6376.269627315225,816593.495214701
2012-12-27,2012-12-28,2013-01-30,464,460,0.08065139008834343,0.0940941472500898,-0.013033428473158998,-10643.012911527767,805950.4823031733
2013-01-29,2013-01-30,2013-03-06,463,455,0.041412884141973194,-0.01626325870005929,0.04650935433866268,37484.23656085448,843434.7188640278
2013-03-05,2013-03-06,2013-04-03,464,457,-0.05236836093614583,-0.05350928129281507,-0.001997972216757807,-1685.1591349391965,841749.5597290886
2013-04-02,2013-04-03,2013-05-08,464,454,0.01812928005787251,0.01940349976743061,-0.0029942473382126855,-2520.406378660584,839229.153350428
2013-05-07,2013-05-08,2013-06-05,468,458,0.025459758562625057,0.009070633724977961,0.011828461186983075,9926.789467390161,849155.9428178181
2013-06-04,2013-06-05,2013-07-08,466,452,-0.10776699912801324,-0.14458568683171358,0.025356732494994053,21531.82008856593,870687.7629063841
2013-07-05,2013-07-08,2013-08-05,465,453,0.08682345303336625,0.025318763044449133,0.050577609418678,44037.30559790169,914725.0685042858
2013-08-02,2013-08-05,2013-09-02,464,445,0.02172282631108069,0.031102498688877267,-0.009111846658045198,-8334.834558481001,906390.2339458048
2013-08-30,2013-09-02,2013-10-09,463,450,0.07981327641770819,0.04869911550199135,0.02535779945408067,22984.06177953491,929374.2957253397
2013-10-08,2013-10-09,2013-11-06,463,451,-0.0311209181410671,-0.025327381686354733,-0.007738972376689884,-7192.402002224,922181.8937231157
2013-11-05,2013-11-06,2013-12-04,461,446,0.027556401681651632,0.028886864699829706,-0.0025731244341044464,-2372.888763427618,919809.004959688
2013-12-03,2013-12-04,2014-01-02,460,449,0.018202604193039873,-0.04770433884466896,0.05279011650027176,48556.82452982094,968365.829489509
2013-12-31,2014-01-02,2014-01-30,461,445,0.06033024290915856,-0.04315602363746707,0.08445403949559724,81782.40600989375,1050148.2354994027
2014-01-29,2014-01-30,2014-03-06,462,448,0.0382409288338208,-0.02867989708343066,0.05389763751300186,56600.50893186522,1106748.744431268
2014-03-05,2014-03-06,2014-04-03,460,436,-0.04635434036757746,0.013540798369917395,-0.05250603811917562,-58110.99176345789,1048637.75266781
2014-04-02,2014-04-03,2014-05-06,460,449,-0.03632281032549356,-0.017019701732582826,-0.019014728783585292,-19939.562459206907,1028698.1902086032
2014-05-05,2014-05-06,2014-06-04,455,433,-0.03006013938456309,-0.0009203352251335728,-0.02701118788687118,-27786.360094608972,1000911.8301139942
2014-06-03,2014-06-04,2014-07-02,455,438,0.03695406723455541,0.0067879092402101104,0.023626820311196506,23648.3639574541,1024560.1940714483
2014-07-01,2014-07-02,2014-07-30,454,433,0.01735908940957298,0.0742560073937153,-0.04765222880894213,-48822.57679642679,975737.6172750215
2014-07-29,2014-07-30,2014-08-27,453,426,0.05677142705932381,-0.000387148393979464,0.04638670911172466,45261.25702190376,1020998.8742969253
2014-08-26,2014-08-27,2014-09-25,453,426,0.10248261765055688,0.05578387031530396,0.04034160549698463,41188.73379975208,1062187.6080966773
2014-09-24,2014-09-25,2014-10-30,451,426,0.030160062289740663,-0.0012472385486381743,0.024449312111291893,25969.756351102144,1088157.3644477795
2014-10-29,2014-10-30,2014-11-27,452,423,0.02694832510003109,0.11699097275502379,-0.07232401179563848,-78699.9060618321,1009457.4583859474
2014-11-26,2014-11-27,2014-12-25,451,425,-0.05829084525512873,0.1890552898579847,-0.20316307682211832,-205084.48316672456,804372.9752192228
2014-12-24,2014-12-25,2015-01-26,454,426,0.05819677731898176,0.10005899559991138,-0.032511169899502576,-26151.106459920527,778221.8687593023
2015-01-23,2015-01-26,2015-03-02,453,421,0.07967898680776786,0.006516541344982807,0.060426461468146224,47025.19376625272,825247.062525555
2015-02-27,2015-03-02,2015-03-30,459,418,0.19888526152284114,0.1097753541744717,0.08196860251424311,67644.34844420408,892891.4109697591
