signal_date,entry,exit,symbol,signal_rank,weight,expected_price,execution_price,filled,reason,gross_pnl,fees,slippage,stamp,net_pnl
2010-01-04,2010-01-05,2010-02-02,sh.600640,288,0.003472222222222222,12.800000190734863,12.800000190734863,1,FILL,-541.851980642216,4.588402650624332,6.39385347492821,2.926000747142997,-552.8342367677687
2010-01-04,2010-01-05,2010-02-02,sz.002067,287,0.003472222222222222,6.699999809265137,6.699999809265137,1,FILL,450.30346504455156,5.838518512189658,7.386008920614977,3.9181561928297644,437.07893761174637
2010-01-04,2010-01-05,2010-02-02,sh.600289,286,0.003472222222222222,17.100000381469727,17.100000381469727,1,FILL,-279.8618160496512,4.918510258010963,6.655843639520774,3.1879909117355614,-291.4361699471833
2010-01-04,2010-01-05,2010-02-02,sh.600064,285,0.003472222222222222,25.200000762939453,25.200000762939453,1,FILL,108.71429097292594,5.40811615285941,7.044419746543351,3.576567018758139,96.26175507352355
2010-01-04,2010-01-05,2010-02-02,sh.600596,284,0.003472222222222222,45.790000915527344,45.790000915527344,1,FILL,-328.6848889893022,4.856993186107003,6.607020566581124,3.1391678387959105,-340.14890274199024
2010-01-04,2010-01-05,2010-02-02,sz.002023,283,0.003472222222222222,17.959999084472656,17.959999084472656,1,FILL,104.26746900766875,5.402513157183186,7.039972924578095,3.5721201967928815,91.82498292590708
2010-01-04,2010-01-05,2010-02-02,sh.600893,282,0.003472222222222222,26.350000381469727,26.350000381469727,1,FILL,59.223139896357225,5.345757302502934,6.994928595466783,3.52707586768157,46.88245399838752
2010-01-04,2010-01-05,2010-02-02,sh.600676,281,0.003472222222222222,8.579999923706055,8.579999923706055,1,FILL,40.41801850151569,5.322062849545434,6.976123474071941,3.5082707462867284,28.119832177898388
2010-01-04,2010-01-05,2010-02-02,sz.002029,280,0.003472222222222222,22.520000457763672,22.520000457763672,1,FILL,209.42607087590613,5.535012995537166,7.145131526446331,3.677278798661119,196.74592635392264
2010-01-04,2010-01-05,2010-02-02,sh.600170,279,0.003472222222222222,15.34000015258789,15.34000015258789,1,FILL,-361.7057126561449,4.815386948286781,6.57399974291428,3.1061470151290678,-373.0950993473457
2010-01-04,2010-01-05,2010-02-02,sh.600982,278,0.003472222222222222,9.279999732971191,9.279999732971191,1,FILL,-227.95140455019646,4.983917376500276,6.707754051020229,3.2399013232350162,-239.64307597771676
