date,open_interest,mm_long,mm_short,mm_net,mm_net_oi,com_net,knowledge_time_utc
2018-01-02,500731.0,168423.0,20249.0,148174.0,0.2959153717265358,-158219.0,2018-01-02T21:00:00Z
2018-01-09,555455.0,216115.0,20065.0,196050.0,0.3529538846531222,-177254.0,2018-01-09T21:00:00Z
2018-01-16,582333.0,227373.0,25841.0,201532.0,0.34607690101711563,-190018.0,2018-01-16T21:00:00Z
2018-01-23,582421.0,236003.0,26467.0,209536.0,0.3597672474035105,-193251.0,2018-01-23T21:00:00Z
2018-01-30,559332.0,230597.0,23035.0,207562.0,0.3710890848369126,-186935.0,2018-01-30T21:00:00Z
2018-02-06,535321.0,206377.0,23448.0,182929.0,0.34171833348588976,-175630.0,2018-02-06T21:00:00Z
2018-02-13,511745.0,186183.0,16426.0,169757.0,0.3317218536575834,-171400.0,2018-02-13T21:00:00Z
2018-02-20,528154.0,190398.0,14943.0,175455.0,0.33220424345929406,-176318.0,2018-02-20T21:00:00Z
2018-02-27,532860.0,177475.0,27456.0,150019.0,0.281535487745374,-175225.0,2018-02-27T21:00:00Z
2018-03-06,508100.0,172492.0,21786.0,150706.0,0.29660696713245427,-173777.0,2018-03-06T21:00:00Z
2018-03-13,526762.0,162337.0,26472.0,135865.0,0.25792483132800015,-169723.0,2018-03-13T21:00:00Z
2018-03-20,545499.0,148152.0,36345.0,111807.0,0.20496279553216412,-156569.0,2018-03-20T21:00:00Z
2018-03-27,529690.0,183080.0,20917.0,162163.0,0.3061469916366176,-179016.0,2018-03-27T21:00:00Z
2018-04-03,493141.0,155590.0,28948.0,126642.0,0.2568068767350514,-166762.0,2018-04-03T21:00:00Z
2018-04-10,499588.0,154044.0,28482.0,125562.0,0.2513310968237828,-165095.0,2018-04-10T21:00:00Z
2018-04-17,510229.0,157925.0,25287.0,132638.0,0.25995778366184596,-173847.0,2018-04-17T21:00:00Z
2018-04-24,506410.0,143258.0,43597.0,99661.0,0.19679903635394247,-163463.0,2018-04-24T21:00:00Z
2018-05-01,507756.0,119064.0,79747.0,39317.0,0.07743286145313891,-148055.0,2018-05-01T21:00:00Z
2018-05-08,491398.0,109508.0,67869.0,41639.0,0.08473579461047867,-148233.0,2018-05-08T21:00:00Z
2018-05-15,519958.0,103256.0,84258.0,18998.0,0.03653756649575542,-139860.0,2018-05-15T21:00:00Z
2018-05-22,502942.0,91411.0,74880.0,16531.0,0.03286860115082853,-129304.0,2018-05-22T21:00:00Z
2018-05-29,469382.0,107882.0,53881.0,54001.0,0.11504701927214933,-137375.0,2018-05-29T21:00:00Z
2018-06-05,450641.0,100027.0,49147.0,50880.0,0.1129058385721672,-98124.0,2018-06-05T21:00:00Z
2018-06-12,448695.0,104313.0,48809.0,55504.0,0.12370095499169814,-95616.0,2018-06-12T21:00:00Z
2018-06-19,468345.0,94297.0,83769.0,10528.0,0.022479155323532864,-71190.0,2018-06-19T21:00:00Z
2018-06-26,468573.0,94845.0,94869.0,-24.0,-5.1219340422943705e-05,-71811.0,2018-06-26T21:00:00Z
2018-07-03,494164.0,104275.0,105529.0,-1254.0,-0.0025376190900186983,-71244.0,2018-07-03T21:00:00Z
2018-07-10,503593.0,107402.0,109929.0,-2527.0,-0.005017941075431946,-69642.0,2018-07-10T21:00:00Z
2018-07-17,528278.0,107775.0,134224.0,-26449.0,-0.05006644228985496,-71994.0,2018-07-17T21:00:00Z
2018-07-24,496620.0,110249.0,146671.0,-36422.0,-0.07333977689178849,-57300.0,2018-07-24T21:00:00Z
2018-07-31,452655.0,110580.0,153108.0,-42528.0,-0.09395234781456076,-52764.0,2018-07-31T21:00:00Z
2018-08-07,459474.0,105849.0,171965.0,-66116.0,-0.1438949755590088,-47665.0,2018-08-07T21:00:00Z
2018-08-14,476739.0,104803.0,188127.0,-83324.0,-0.1747790719869782,-38609.0,2018-08-14T21:00:00Z
