entry_time,entry_price,exit_time,exit_price,side,gross_pnl,spread_cost,commission,slippage,net_pnl
2019-02-22,,,,,,,,,24.45841869110602
2019-03-21,,,,,,,,,-37.257076599999635
2019-04-11,,,,,,,,,-37.22351588599749
2019-06-25,,,,,,,,,-57.584462201437326
2019-07-11,,,,,,,,,-43.0797222402524
2019-09-02,,,,,,,,,-38.88200147986079
2019-10-29,,,,,,,,,-33.87378510680613
2019-12-12,,,,,,,,,-26.773981423317693
2019-12-26,,,,,,,,,-14.013720140092577
2019-12-27,,,,,,,,,-18.957100320769413
2020-02-25,,,,,,,,,-26.24539663771124
2020-02-26,,,,,,,,,-12.786344832120959
2020-02-26,,,,,,,,,38.898231040621965
2020-03-13,,,,,,,,,-2.965498286559706
2020-07-29,,,,,,,,,-57.36296535485344
2020-07-30,,,,,,,,,-55.80301396663827
2020-08-11,,,,,,,,,-51.84567318749344
2020-08-14,,,,,,,,,-27.065135851717862
2020-08-17,,,,,,,,,76.1043670776028
2020-08-17,,,,,,,,,4.333537072361633
2020-08-20,,,,,,,,,32.06421705701443
2020-08-21,,,,,,,,,-26.270678874914626
2020-08-27,,,,,,,,,-49.950543324370045
2020-08-31,,,,,,,,,-49.41940655326813
2020-09-01,,,,,,,,,-21.038113316295668
2020-11-24,,,,,,,,,-46.5021276808442
2020-11-30,,,,,,,,,-55.5576309731085
2020-11-30,,,,,,,,,4.873526126385048
2020-12-10,,,,,,,,,-53.385671465542686
2020-12-18,,,,,,,,,-39.21301429857093
2021-01-11,,,,,,,,,-52.72312842266983
2021-01-19,,,,,,,,,-30.71279695025694
2021-01-21,,,,,,,,,-43.519558239496305
2021-02-01,,,,,,,,,-13.995570350467702
2021-02-01,,,,,,,,,-18.993358757861458
2021-02-01,,,,,,,,,-34.173775658956615
2021-02-05,,,,,,,,,-40.75365017031957
2021-02-08,,,,,,,,,-41.54366963476309
2021-02-08,,,,,,,,,-15.145486404586205
2021-02-16,,,,,,,,,-11.182426885731708
2021-02-17,,,,,,,,,-49.96176464668444
2021-03-01,,,,,,,,,-51.86262479348847
2021-04-30,,,,,,,,,-33.79585287414265
2021-05-07,,,,,,,,,-33.781147828890525
2021-06-04,,,,,,,,,78.64864399803513
2021-06-06,,,,,,,,,-37.75984329004775
2021-06-10,,,,,,,,,-5.463392686950122
2021-06-14,,,,,,,,,-11.282355372293281
2021-06-15,,,,,,,,,-31.578540906062607
2021-06-17,,,,,,,,,-26.57918074233188
2021-06-18,,,,,,,,,-39.964132134653184
2021-06-23,,,,,,,,,-42.781381209493176
2021-06-28,,,,,,,,,-33.46863372470474
2021-07-29,,,,,,,,,2.5982171302995507
2021-08-06,,,,,,,,,-28.657757254501323
2021-08-09,,,,,,,,,-5.380237773573623
2021-08-30,,,,,,,,,-42.60311604792651
2021-08-30,,,,,,,,,-28.950671914450588
2021-09-14,,,,,,,,,-25.311975350472828
2021-09-24,,,,,,,,,-7.516377499275912
2021-10-14,,,,,,,,,-28.699334643195396
2021-10-15,,,,,,,,,-23.489899767802733
2021-10-25,,,,,,,,,-10.600600286411948
2022-11-09,,,,,,,,,-31.745661890466643
2022-11-09,,,,,,,,,-35.77488288999082
2023-02-02,,,,,,,,,-11.4995535929975
2023-04-10,,,,,,,,,-40.202535727468515
2023-04-12,,,,,,,,,-16.388425982722573
2023-04-13,,,,,,,,,5.2180330637500845
2023-04-13,,,,,,,,,-19.746605357256655
2023-04-17,,,,,,,,,-34.84265845611225
2023-04-25,,,,,,,,,17.267002137084237
2023-07-27,,,,,,,,,-15.097833939477049
2023-10-23,,,,,,,,,-33.926055431940114
2023-12-04,,,,,,,,,-4.092937148851718
2023-12-14,,,,,,,,,-45.528717732021335
2024-02-14,,,,,,,,,-24.006102798592757
2024-03-11,,,,,,,,,-37.99988020768829
2024-03-21,,,,,,,,,-17.2265749269631
2024-03-25,,,,,,,,,-39.94077730569575
2024-03-27,,,,,,,,,14.776251303000663
2024-03-28,,,,,,,,,-40.35118285224417
2024-04-01,,,,,,,,,-46.333162223201484
2024-04-04,,,,,,,,,-4.631991025692267
2024-04-04,,,,,,,,,-37.16776494542549
2024-04-05,,,,,,,,,-46.061841280640024
2024-04-08,,,,,,,,,50.951529075601954
2024-04-08,,,,,,,,,-17.069105992868685
2024-04-10,,,,,,,,,-22.64000952031709
2024-04-12,,,,,,,,,-42.411161120521015
2024-04-15,,,,,,,,,76.21701273450577
2024-04-17,,,,,,,,,-37.61797873996726
2024-04-23,,,,,,,,,-3.422726578808393
2024-04-25,,,,,,,,,-17.855345870486133
2024-05-02,,,,,,,,,-11.573217847347504
2024-05-06,,,,,,,,,-19.960492541572172
