signal_date,entry,exit,n_selected,n_filled,n_unfilled,gross,net,fees,ret,equity
2010-01-04,2010-01-05,2010-02-02,288,283,5,-32124.301880392093,-35506.23713145298,1451.254909014792,-0.035506237131459395,964493.7628685406
2010-02-01,2010-02-02,2010-03-09,287,278,9,53393.816688245,49988.73096153002,1485.5466253678633,0.05182898312670292,1014482.4938300644
2010-03-08,2010-03-09,2010-04-07,295,290,5,33625.863690076105,30043.833522115856,1556.3385565311303,0.029614935402872522,1044526.3273521868
2010-04-06,2010-04-07,2010-05-06,295,288,7,-91199.2314947,-94578.092336122,1433.1446725757298,-0.09054639395817499,949948.2350160701
2010-05-05,2010-05-06,2010-06-03,297,286,11,-106405.14330809984,-109380.5883082621,1254.6225161757159,-0.11514373549671786,840567.6467078057
2010-06-02,2010-06-03,2010-07-06,306,292,14,-89341.70877058902,-91959.6717339321,1105.1028396337279,-0.10940186919412132,748607.974973868
2010-07-05,2010-07-06,2010-08-03,311,303,8,115803.16130261644,112977.36075844728,1253.1306785339877,0.15091658723298274,861585.3357323182
2010-08-02,2010-08-03,2010-08-31,316,312,4,36283.14800669861,33210.525519952505,1337.121968142251,0.038545834222826425,894795.8612522744
2010-08-30,2010-08-31,2010-10-08,319,312,7,10840.061348422918,7738.873273507417,1342.228958869283,0.00864875845835722,902534.7345257831
2010-09-30,2010-10-08,2010-11-05,329,322,7,91474.12172216855,88161.97485564434,1456.2322042155588,0.09768263921939235,990696.7093814352
2010-11-04,2010-11-05,2010-12-03,335,322,13,-13748.39508970981,-17065.03180843638,1428.278243572348,-0.01722528362802378,973631.6775729901
2010-12-02,2010-12-03,2010-12-31,338,326,12,-40189.111781026746,-43399.63304013162,1374.944091493886,-0.04457500103973566,930232.0445328545
2010-12-30,2010-12-31,2011-01-31,340,330,10,-25248.636616244927,-28365.685737961783,1338.825576248084,-0.030493129004397157,901866.35879489
2011-01-28,2011-01-31,2011-03-07,348,332,16,80113.98204198566,76908.1233312179,1407.1077336388598,0.08527662949306825,978774.4821261044
2011-03-04,2011-03-07,2011-04-06,353,347,6,6342.897053099165,2946.097938518939,1468.6015770497352,0.0030099864599215653,981720.5800646207
2011-04-01,2011-04-06,2011-05-05,355,346,9,-40857.02798586692,-44128.50095255258,1401.0743981182245,-0.04495016387416739,937592.0791120733
2011-05-04,2011-05-05,2011-06-02,363,353,10,-92987.35385892152,-95982.56977503892,1266.9718291589973,-0.10237135307920486,841609.5093370255
2011-06-01,2011-06-02,2011-07-01,371,362,9,-11703.988270065805,-14564.499417884643,1231.8957262541117,-0.017305530957407278,827045.0099191453
2011-06-30,2011-07-01,2011-07-29,373,366,7,4365.361244217378,1502.525585806244,1237.4646483037213,0.0018167397998787305,828547.5355049564
2011-07-28,2011-07-29,2011-08-26,385,376,9,-19399.269533684314,-22200.152529801948,1203.9610467514376,-0.02679406018179753,806347.3829751565
2011-08-25,2011-08-26,2011-09-26,390,377,13,-59999.82839502171,-62604.5073936028,1107.7023435932813,-0.07763962370983857,743742.8755815523
2011-09-23,2011-09-26,2011-10-31,396,392,4,-4207.114651745084,-6785.876083963183,1112.360869977187,-0.009123954402462942,736956.9994975895
2011-10-28,2011-10-31,2011-11-28,401,388,13,-5142.194443180503,-7637.405476504651,1076.0166409686133,-0.010363434341097655,729319.5940210839
2011-11-25,2011-11-28,2011-12-26,405,389,16,-85334.1920747207,-87604.01834953751,955.9095868314688,-0.12011746162821924,641715.5756715479
2011-12-23,2011-12-26,2012-02-01,407,394,13,-20734.3581880277,-22871.435960632243,916.9385955030796,-0.035641079674119336,618844.1397109149
2012-01-31,2012-02-01,2012-02-29,412,402,10,67563.81294055143,65288.334180721315,1001.7873658756448,0.10550044832164196,684132.4738916373
2012-02-28,2012-02-29,2012-03-28,414,403,11,-17085.79027702702,-19388.38820846779,989.4497345207029,-0.02834010801764064,664744.0856831726
2012-03-27,2012-03-28,2012-05-02,418,405,13,14340.609184034662,12043.925195297934,995.823940927219,0.018118138174814336,676788.010878471
2012-04-27,2012-05-02,2012-05-30,406,392,14,-15185.721352900915,-17448.652822413827,972.8608273598481,-0.02578156312161739,659339.3580560538
2012-05-29,2012-05-30,2012-06-28,421,388,33,-36091.785194886565,-38146.47932886632,877.0009370608876,-0.05785560783347854,621192.8787271852
2012-06-27,2012-06-28,2012-07-26,428,411,17,-33086.413181033524,-35108.74357499418,863.8794845565728,-0.05651826474078636,586084.1351521909
2012-07-25,2012-07-26,2012-08-23,439,434,5,-2084.9185527938694,-4117.1594648873415,876.9662692696864,-0.007024860797188337,581966.9756873063
2012-08-22,2012-08-23,2012-09-20,443,443,0,-12051.27150773305,-14069.98149675798,868.2920204006122,-0.02417659778742809,567896.9941905483
2012-09-19,2012-09-20,2012-10-25,451,448,3,4596.321732793994,2602.732560350436,862.1738249565327,0.004583106772847678,570499.7267509028
2012-10-24,2012-10-25,2012-11-22,456,451,5,-27649.521915931822,-29570.67436000777,821.7335775793725,-0.05183293343260953,540929.0523909014
2012-11-21,2012-11-22,2012-12-20,460,453,7,5916.661767310245,4030.5544764851156,816.1362908583758,0.0074511702757780185,544959.6068673813
2012-12-19,2012-12-20,2013-01-22,461,453,8,65975.38149324308,63943.6800261397,896.0686396279254,0.11733654975588559,608903.2868935235
2013-01-21,2013-01-22,2013-02-26,462,456,6,12362.786733962468,10222.00502558892,927.9406203016111,0.01678756749325183,619125.2919191115
2013-02-25,2013-02-26,2013-03-26,465,462,3,6864.094732150051,4686.04578164328,942.4711646313898,0.007568816591408956,623811.3377007497
2013-03-25,2013-03-26,2013-04-25,464,462,2,-26099.367525339174,-28223.982803884188,910.0329135974672,-0.04524442102625914,595587.3548968631
2013-04-24,2013-04-25,2013-05-28,465,455,10,32960.59090550627,30837.29929202631,926.2397282372023,0.05177628275430424,626424.6541888912
2013-05-27,2013-05-28,2013-06-28,465,459,6,-104684.54010459289,-106621.77700486244,806.794189859369,-0.17020686572899735,519802.87718402897
2013-06-27,2013-06-28,2013-07-26,464,457,7,18221.338579608353,16380.323344045937,800.1603683620793,0.031512567673325886,536183.2005280802
2013-07-25,2013-07-26,2013-08-23,463,454,9,32423.081054459755,30501.456382536086,839.0035745393218,0.05688625893630772,566684.6569106188
2013-08-22,2013-08-23,2013-09-24,462,449,13,49751.38617878369,47702.78638340689,898.7565554407395,0.08417871527256793,614387.4432940306
2013-09-23,2013-09-24,2013-10-29,461,449,12,-1377.607104123248,-3478.19243644173,906.6795733011155,-0.005661236202660347,610909.2508575945
2013-10-28,2013-10-29,2013-11-26,462,455,7,17654.58047285922,15499.527478274045,935.6065716597493,0.025371243693752765,626408.7783358705
2013-11-25,2013-11-26,2013-12-24,459,449,10,-12835.057602746061,-14960.256652138016,914.0532663275709,-0.02388257822931006,611448.5216837375
2013-12-23,2013-12-24,2014-01-22,460,454,6,-22164.070548218973,-24235.531926801694,888.1980752549641,-0.03963625892833034,587212.9897569361
2014-01-21,2014-01-22,2014-02-26,460,453,7,20862.854008231716,18782.729972901452,904.1623260540365,0.03198623038069215,605995.7197298364
2014-02-25,2014-02-26,2014-03-26,457,436,21,32913.92283558473,30807.01355570707,919.1522807527343,0.050837015102100036,636802.7332855501
2014-03-25,2014-03-26,2014-04-24,455,443,12,-381.248251791493,-2560.068166460531,940.7457448991873,-0.00402019029229328,634242.6651190898
2014-04-23,2014-04-24,2014-05-26,449,437,12,-9848.551711940103,-11996.426960935376,924.6937007843117,-0.018914569486867983,622246.2381581584
2014-05-23,2014-05-26,2014-06-24,449,437,12,-9390.446211054577,-11498.309647514081,907.5460162520912,-0.018478712995603663,610747.9285106397
2014-06-23,2014-06-24,2014-07-22,454,445,9,33478.309356520476,31298.085247581133,950.9712940182744,0.05124550372836478,642046.0137582227
2014-07-21,2014-07-22,2014-08-19,450,440,10,68521.25486168888,66159.39794183134,1039.3590264333054,0.10304463624743043,708205.4117000514
2014-08-18,2014-08-19,2014-09-17,450,430,20,46017.92777043846,43534.83666082603,1085.3171631765094,0.06147204743369272,751740.2483608748
2014-09-16,2014-09-17,2014-10-22,450,436,14,44967.54442405142,42305.34233434134,1162.3621365862205,0.056276542897084614,794045.5906952206
2014-10-21,2014-10-22,2014-11-19,449,432,17,33914.00063292782,31151.524245064607,1202.5221903934384,0.0392314051108702,825197.114940285
2014-11-18,2014-11-19,2014-12-17,451,439,12,108008.0919000884,104940.14457177531,1355.4795542431596,0.12716979091639824,930137.2595120561
2014-12-16,2014-12-17,2015-01-16,451,429,22,-21091.408122107478,-24154.19414960489,1316.5748163846645,-0.02596841907212788,905983.0653624465
2015-01-15,2015-01-16,2015-02-13,449,432,17,46806.96500770926,43636.726024911615,1382.2642667216182,0.04816505704491325,949619.7913873541
2015-02-12,2015-02-13,2015-03-20,453,427,26,186859.18452333743,183290.03867012527,1594.3070685810274,0.19301413084740116,1132909.8300574748
2015-03-19,2015-03-20,2015-04-20,448,412,36,176909.5551830147,172846.96372173546,1804.5592546384776,0.1525690387141998,1305756.7937792111
2015-04-17,2015-04-20,2015-05-19,443,413,30,116164.37114997112,111622.22747571098,1994.3814647798322,0.08548469975992634,1417379.021254911
2015-05-18,2015-05-19,2015-06-16,441,395,46,374899.24053729273,369588.83037621854,2399.6371265256057,0.2607551154870389,1786967.8516311417
2015-06-15,2015-06-16,2015-07-15,430,320,110,-418928.5268335543,-422656.8823175629,1490.9579002443224,-0.236521816512692,1364310.9693135615
2015-07-14,2015-07-15,2015-08-12,369,274,95,9450.48218234515,5867.620682618159,1549.8295345929887,0.004300794184461276,1370178.589996182
2015-08-11,2015-08-12,2015-09-11,425,392,33,-290531.5760915568,-294317.91127805744,1552.4709964173617,-0.21480259101033894,1075860.6787181091
2015-09-10,2015-09-11,2015-10-16,442,411,31,84591.11903487126,80882.95107437535,1625.285914485428,0.07517976321131159,1156743.6297924975
2015-10-15,2015-10-16,2015-11-13,455,428,27,115669.9033034648,111583.19121322005,1797.5773524078213,0.09646319922524915,1268326.821005709
2015-11-12,2015-11-13,2015-12-11,478,456,22,-24161.46753419035,-28360.533843142475,1806.3691255889216,-0.022360588275391224,1239966.2871625645
2015-12-10,2015-12-11,2016-01-11,491,464,27,-94160.63130445182,-98067.30604019707,1660.2230019967847,-0.07908868737441122,1141898.981122355
2016-01-08,2016-01-11,2016-02-15,495,479,16,-163777.4652620345,-167291.99519514816,1471.1102366679158,-0.146503322939048,974606.9859272167
2016-02-05,2016-02-15,2016-03-14,496,481,15,37237.97605754332,33831.136705511104,1481.7141452120738,0.03471259409588212,1008438.1226327192
2016-03-11,2016-03-14,2016-04-12,495,478,17,119246.21890259754,115553.24280471916,1628.5709908175459,0.1145863491386443,1123991.365437431
2016-04-11,2016-04-12,2016-05-11,487,472,15,-79603.19564472124,-83253.05463099538,1553.4609271284266,-0.0740691229408118,1040738.3108064351
2016-05-10,2016-05-11,2016-06-08,492,478,14,2722.8198728386733,-838.0106043910171,1538.4048708130153,-0.0008052077988278672,1039900.3002020348
2016-06-07,2016-06-08,2016-07-08,497,488,9,16244.864335973998,12618.510630464425,1570.5404820200279,0.012134346559968145,1052518.8108325012
2016-07-07,2016-07-08,2016-08-05,502,493,9,6269.200618298766,2621.1665857136513,1577.0684460646237,0.0024903750495863797,1055139.9774182187
2016-08-04,2016-08-05,2016-09-02,510,500,10,37500.40815228951,33778.972080102954,1617.63728348747,0.03201373543133723,1088918.9494983128
2016-09-01,2016-09-02,2016-10-11,516,502,14,25741.290833958225,21958.809420413916,1640.6571134719784,0.020165696841385472,1110877.7589187357
2016-10-10,2016-10-11,2016-11-08,516,508,8,32357.611151325043,28439.662359361766,1701.034026970325,0.025601072783243195,1139317.4212781002
2016-11-07,2016-11-08,2016-12-06,525,512,13,15845.195620714283,11903.215007073735,1706.7203773734025,0.010447672250748496,1151220.6362851819
2016-12-05,2016-12-06,2017-01-04,526,514,12,-26666.937526544076,-30561.53592462028,1674.1825646446018,-0.026547070962207986,1120659.100360561
2017-01-03,2017-01-04,2017-02-08,531,525,6,-13063.6203658719,-16929.335508348908,1665.5748284656172,-0.01510658817020738,1103729.7648522188
