signal_date,entry,exit,symbol,gross,net,hold_days
2020-10-19,2020-10-20,2020-11-17,sh.600558,-0.006349200101906871,-0.00986920010190687,20
2016-10-10,2016-10-11,2016-11-08,sz.000063,0.040397327236217695,0.03687732723621769,20
2015-12-10,2015-12-11,2016-01-11,sz.000418,0.14596847218103726,0.14244847218103726,20
2017-08-29,2017-08-30,2017-09-27,sh.601218,-0.018181800448205276,-0.021701800448205275,20
2012-03-27,2012-03-28,2012-05-02,sz.002236,0.03857258559286092,0.03505258559286092,20
2019-09-17,2019-09-18,2019-10-23,sh.600683,-0.040865347142048924,-0.04438534714204893,20
2017-06-06,2017-06-07,2017-07-05,sh.600580,0.01176469433266436,0.008244694332664362,20
2022-08-08,2022-08-09,2022-09-06,sz.002042,0.05698007071997724,0.053460070719977236,20
2022-09-05,2022-09-06,2022-10-12,sh.600073,-0.023076961637717996,-0.026596961637717995,20
2020-12-14,2020-12-15,2021-01-13,sz.002599,-0.11246944278374027,-0.11598944278374027,20
2019-04-23,2019-04-24,2019-05-27,sh.601818,-0.09389678692364833,-0.09741678692364833,20
2023-02-08,2023-02-09,2023-03-09,sz.002925,0.018867956592823587,0.015347956592823588,20
2022-12-06,2022-12-07,2023-01-05,sh.605166,-0.06230772458589995,-0.06582772458589994,20
2021-11-11,2021-11-12,2021-12-10,sh.601288,0.003412965950654101,-0.00010703404934589867,20
2013-04-24,2013-04-25,2013-05-28,sh.601727,0.018134759990618976,0.014614759990618977,20
2018-04-27,2018-05-02,2018-05-30,sh.600420,0.06299902889387665,0.05947902889387665,20
2021-03-16,2021-03-17,2021-04-15,sz.002839,-0.08263065519437707,-0.08615065519437706,20
2017-08-01,2017-08-02,2017-08-30,sz.002069,0.012987000923330161,0.009467000923330162,20
2014-03-25,2014-03-26,2014-04-24,sh.601678,-0.0069156556850563655,-0.010435655685056364,20
2017-03-07,2017-03-08,2017-04-07,sz.000598,0.0016750802735814307,-0.001844919726418569,20
2013-03-25,2013-03-26,2013-04-25,sz.002031,0.04063863791497724,0.037118637914977236,20
