entry_time,entry_price,exit_time,exit_price,side,gross_pnl,spread_cost,commission,slippage,net_pnl
2019-01-24T00:00:00Z,52.517450000000004,2019-01-25T00:00:00Z,52.99194,1,19.466256410256243,1.2307692307692308,2.16429517948718,4.328615384615385,18.379242256410087
2019-01-27T00:00:00Z,53.61855,2019-01-28T00:00:00Z,53.191739999999996,1,-18.13841972758216,1.27492934052028,2.269592876507997,4.539173428699037,-19.268681560904263
2019-01-29T00:00:00Z,52.10704,2019-01-30T00:00:00Z,53.2317,1,50.96438221650464,1.3594610517802188,2.38673190456005,4.773520906484276,49.75827516867049
2019-01-31T00:00:00Z,54.549479999999996,2019-02-01T00:00:00Z,53.80113,1,-33.66775476484946,1.349679485462004,2.4373099259049047,4.874592408326938,-34.8779927891107
2019-02-03T00:00:00Z,55.38031,2019-02-04T00:00:00Z,55.14978,1,-9.8025882991845,1.275658911966047,2.349978239148488,4.69995265132024,-10.975126771683946
2019-02-10T00:00:00Z,52.74768,2019-02-11T00:00:00Z,52.42251,1,-13.697853099269098,1.2637561674756987,2.215157937451518,4.430307871113975,-14.802007604720039
2019-02-12T00:00:00Z,52.47741,2019-02-13T00:00:00Z,53.39154,1,39.68278751454696,1.3023132655491108,2.297908966579259,4.5958635141228115,38.52391233437869
2019-03-10T00:00:00Z,56.09601,2019-03-11T00:00:00Z,56.04888,1,-2.562220654184406,2.44642328534461,3.048376335871221,6.095943177459802,-4.085768266956471
2019-03-20T00:00:00Z,59.25418,2019-03-21T00:00:00Z,60.01491,1,50.42149133035931,1.9884121040458171,3.952601703242166,7.9052637216514885,48.43258510590564
2019-03-22T00:00:00Z,59.99492,2019-03-22T00:00:00Z,58.46706285714286,1,-100.5954412785785,0.9876130279804334,3.8998199196703016,3.945184842439171,-102.52020237809401
2019-03-24T00:00:00Z,59.10403,2019-03-25T00:00:00Z,58.71621,1,-23.847667646393845,1.8447476390897999,3.6224768262832265,7.24493889458534,-25.65294414262386
2019-03-26T00:00:00Z,59.234159999999996,2019-03-27T00:00:00Z,59.76516,1,35.6013604538053,2.0113762968251354,3.989206859771821,7.978459310739705,33.59785668380594
