date,open,high,low,close,volume,open_interest,settle
2018-06-25,5582.000,5582.000,5582.000,5582.000,4,4,5582.000
2018-06-28,5706.000,5706.000,5706.000,5706.000,2,4,5706.000
2018-07-03,5686.000,5728.000,5686.000,5722.000,8,6,5706.000
2018-07-04,5750.000,5750.000,5672.000,5672.000,6,6,5722.000
2018-07-12,5632.000,5632.000,5616.000,5616.000,6,4,5628.000
2018-07-25,5906.000,5906.000,5906.000,5906.000,4,2,5906.000
2018-07-30,6128.000,6128.000,6080.000,6080.000,4,2,6104.000
2018-07-31,6158.000,6158.000,6158.000,6158.000,2,2,6158.000
2018-08-01,6158.000,6162.000,6126.000,6130.000,10,6,6148.000
2018-08-02,6230.000,6230.000,6230.000,6230.000,6,0,6230.000
2018-08-03,6334.000,6334.000,6290.000,6324.000,74,2,6312.000
2018-08-10,6608.000,6608.000,6574.000,6574.000,4,0,6592.000
2018-08-21,7084.000,7204.000,7084.000,7204.000,4,0,7144.000
2018-08-23,7308.000,7312.000,7242.000,7242.000,20,4,7278.000
2018-08-27,7182.000,7182.000,7142.000,7142.000,40,10,7162.000
2018-08-28,7192.000,7330.000,7192.000,7330.000,14,10,7230.000
2018-08-29,7294.000,7338.000,7270.000,7270.000,24,16,7304.000
2018-08-30,7256.000,7516.000,7256.000,7454.000,30,8,7416.000
2018-08-31,7400.000,7402.000,7376.000,7402.000,40,16,7390.000
2018-09-03,7406.000,7424.000,7264.000,7264.000,44,8,7378.000
2018-09-04,7264.000,7268.000,7264.000,7268.000,4,6,7266.000
2018-09-05,7210.000,7350.000,7210.000,7260.000,8,10,7268.000
2018-09-07,7404.000,7406.000,7276.000,7276.000,8,10,7374.000
2018-09-10,7276.000,7276.000,7230.000,7276.000,18,12,7256.000
2018-09-11,7050.000,7084.000,7020.000,7072.000,24,18,7048.000
2018-09-12,7034.000,7034.000,7034.000,7034.000,8,10,7034.000
2018-09-28,6898.000,6940.000,6888.000,6888.000,8,10,6914.000
2018-10-15,7166.000,7194.000,7166.000,7194.000,4,10,7180.000
2018-10-16,7076.000,7080.000,7024.000,7064.000,40,20,7066.000
2018-10-22,6932.000,6974.000,6910.000,6910.000,22,0,6948.000
2018-10-23,6868.000,6868.000,6858.000,6858.000,4,4,6864.000
2018-10-24,6842.000,6842.000,6822.000,6832.000,8,10,6830.000
2018-10-29,6774.000,6802.000,6752.000,6762.000,22,14,6776.000
2018-10-30,6802.000,6802.000,6788.000,6788.000,6,12,6798.000
2018-10-31,6770.000,6830.000,6770.000,6788.000,6,12,6796.000
2018-11-01,6722.000,6758.000,6698.000,6698.000,10,14,6724.000
2018-11-02,6612.000,6612.000,6432.000,6498.000,16,22,6510.000
2018-11-05,6486.000,6486.000,6486.000,6486.000,2,22,6486.000
2018-11-06,6508.000,6550.000,6508.000,6526.000,14,16,6530.000
2018-11-14,6334.000,6334.000,6124.000,6164.000,192,30,6164.000
2018-11-16,6282.000,6378.000,6282.000,6338.000,10,32,6340.000
2018-11-19,6378.000,6386.000,6304.000,6304.000,18,34,6356.000
2018-11-20,6156.000,6182.000,6148.000,6182.000,20,30,6166.000
2018-11-21,6066.000,6066.000,6060.000,6060.000,6,28,6062.000
2018-11-22,5984.000,5984.000,5984.000,5984.000,2,28,5984.000
2018-11-26,5790.000,5790.000,5758.000,5772.000,6,24,5774.000
2018-11-27,5838.000,5838.000,5838.000,5838.000,2,26,5838.000
2018-11-28,5850.000,5884.000,5848.000,5870.000,32,34,5862.000
2018-11-29,5784.000,5904.000,5784.000,5796.000,54,42,5822.000
2018-11-30,5854.000,5910.000,5804.000,5804.000,34,34,5864.000
2018-12-03,5944.000,5944.000,5944.000,5944.000,36,20,5934.000
2018-12-04,5966.000,5972.000,5966.000,5972.000,4,20,5970.000
