strategy_id,information_set,target,start,end,trades,gross_return,net_return,CAGR,max_dd,Sharpe,Sortino,Calmar,turnover,data_cost,live_external_dependency,status,family,dataset_id,timeframe,economic_status,replay_kind,validation_net_return,validation_trades,level1_dataset_status
HYP-CM-0003,IS-B,GOLD,2018,2024,16,-0.014207824797030977,-0.014207824797030977,-0.002146709207874853,-0.015424998362105907,-0.4714238122907783,-0.07249612879880538,-0.13917079000465918,4.780448966087642,0.0,NO,POSITIVE_BUT_WEAK,CROSS_METAL_V1,GOLD,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,0.0014242871911922528,1,WEAK_EDGE
HYP-CS-0001,IS-B,GOLD,2018,2024,10,-0.012279258367298818,-0.012279258367298818,-0.0018537792564109479,-0.020010287068734943,-0.3890194803412329,-0.06823428748408855,-0.09264131244310751,2.7721468179911337,0.0,NO,LOSS,CORR_SHOCK_V1,GOLD,D1,LOSS,STRATEGY_REPLAY,-0.00891368946780402,8,NO_EDGE
HYP-CS-0002,IS-B,GOLD,2018,2024,10,-0.006038626236129829,-0.006038626236129829,-0.0009092091738285291,-0.017070457400252054,-0.16724215805892836,-0.027365308889619893,-0.053262144798481154,2.9543827653651786,0.0,NO,POSITIVE_BUT_WEAK,CORR_SHOCK_V1,GOLD,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,0.0014641833355391043,8,WEAK_EDGE
HYP-CS-0003,IS-B,GOLD,2018,2024,15,-0.008457739622274363,-0.008457739622274363,-0.0012747617307121706,-0.011306859723895567,-0.33498235510152435,-0.043350706652183206,-0.1127423318092581,4.361874784413537,0.0,NO,LOSS,CORR_SHOCK_V1,GOLD,D1,LOSS,STRATEGY_REPLAY,-0.010307625079801985,6,NO_EDGE
HYP-CUEIA-0001,IS-D,next-session CL front open-to-open after Wednesday knowledge_time,,,52,-0.24889820120545347,-0.24889820120545347,-0.02487775644258039,-0.2740894972547053,-0.29507798821188236,-0.0697723645407181,-0.09076508473238593,23.43725033414962,0.0,YES,LOSS,CURVE_EIA_REPRICE_V1,next-session CL front open-to-open after Wednesday knowledge_time,D1,LOSS,STRATEGY_REPLAY,-0.02594893467848358,24,NO_EDGE
HYP-CUEIA-0002,IS-D,next-session CL front open-to-open after Wednesday knowledge_time,,,52,0.06395569214330377,0.06395569214330377,0.0054715770545208375,-0.13557897074390884,0.12670763370845303,0.034834884076671166,0.04035712193785524,25.338316586977978,0.0,YES,POSITIVE_BUT_WEAK,CURVE_EIA_REPRICE_V1,next-session CL front open-to-open after Wednesday knowledge_time,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,0.12458709600991935,27,CANDIDATE
HYP-CUEIA-0003,IS-D,next-session CL front open-to-open after Wednesday knowledge_time,,,52,-0.02473394334479906,-0.02473394334479906,-0.0022020189281738434,-0.10759011442089923,-0.030929954517886972,-0.005063170822685152,-0.020466740276522136,24.948929558495372,0.0,YES,LOSS,CURVE_EIA_REPRICE_V1,next-session CL front open-to-open after Wednesday knowledge_time,D1,LOSS,STRATEGY_REPLAY,-0.0006987168369151364,32,NO_EDGE
HYP-CURATE-0001,IS-D,next-session_GC_front_open-to-open_after_T_21_00Z_knowledge,,,98,-0.024580869467971,-0.024580869467971,-0.0021882351363524677,-0.12385739166097558,-0.04139491716000526,-0.009947207543615937,-0.017667376222019433,49.048026521584774,0.0,YES,LOSS,CURVE_REALYIELD_V1,next-session_GC_front_open-to-open_after_T_21_00Z_knowledge,D1,LOSS,STRATEGY_REPLAY,-0.006544854071030226,42,NO_EDGE
HYP-CURATE-0002,IS-D,next-session_GC_front_open-to-open_after_T_21_00Z_knowledge,,,104,-0.030206886483239215,-0.030206886483239215,-0.002696140162905869,-0.11719150034104593,-0.07068076674576251,-0.017153288944321065,-0.023006277375574778,51.59724456401469,0.0,YES,POSITIVE_BUT_WEAK,CURVE_REALYIELD_V1,next-session_GC_front_open-to-open_after_T_21_00Z_knowledge,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,0.15892994032390928,94,WEAK_EDGE
HYP-CURATE-0003,IS-D,next-session_GC_front_open-to-open_after_T_21_00Z_knowledge,,,123,0.06196396940961213,0.06196396940961213,0.005305761475087989,-0.08521867549118947,0.15169273080975124,0.042950820455233275,0.06226054845966877,61.91990507531544,0.0,YES,POSITIVE_BUT_WEAK,CURVE_REALYIELD_V1,next-session_GC_front_open-to-open_after_T_21_00Z_knowledge,D1,POSITIVE_BUT_WEAK,STRATEGY_REPLAY,0.004796211607140277,86,CANDIDATE
HYP-CUROI-0001,IS-D,next-session front open-to-open after OI knowledge_time,,,270,-0.01580457235331545,-0.01580457235331545,-0.0014012390272737374,-0.18780661141889615,0.01852432809163568,0.008817024278300547,-0.007461074009521008,138.51117901762376,0.0,YES,LOSS,CURVE_OI_JOINT_V1,next-session front open-to-open after OI knowledge_time,D1,LOSS,STRATEGY_REPLAY,-0.03009476596587335,51,NO_EDGE
HYP-CUROI-0002,IS-D,next-session front open-to-open after knowledge_time,,,261,-0.21845960575515533,-0.21845960575515533,-0.021462143129939215,-0.3799467284627795,-0.20281917676257197,-0.07184072165989773,-0.05648724287421177,115.46426964355884,0.0,YES,LOSS,CURVE_OI_JOINT_V1,next-session front open-to-open after knowledge_time,D1,LOSS,STRATEGY_REPLAY,-0.029672106901653894,78,NO_EDGE
