signal,entry,exit,n_side,n_cs,lo_ret,short_leg_ret,ls_ret,ew_ret,lo_minus_ew,eq_ls,eq_lo
2006-01-04,2006-01-05,2006-01-11,7,21,0.0005283944732011015,0.0016647031765691961,0.0021930976497702977,-0.002527537096720045,0.0030559315699211463,1.0021930976497704,1.000528394473201
2006-01-11,2006-01-12,2006-01-18,7,21,0.0020926761803911594,-0.005655510453454753,-0.0035628342730635934,0.002878488566969177,-0.0007858123865780177,0.998622449733236,1.0026221764121201
2006-01-18,2006-01-19,2006-01-25,7,21,0.0003261362515158898,-0.004075754923701132,-0.003749618672185242,0.0007619890355736102,-0.00043585278405772036,0.9948779963492529,1.0029491678504219
2006-01-25,2006-01-26,2006-02-01,6,20,0.010065090931670176,0.004223540763838312,0.014288631695508487,0.0028437565041012245,0.007221334427568951,1.0090934416210526,1.0130439424246793
2006-02-01,2006-02-02,2006-02-08,7,21,-0.005522557905776266,0.003085920295297923,-0.0024366376104783425,-0.004253927133298048,-0.0012686307724782174,1.0066346465887117,1.0074493485915432
2006-02-08,2006-02-09,2006-02-15,7,21,9.664030364390337e-05,-0.0013088695870277702,-0.0012122292833838667,-0.001090792752681292,0.0011874330563251953,1.0054143745924482,1.007546708802497
2006-02-15,2006-02-16,2006-02-22,7,21,-0.0055070908709694754,-0.0037656073064822404,-0.009272698177451716,0.001990006974909602,-0.007497097845879078,0.996091470553581,1.0019980575203755
2006-02-22,2006-02-23,2006-03-01,7,21,-0.005420894544527764,-0.004733258976840095,-0.010154153521367858,-0.003763388069458333,-0.0016575064750694308,0.985977004840255,0.9965663317167359
2006-03-01,2006-03-02,2006-03-08,7,21,-0.000787016976353845,0.0028094657880731893,0.002022448811719344,0.001071521098054793,-0.001858538074408638,0.9879710928620767,0.9957820170956122
2006-03-08,2006-03-09,2006-03-15,7,21,0.0006835217803309567,-0.0010089776086747036,-0.0003254558283437469,0.0018407047126103356,-0.0011571829322793788,0.9876495519116696,0.996462655792759
2006-03-15,2006-03-16,2006-03-22,6,20,0.001338146876140144,-0.005389525785434562,-0.004051378909294418,-0.002994648342430184,0.004332795218570328,0.9836482093472806,0.9977960691827984
2006-03-22,2006-03-23,2006-03-29,7,21,-0.004433997488817961,-0.011749764810047351,-0.016183762298865312,-0.000595016056248877,-0.0038389814325690843,0.9677290805414996,0.9933718439176894
2006-03-29,2006-03-30,2006-04-05,7,21,0.012830229434016068,-0.006388463752602319,0.0064417656814137495,0.006697741275734637,0.0061324881582814315,0.9739629645214379,1.006117032588445
2006-04-05,2006-04-06,2006-04-12,7,21,-0.0016167359420596861,0.00612910254009951,0.0045123665980398246,-0.0015978387597870766,-1.8897182272609473e-05,0.9783578424702722,1.0044904070199407
2006-04-12,2006-04-13,2006-04-19,7,21,0.002662678452169672,-0.002607399609275749,5.527884289392281e-05,0.0027205087467064267,-5.783029453675483e-05,0.9784119249597403,1.0071650419821239
2006-04-19,2006-04-20,2006-04-26,7,21,-0.0077396074830691644,0.0013163860214720198,-0.006423221461597145,-0.0031475743213311386,-0.004592033161738026,0.9721273684850563,0.9993699798865134
2006-04-26,2006-04-27,2006-05-03,7,21,-0.004461005546355457,-0.0034875240095378684,-0.007948529555893325,0.0007721161776783561,-0.005233121724033813,0.9644003853645601,0.9949117848633786
2006-05-03,2006-05-04,2006-05-10,7,21,0.0007646386321148815,-0.001769656461534288,-0.0010050178294194066,-0.0015913700272274921,0.002356008659342374,0.9634311457825697,0.9956725328496316
2006-05-10,2006-05-11,2006-05-17,7,21,-0.005384815658716177,0.0003748619925621668,-0.005009953666154011,-0.0026914113871367045,-0.002693404271579473,0.9586044003816694,0.9903110198037893
2006-05-17,2006-05-18,2006-05-24,7,21,0.004386673780362134,0.0041717794710641,0.008558453251426235,-0.0005712881589985503,0.004957961939360684,0.9668085713289474,0.9946551911887663
2006-05-24,2006-05-25,2006-05-31,7,21,0.0007749331359915754,-0.0017635752265768498,-0.0009886420905852744,-0.00010148813055894868,0.0008764212665505241,0.965852743681793,0.9954259824553046
2006-05-31,2006-06-01,2006-06-07,7,21,-0.0006916744336287712,-0.002327795866518948,-0.003019470300147719,-0.0003358274863525299,-0.00035584694727624133,0.9629363800079296,0.9947374717526705
2006-06-07,2006-06-08,2006-06-14,7,21,-0.004385884447281857,0.0009268605852925473,-0.0034590238619893097,-0.002931936775616735,-0.001453947671665122,0.9596055600919046,0.990374668146182
2006-06-14,2006-06-15,2006-06-21,7,21,-0.001741148196630059,-0.0024744840713569554,-0.004215632267987014,0.00027640913696297663,-0.0020175573335930357,0.9555602159282414,0.9886502790787512
2006-06-21,2006-06-22,2006-06-28,7,21,0.0007712955975774362,-0.004137797040881257,-0.0033665014433038208,0.0013293185567954907,-0.0005580229592180545,0.9523433210821551,0.9894128206865483
2006-06-28,2006-06-29,2006-07-05,7,21,0.0040167828180461265,-0.001967757561460501,0.0020490252565856255,0.0036298358984361394,0.0003869469196099871,0.9542946965999931,0.9933870771046367
2006-07-05,2006-07-06,2006-07-12,7,21,0.006697598863004146,0.0039256430795352095,0.010623241942539356,0.0006528774786099864,0.00604472138439416,0.964432400046457,1.0000403852627757
2006-07-12,2006-07-13,2006-07-19,7,21,-0.0007180406200653376,-0.0009123109138396534,-0.001630351533904991,0.0005228894455691133,-0.001240930065634451,0.9628600362036936,0.9993223156444513
2006-07-19,2006-07-20,2006-07-26,7,21,0.0020820003159972324,-0.0033336766043513245,-0.001251676288354092,0.003318871689771757,-0.0012368713737745244,0.9616548471273737,1.001402905021406
2006-07-26,2006-07-27,2006-08-02,7,21,0.00030580776603383766,0.003653039813843938,0.003958847579877776,-0.002027446841531111,0.0023332546075649488,0.9654618920916016,1.0017091418066904
2006-08-02,2006-08-03,2006-08-09,7,21,-0.005717679733936098,-0.008365477105298858,-0.014083156839234955,0.0017471519276418387,-0.007464831661577937,0.951865140842971,0.9959816897472837
2006-08-09,2006-08-10,2006-08-16,7,21,-0.002065300270308597,-0.0024439686384665166,-0.004509268908775114,-0.00118615302674602,-0.000879147243562577,0.9475729249580209,0.9939246884942262
2006-08-16,2006-08-17,2006-08-23,7,21,-0.0017414015454183492,-0.0014659470998401186,-0.003207348645258468,-0.0006516136485514433,-0.0010897878968669059,0.9445337282208731,0.9921938665056529
2006-08-23,2006-08-24,2006-08-30,7,21,-0.005042393622994246,-0.0020053513577515327,-0.007047744980745778,-0.00015658787492887707,-0.004885805748065368,0.9378768953786594,0.9871908344804108
2006-08-30,2006-08-31,2006-09-06,7,21,-0.0037881030021223467,-0.005215975067185555,-0.009004078069307902,-4.5183263016200315e-05,-0.0037429197391061464,0.9294321785932698,0.9834512539166478
2006-09-06,2006-09-07,2006-09-13,7,21,0.0035289315125361523,-0.00330151868178065,0.00022741283075550234,-0.00028400162820738757,0.0038129331407435398,0.929643543395999,0.9869217860376375
2006-09-13,2006-09-14,2006-09-20,7,21,0.001199200856794965,-0.002473660604292079,-0.001274459747497114,0.0005789913299134797,0.0006202095268814852,0.9284587501204202,0.9881053034890434
2006-09-20,2006-09-21,2006-09-27,7,21,-0.005516603956463613,0.0019638380556343893,-0.003552765900829224,-0.002528434540607281,-0.002988169415856332,0.9251601535326659,0.9826543178624131
2006-09-27,2006-09-28,2006-10-04,7,21,0.0015435839790235327,-0.0017418880390527006,-0.0001983040600291679,0.0015720321626472794,-2.844818362374678e-05,0.9249766905180431,0.9841711273243837
2007-10-04,2007-10-05,2007-10-11,6,20,-0.003005889843660555,-0.009023717623793294,-0.012029607467453848,0.0036120108757683846,-0.0066179007194289395,0.9138495840145665,0.9812128173283354
2007-10-11,2007-10-12,2007-10-18,7,21,-0.0012084704055793088,0.005147495662300102,0.003939025256720794,-0.0025916674944994242,0.0013831970889201155,0.9174492606068437,0.9800270506770191
2007-10-18,2007-10-19,2007-10-25,7,21,-0.005640535133500511,-0.0016196861939772387,-0.0072602213274777505,-0.0016472138203026134,-0.0039933213131978975,0.9107883759181072,0.9744991736658946
2008-02-18,2008-02-19,2008-02-25,6,20,-0.0006667195170021902,-0.005310479819068339,-0.005977199336070529,0.0015015635008102824,-0.0021682830178124724,0.9053444122422688,0.973849456047509
2008-02-25,2008-02-26,2008-03-03,6,20,-0.027760577677478727,0.005136666923666133,-0.022623910753812593,-0.017456772550141508,-0.01030380512733722,0.8848619810582368,0.9468148325767317
2008-03-03,2008-03-04,2008-03-10,7,23,0.00038455678852121434,0.007490273001429972,0.007874829789951186,-0.0034106125648215675,0.003795169353342782,0.8918301185466694,0.9471789366480717
2008-03-10,2008-03-11,2008-03-17,7,23,0.00032432790934543414,0.005699000061825413,0.006023327971170847,-0.002325703697027448,0.002650031606372882,0.8972019038452441,0.9474861332123709
2008-03-17,2008-03-18,2008-03-24,7,23,0.0023452187137198858,0.006674596712394134,0.00901981542611402,0.003029265675290228,-0.0006840469615703422,0.9052944994178864,0.9497081954229706
2008-03-24,2008-03-25,2008-03-31,7,23,0.004128062282461244,-0.002907524699519124,0.0012205375829421198,-0.0006810850507346282,0.004809147333195872,0.9063994453780567,0.9536286500038406
2008-03-31,2008-04-01,2008-04-07,7,23,0.009134354435335144,-0.001185352363392365,0.007949002071942778,0.008103317567467246,0.0010310368678678981,0.9136044164473747,0.9623394320926657
2008-04-07,2008-04-08,2008-04-14,7,23,-0.008101064269660922,-0.005696863529114651,-0.013797927798775573,-0.0049014370384265265,-0.0031996272312343954,0.9009985686725913,0.954543458504054
